gene_name	regulator	sign
yqfX	sigG	1
yqfX	spoVT	1
mntA	mntR	-1
srfAB	sigA	1
srfAB	spx	-1
srfAB	perR	1
srfAB	comA	1
srfAB	codY	-1
srfAB	abh	-1
yczG	yczG	0
cysC	sigA	1
cysC	S-box-SAM	-1
cysC	cymR	-1
yotK	sigB	1
nfo	sigG	1
sigE	sigG	1
sigE	sigF	1
sigE	sigA	1
sigE	spo0A	1
sigE	sinR	-1
sigE	spoVT	-1
sigE	rsfA	1
rbfK	sigA	1
rbfK	ytlI	1
rbfK	cymR	-1
rbfK	spx	-1
yvcA	degU	1
yvcA	abrB	-1
sigW	sigW	1
sigW	abrB	-1
bscR	sigX	1
bscR	sigW	1
bscR	sigM	1
bscR	fatR	-1
bscR	abrB	-1
spoVFA	sigK	1
yuiC	sigF	1
yuiC	codY	-1
yuiC	tnrA	0
prpC.1	sigE	1
prpC.1	ccpA	-1
prpC.1	spoIIID	-1
ytlC	sigK	1
sigI	sigI	1
yfmI	spo0A	1
yfmI	abrB	-1
ribD	sigA	1
ribD	FMN-box	-1
thrS	sigA	1
thrS	T-box-THR	1
fhuB	fur	-1
yhaO	lexA	-1
pta	sigA	1
pta	ccpA	1
gerD	sigG	1
gerD	sigF	1
gerD	spoVT	1
ykuS	sigF	1
ydfK	sigA	1
ydfK	mta	1
ydfK	ydfL	0
valS	sigA	1
valS	T-box-VAL	1
ytxC	sigE	1
ytxC	spoIIID	-1
yhbA	sigF	1
yqxA	sigF	1
yqxA	sigE	1
yqxA	gerR	-1
yqxA	gerE	-1
proJ	sigK	1
proJ	sigE	1
bacA	sigH	1
bacA	scoC	-1
bacA	codY	-1
bacA	abrB	-1
opuBA	sigA	1
opuBA	gbsR	-1
opuBA	codY	0
opuBA	yvbF/YvaV	0
ymaE	abrB	-1
nasB	sigA	1
nasB	tnrA	1
nasB	glnR	-1
nasB	T-O2	1
sdpI	sigA	1
sdpI	sdpR	-1
sdpI	abrB	-1
fliI	sigD	1
fliI	sigA	1
fliI	spo0A	-1
fliI	codY	-1
cgeB	sigK	1
cgeB	gerE	1
cgeB	gerR	1
ctc	sigB	1
ctc	sigA	1
pyrH	stringent response	-1
yteR	rmgR	0
mreBH	sigI	1
degR	sigD	1
degR	comK	-1
ylbJ	sigE	1
ylbJ	spoIIID	-1
degQ	sigA	1
degQ	degU	1
degQ	comA	1
ymaH	sigH	1
fabHA	sigA	1
fabHA	fapR	-1
epsM	sigA	1
epsM	sigH	1
epsM	sinR	-1
epsM	eAR	0
epsM	abrB	-1
frlR	frlR	0
ywlG	tnrA	-1
yfnF	sigK	1
yfnF	sigE	1
fer	fur	0
yxkD	sigK	1
yxkD	RNA - ykkC-yxkD	0
ftsZ	sigH	1
ftsZ	sigA	1
ftsZ	walR	1
ftsZ	abrB	-1
yrvD	sigB	1
yitJ	S-box-SAM	-1
lcfB	sigA	1
lcfB	fadR	-1
lcfB	ccpA	-1
yrrL	spo0A	-1
yqfC	sigE	1
yqfC	spoIIID	-1
pbuG	purR	-1
pbuG	G-box-HXTX	1
pbuG	G-box-GUA	1
comGA	sigA	1
comGA	comK	1
comGA	comZ	-1
carA	sigA	1
carA	ahrC	-1
carA	abrB	1
carA	tnrA	0
pbpI	sigF	1
pbpI	sigE	1
fliK	sigD	1
fliK	sigA	1
fliK	spo0A	-1
fliK	codY	-1
hutM	sigA	1
hutM	hutP	1
hutM	codY	-1
hutM	ccpA	-1
tlpC	sigD	1
ycxA	comA	1
dhbA	sigA	1
dhbA	fur	-1
dhbA	abrB	-1
mtnW	sigA	1
mtnW	S-box-SAM	-1
ywoB	ytrA	-1
paiA	yybA	0
pstBA	phoP	1
msmX	ccpA	-1
gerT	sigK	1
fabG	sigA	1
fabG	fapR	-1
fabG	comA	1
yhdK	sigM	1
yhdK	sigA	1
ymfF	mta	1
ytxH	sigH	1
ytxH	sigB	1
yodD	mhqR	-1
gmuA	sigA	1
gmuA	gmuR	-1
gmuA	ccpA	-1
gmuA	abrB	1
ykpC	sigE	1
yxdM	yxdJ	1
purC	sigA	1
purC	purR	-1
purC	G-box-HXTX	1
purC	G-box-GUA	1
seaA	sigF	1
rplA	stringent response	-1
gltA	sigA	1
gltA	tnrA	-1
gltA	gltC	1
gltA	fsrA	-1
gltA	gltR	1
gltA	gltC2	-1
gltA	gltC1	1
gltA	gltC0	1
ytsJ	lexA	0
ydeJ	abrB	-1
yciB	sigA	1
yciB	zur	-1
ywcB	sigE	1
ywcB	spoIIID	-1
pdhB	sigA	1
pdhB	stringent response	-1
yisY	sigG	1
ywqF	sigE	1
yusP	mdtR	-1
comFA	sigA	1
comFA	sigD	1
comFA	comK	1
rpmA	L21_leader	0
yvcR	psdR	1
ytkC	codY	0
rapD	sigX	1
rapD	sigM	1
rapD	sigA	1
rapD	rghR	-1
yotN	sigE	1
glnQ	sigE	1
glnQ	tnrA	1
glnQ	codY	0
yvqK	RNA - Cobalamin	0
yotD	csoR	-1
yjcL	codY	0
mgtE	sigK	1
mgtE	M-box	-1
yclP	fur	-1
yxaF	qdor	-1
yxaF	lmrA	-1
tilS	sigM	1
yckD	sigG	1
yckD	sigF	1
yckD	spoVT	-1
cotW	sigK	1
cotW	gerE	1
cotW	spoIIID	-1
fadN	sigA	1
fadN	sdpR	1
fadN	fadR	-1
fadN	ccpA	-1
ythP	sigW	1
tenA	Thi-box	-1
tenA	tenI	-1
vpr	sigH	1
vpr	phoP	1
vpr	lexA	-1
ydgA	sigK	1
ydgA	gerE	-1
yteT	rmgR	0
yhaZ	lexA	-1
usd	sigE	1
fliS	sigD	1
yhdL	sigM	1
yhdL	sigA	1
qoxA	stringent response	-1
ywhK	sigK	1
trpE	sigA	1
trpE	TRAP	-1
ywmE	sigB	1
glxK	abrB	-1
ykgB	sigB	1
yqhP	sigF	1
yqhP	sigB	1
atpG	stringent response	-1
resB	sigA	1
resB	resD	1
resB	phoP	1
resB	ccpA	-1
lytA	sigD	1
lytA	sigA	1
lytA	yvrHb	-1
lytA	slrR	-1
lytA	lytR	-1
ispG	sigE	1
ispG	spoIIID	-1
rpmC	stringent response	-1
cotG	sigK	1
cotG	sigE	1
cotG	gerR	1
cotG	gerE	1
maf	comK	1
mleN	ccpA	-1
mleN	ansR	-1
ilvH	sigA	1
ilvH	tnrA	-1
ilvH	codY	-1
ilvH	ccpA	1
ilvH	T-box-LEU	1
liaR	sigA	1
liaR	liaR	1
liaR	abrB	-1
addA	sigA	1
addA	comK	1
cwlJ	sigE	1
cwlJ	spoIIID	1
yesM	sigH	1
yesM	ccpA	-1
tgl	sigK	1
ywhA	sigA	1
ywhA	T-box-THR	1
sspH	sigG	1
sspH	ccpA	-1
spsK	sigK	1
spsK	sigE	1
gatC	sigA	1
gatC	T-box-GLN	1
gatC	codY	0
gatC	ccpA	0
iolT	sigA	1
iolT	iolR	-1
iolT	ccpA	-1
yoaA	sigB	1
thrC	codY	0
purF	sigA	1
purF	purR	-1
purF	G-box-HXTX	1
purF	G-box-GUA	1
tuaA	sigA	1
tuaA	phoP	1
ygzA	sigG	1
yhfN	sigE	1
yhfN	spoIIID	-1
nadE	sigB	1
nadE	sigA	1
tetB	sigA	1
cypB	sigX	1
cypB	sigW	1
cypB	sigM	1
cypB	fatR	-1
cypB	abrB	-1
pucG	sigA	1
pucG	pucR	1
trpD	sigA	1
trpD	TRAP	-1
tlpB	sigD	1
yhjD	lexA	-1
bkdR	codY	-1
bkdR	bkdR	0
yvaV	yvbF/YvaV	0
bacE	sigH	1
bacE	scoC	-1
bacE	codY	-1
bacE	abrB	-1
yodI	sigK	1
bsn	phoP	1
bsn	abrB	-1
yjcP	sigD	1
mtlD	mtlR	1
mtlD	ccpA	0
comS	sigA	1
comS	spx	-1
comS	perR	1
comS	comA	1
comS	codY	-1
comS	abh	-1
hisC	sigA	1
hisC	TRAP	-1
sbcD	comK	1
fliH	sigD	1
fliH	sigA	1
fliH	spo0A	-1
fliH	codY	-1
spoVFB	sigK	1
med	sigA	1
med	spo0A	-1
yxbD	spo0A	1
yxbD	codY	-1
yxbD	abrB	-1
yvyC	sigD	1
fliT	sigD	1
yycD	sigB	1
yabQ	sigE	1
yabQ	sigX	1
yabQ	sigW	1
yabQ	spoIIID	-1
nagP	ybgA	0
yhdN	sigB	1
skfC	spo0A	1
skfC	phoP	1
skfC	abrB	-1
ribE	sigA	1
ribE	FMN-box	-1
gabT	sigA	1
gabT	sigB	1
gabT	gabR	1
glmS	sigA	1
glmS	glmS ribozyme	-1
kapD	sigK	1
kapD	sigE	1
kapD	gerR	-1
kapD	codY	0
ysdB	sigW	1
ysdB	sigB	1
trxA	sigB	1
trxA	sigA	1
trxA	spx	1
trxA	ctsR	-1
bglC	sigA	1
bglC	bglZ	0
rsiW	sigW	1
rsiW	abrB	-1
amyC	ccpA	-1
amyC	msmR	0
ftsH	sigM	1
ftsH	sigA	1
yteP	rmgR	0
cssS	sigA	1
cssS	cssR	1
cdoA	sigK	1
maeA	sigA	1
maeA	malR	1
speE	sigA	1
iscS	sigA	1
iscS	stringent response	-1
nupC	sigK	1
nupC	sigA	1
nupC	deoR	-1
nupC	ccpA	-1
cwlO	walR	1
phrH	sigA	1
phrH	rghR	-1
phrH	comK	1
ytrE	sigA	1
ytrE	ytrA	-1
ykkD	RNA - ykkC-yxkD	0
fruK	fruR	-1
fruK	spo0A	-1
fruK	ccpA	-1
yhfT	birA	0
yisQ	yisR	0
yhbB	sigE	1
yhbB	spoIIID	1
ybfH	ybfI	0
cymR	sigA	1
cymR	stringent response	-1
ytkD	sigF	1
ytkD	sigA	1
yobJ	sigW	1
nadR	sigA	1
nadR	nadR	-1
paiB	yybA	0
ygaB	sigG	1
rplS	stringent response	-1
rplS	rplS	0
feuA	sigA	1
feuA	fur	-1
feuA	citB	1
feuA	btr	1
feuA	glcR	0
ywfI	ccpA	0
thiC	Thi-box	-1
cysH	sigA	1
cysH	S-box-SAM	-1
cysH	cymR	-1
ycgR	sigM	1
yfiY	fur	-1
yoaI	sigK	1
yyaD	sigE	1
yyaD	spoIIID	-1
yaaN	sigW	1
epsJ	sigA	1
epsJ	sigH	1
epsJ	sinR	-1
epsJ	eAR	0
epsJ	abrB	-1
skfG	spo0A	1
skfG	phoP	1
skfG	abrB	-1
rpsS	stringent response	-1
mtlA	mtlR	1
mtlA	ccpA	0
epsO	sigA	1
epsO	sigH	1
epsO	sinR	-1
epsO	eAR	0
epsO	abrB	-1
yclK	resD	1
pucR	sigA	1
pucR	tnrA	1
pucR	pucR	1
glgB	sigE	1
glgB	sigH	1
yabN	sigX	1
yabN	sigW	1
yabN	sigE	1
yabN	spoIIID	-1
metK	sigA	1
metK	S-box-SAM	-1
lmrA	sigA	1
lmrA	lmrA	-1
lmrA	qdor	0
yflB	sigE	1
yflB	abrB	-1
yflB	spoIIID	-1
sacX	sigA	1
sacX	sacY	1
sacX	sacT	1
sacX	degU	1
ispA	sigA	1
ispA	scoC	-1
ispA	ipi	1
ispA	degU	1
ispA	codY	0
secY	stringent response	-1
cotJB	sigE	1
cotJB	spoIIID	1
yhcM	sigG	1
yhcM	sigF	1
yhcM	sigB	1
gerPE	sigK	1
gerPE	gerE	-1
yjcA	sigE	1
yjcA	sigK	1
yjcA	spoIIID	-1
pucJ	sigA	1
pucJ	tnrA	1
pucJ	pucR	1
yhcF	sigG	1
yhcF	comK	1
yhcF	gabR	0
spoVAA	sigG	1
spoVAA	spoVT	1
proH	sigE	1
proH	spoIIID	1
ylaC	ylaC	1
ylaC	sigA	1
ylaC	spx	1
gltR	sigA	1
gltR	gltR	-1
spoIIIAG	sigE	1
spoIIIAG	gerR	-1
spoIIIAG	spoIIID	-1
spoIIIAG	gerE	-1
opuAC	sigA	1
yhcQ	sigG	1
yobW	sigK	1
yobW	sigE	1
yobW	spoIIID	1
purH	sigA	1
purH	purR	-1
purH	G-box-HXTX	1
purH	G-box-GUA	1
yjbC	sigX	1
yjbC	sigW	1
yjbC	sigM	1
yjbC	sigB	1
yjbC	sigA	1
yjbC	perR	-1
yjbC	yodB	-1
yutC	sigG	1
tuaB	sigA	1
tuaB	phoP	1
narJ	sigA	1
narJ	fnr	1
yclN	fur	-1
yxjH	S-box-SAM	-1
yxjH	codY	0
yozD	sigE	1
proB	T-box-PRO	1
noc	comK	1
addB	sigA	1
addB	comK	1
albG	sigA	1
albG	rok	-1
albG	resD	1
albG	abrB	-1
xynC	abrB	-1
yrrI	sigG	1
yuaI	sigW	1
yuaI	codY	0
asd	sigK	1
asd	sigA	1
yqhH	sigF	1
yqhH	lexA	0
pucI	sigA	1
pucI	pucR	1
pucI	tnrA	0
yfmC	fur	-1
yvcB	degU	1
yvcB	abrB	-1
rocG	sigL	1
rocG	rocR	1
rocG	ccpA	-1
rocG	ahrC	1
rocG	abrB	-1
rocG	spo0A	-1
cheV	sigD	1
ytlA	sigK	1
ndh	sigA	1
ndh	stringent response	-1
ndh	rex	-1
argH	ahrC	-1
feuB	sigA	1
feuB	fur	-1
feuB	citB	1
feuB	btr	1
feuB	glcR	0
manP	manR	1
lysP	L-box-LYS	0
spoIIIAD	sigE	1
spoIIIAD	gerR	-1
spoIIIAD	spoIIID	-1
spoIIIAD	gerE	-1
mdxE	sigK	1
mdxE	sigE	1
mdxE	mdxR	0
yesY	yesS	1
yesY	ccpA	0
tuaA.1	sigA	1
tuaA.1	phoP	1
thiU	sigK	1
thiU	Thi-box	-1
ureA	sigH	1
ureA	sigA	1
ureA	tnrA	1
ureA	pucR	1
ureA	glnR	-1
ureA	codY	-1
yvfW	sinR	-1
yvfW	lutR	-1
yvfW	fsrA	-1
comC	sigA	1
comC	comK	1
sigB	sigA	1
sigB	ccpA	-1
ggaB	sigA	1
msmR	ccpA	-1
msmR	msmR	0
mdh	sigA	1
mdh	citB	0
mdh	ccpC	-1
mdh	ccpA	-1
mdh	codY	0
ynzB	sigE	1
rhgT	yesS	1
rhgT	ccpA	0
abh	sigX	1
abh	sigM	1
abh	sigW	1
bioB	birA	-1
skfE	spo0A	1
skfE	phoP	1
skfE	abrB	-1
yunB	sigE	1
yunB	sigK	1
cysP	sigA	1
cysP	S-box-SAM	-1
cysP	cymR	-1
citZ	sigA	1
citZ	citB	0
citZ	ccpC	-1
citZ	ccpA	-1
citZ	codY	0
sucD	sigA	1
sucD	ccpA	-1
ytcA	sigK	1
ylaK	sigE	1
galT	ccpA	-1
yhgD	yhgD	0
fabL	sigE	1
fabL	sigG	1
fabL	sigA	1
fabL	yfhP	-1
fabL	spoVT	-1
fabL	rsfA	1
ydaO	ydaO riboswitch	1
ytpB	sigM	1
phoD	sigA	1
phoD	phoP	1
opuD	sigE	1
rpoA	stringent response	-1
exuM	sigE	1
exuM	sigA	1
exuM	exuR	-1
exuM	ccpA	-1
yydK	yydK	0
yjqC	sigK	1
uxaC	sigA	1
uxaC	exuR	-1
uxaC	ccpA	-1
ytxO	sigK	1
hemZ	sigA	1
hemZ	rex	-1
hemZ	resD	1
hemZ	fnr	1
hemZ	arfM	1
nucB	sigE	1
yxiE	sigA	1
yxiE	licT	1
yxiE	ccpA	-1
kipI	sigK	1
kipI	tnrA	1
kipI	kipR	-1
yybN	rok	-1
yybN	spo0A	1
sinR	sigA	1
sinR	spo0A	-1
sinR	scoC	-1
sinR	abrB	-1
sinR	sinR	-1
cysJ	sigA	1
cysJ	cysL	1
cysJ	yetL	0
xkdI	xpf	1
yvrN	comK	1
yvrN	abrB	-1
rsbW	sigB	1
rsbW	sigA	1
rsbW	ccpA	-1
mtnN	sigA	1
mtnN	spx	1
mtnN	cymR	-1
parA	spo0A	-1
yvrJ	yvrI-YvrHa	1
ycbD	ycbG	-1
yjcN	rok	-1
nfrA	sigD	1
nfrA	sigA	1
nfrA	spx	1
nfrA	spo0A	-1
cysE	sigA	1
cysE	T-box-CYS	1
yvfU	yvfU	0
copB	czrA	-1
ynzC	lexA	-1
ynzC	comK	1
ykoL	sigA	1
ykoL	tnrA	1
ykoL	phoP	1
yusV	fur	-1
ybxH	sigG	1
ybxH	spoVT	-1
hisI	hisR	0
yjcG	codY	0
ylxW	sigM	1
ylxW	sigE	1
ylxW	sigA	1
ylxW	spoIIID	-1
spoIIIAC	sigE	1
spoIIIAC	gerR	-1
spoIIIAC	spoIIID	-1
spoIIIAC	gerE	-1
cwlC	sigK	1
pstA	phoP	1
arfM	sigA	1
arfM	fnr	1
arfM	arfM	-1
pyrF	sigA	1
pyrF	pyrR	1
pyrF	purR	-1
ykvR	lexA	-1
fabF	sigW	1
fabF	sigA	1
fabF	fapR	-1
yetA	ccpA	0
epsE	sigA	1
epsE	sigH	1
epsE	sinR	-1
epsE	eAR	0
epsE	abrB	-1
sspN	sigG	1
sspN	sigF	1
yphA	sigF	1
epsC	sigA	1
epsC	sigH	1
epsC	sinR	-1
epsC	eAR	0
epsC	abrB	-1
spoVE	sigE	1
spoVE	sigA	1
spoVE	spoIIID	-1
murB	sigM	1
murB	sigE	1
murB	sigA	1
murB	spoIIID	-1
yjcF	codY	0
ytzC	sigG	1
ymzB	sigB	1
ymzB	abrB	-1
slp	codY	0
yqaI	sknR	-1
ctpA	sigE	1
yvbY	sinR	-1
yvbY	lutR	-1
yvbY	fsrA	-1
rplJ	stringent response	-1
rplJ	rplJ	0
yqzD	spo0A	-1
sigG	sigG	1
sigG	sigF	1
sigG	sigA	1
sigG	spo0A	1
sigG	sinR	-1
sigG	abrB	-1
sigG	spoVT	-1
sigG	rsfA	1
rplW	stringent response	-1
iolR	sigA	1
iolR	iolR	-1
malK	sigK	1
malK	sigE	1
malK	mdxR	0
yngI	sigE	1
yngI	spoIIID	-1
yngI	ccpA	0
acoB	sigL	1
acoB	sigK	1
acoB	ccpA	-1
acoB	acoR	1
queF	preQ1 riboswitch	-1
opuAB	sigA	1
ysnD	sigK	1
ysnD	sigE	1
ysnD	tnrA	0
ansB	sigA	1
ansB	ansR	-1
ywcJ	sigA	1
ywcJ	rex	-1
ywcJ	fnr	0
ywcJ	ccpA	0
yrkF	yrkD	0
tadA	sigA	1
ykkC	RNA - ykkC-yxkD	0
spoIIIAA	sigE	1
spoIIIAA	gerR	-1
spoIIIAA	spoIIID	-1
spoIIIAA	gerE	-1
gerAB	sigG	1
gerAB	sigF	1
gerAB	spoVT	-1
fliJ	sigD	1
fliJ	sigA	1
fliJ	spo0A	-1
fliJ	codY	-1
prpD	sigE	1
prpD	ccpA	-1
prpD	spoIIID	-1
tagC	lexA	-1
yjeA	walR	-1
yhxC	sigE	1
pel	tnrA	-1
pel	comA	1
pel	ccpA	-1
fabI	sigA	1
fabI	fapR	-1
comX	sigA	1
ywrJ	sigK	1
ptkA	abrB	-1
ywjD	sigG	1
sodA	sigB	1
nusB	stringent response	-1
nusB	purR	-1
rocD	sigL	1
rocD	spo0A	-1
rocD	rocR	1
rocD	codY	-1
rocD	ahrC	1
narH	sigA	1
narH	fnr	1
yteJ	sigW	1
yuaG	sigW	1
yuaG	codY	0
sacC	sigL	1
sacC	levR	1
sacC	ccpA	-1
rpsNB	zur	-1
rsbRA	sigA	1
rsbRA	sigB	1
gltP	sigH	1
yybJ	rok	-1
yybJ	spo0A	1
argC	sigA	1
argC	ahrC	-1
argC	abrB	1
argC	tnrA	0
lytR	sigX	1
lytR	sigM	1
lytR	sigA	1
lytR	lytR	-1
pbuO	purR	-1
htpX	ykrK	-1
htpX	rok	-1
yndA	sigE	1
artQ	ahrC	0
yclD	bsdA	0
ahrC	SR1	-1
rpoE	sigA	1
rpoE	fadR	-1
yocK	sigB	1
sigO	yvrI-YvrHa	1
sigO	yvrHb	1
cotV	sigK	1
cotV	gerE	1
cotV	spoIIID	1
phoP	sigE	1
phoP	sigB	1
phoP	sigA	1
phoP	phoP	1
phoP	ccpA	-1
phoP	resD	1
phoP	scoC	-1
phoP	walR	1
glgD	sigE	1
glgD	sigH	1
yfmS	sigD	1
glnR	sigA	1
glnR	tnrA	-1
glnR	glnR	-1
des	sigA	1
des	desR	1
ypzA	sigG	1
ybaK	sigG	1
ybaK	sigE	1
ybaK	lexA	-1
ybaK	spoVT	1
pnpA	stringent response	-1
gmuR	sigA	1
gmuR	gmuR	-1
gmuR	ccpA	-1
gmuR	abrB	1
ywbB	rbsR	0
fmnP	FMN-box	-1
pdxS	spo0A	-1
xkdF	xpf	1
yesW	yesS	1
yesW	ccpA	0
rpsQ	stringent response	-1
cotJA	sigE	1
cotJA	spoIIID	1
dnaE	lexA	-1
ydfR	sigG	1
ydfR	sigK	1
ydfR	spoVT	-1
yodH	sigK	1
ylbH	RNA - ylbH	0
licB	sigA	1
licB	licR	1
licB	ccpA	-1
licB	rbsR	0
ywbO	sigX	1
ywbO	sigW	1
ywbO	sigM	1
yxjI	sigW	1
yxjI	sigB	1
yxjI	degU	-1
epsK	sigA	1
epsK	sigH	1
epsK	sinR	-1
epsK	eAR	0
epsK	abrB	-1
uvrC	lexA	-1
acsA	sigA	1
acsA	codY	-1
acsA	ccpA	-1
citA	sigA	1
citA	citR	-1
citA	codY	0
spoVID	sigE	1
trmE	comK	1
yflN	sigA	1
yflN	citT	1
yflN	ccpA	-1
ydhF	sigE	1
ydhF	sigA	1
ydhF	phoP	1
ydhF	spoIIID	-1
ydhF	gerR	-1
yneB	lexA	-1
yneB	comK	1
ftsA	sigH	1
ftsA	sigA	1
ftsA	walR	1
ftsA	abrB	-1
yisT	sigH	1
dnaA	sigA	1
dnaA	sigG	1
dnaA	spo0A	-1
dnaA	dnaA	-1
ssuB	sigA	1
ssuB	cymR	-1
ssuB	spx	-1
eno	sigA	1
eno	cggR	-1
ganQ	lacR	-1
ganQ	ccpA	0
yheI	spoIIID	1
xkdM	xpf	1
pucE	sigA	1
pucE	tnrA	1
pucE	pucR	1
ywjB	fur	-1
artR	ahrC	0
yvdJ	sigK	1
yvdJ	sigE	1
yvdJ	mdxR	0
bioK	birA	-1
flhB	sigD	1
flhB	sigA	1
flhB	spo0A	-1
flhB	codY	-1
ydgB	sigK	1
ydgB	gerE	-1
mrgA	sigA	1
mrgA	perR	-1
glnA	sigA	1
glnA	tnrA	-1
glnA	glnR	-1
ywtF	sigM	1
ytcC	sigK	1
yulC	rhaR	0
rocA	sigL	1
rocA	rocR	1
rocA	codY	-1
rocA	ahrC	1
rocA	abrB	-1
exuR	sigE	1
exuR	sigA	1
exuR	exuR	-1
exuR	ccpA	-1
exuR	spoIIID	-1
yngB	yclJ	1
hisS	T-box-HIS	1
hisS	T-box-ASP	1
yngK	sigK	1
spoVK	sigK	1
spoVK	sigE	1
spoVK	spoIIID	1
senS	senS	1
senS	abrB	-1
bglA	yydK	0
ytrA	sigA	1
ytrA	ytrA	-1
mreC	sigM	1
mreC	sigH	1
yusR	sigE	1
opuE	sigB	1
opuE	sigA	1
opuE	ccpA	1
opuE	codY	0
lytC	sigD	1
lytC	sigA	1
lytC	yvrHb	-1
lytC	slrR	-1
lytC	lytR	-1
mgsR	sigB	1
mgsR	mgsR	1
qodI	qdor	-1
qodI	lmrA	-1
pycA	stringent response	1
rimO	sigA	1
rimO	hrcA	-1
rimO	arfM	0
ylzA	sigF	1
spmB	sigE	1
spmB	spoIIID	-1
yolJ	yvrHb	1
yolJ	rok	-1
yolJ	abrB	-1
yolJ	abh	1
yocD	abrB	-1
yybH	sigE	1
cheA	sigD	1
cheA	sigA	1
cheA	spo0A	-1
cheA	codY	-1
adcC	sigA	1
adcC	zur	-1
pgsE	degU	1
pgsE	tnrA	0
ykoS	sigG	1
cotR	sigK	1
cotR	codY	0
ypbQ	sigG	1
ylaA	ylaC	1
ylaA	sigA	1
ylaA	spx	1
sspP	sigG	1
sspP	spoVT	1
sspP	codY	0
yozM	lexA	-1
yozM	ccpA	-1
yybA	yybA	0
ypqA	sigK	1
ypqA	sigE	1
ytvA	spx	1
cgeC	sigK	1
cgeC	gerE	1
ylbF	spo0A	-1
ctaO	abrB	-1
glnM	sigE	1
glnM	tnrA	1
glnM	codY	0
sat	sigA	1
sat	S-box-SAM	-1
sat	cymR	-1
atpE	stringent response	-1
exuT	sigE	1
exuT	sigA	1
exuT	exuR	-1
exuT	ccpA	-1
exuT	spoIIID	-1
yqgW	ccpA	0
yvoA	sigA	1
yvoA	nagR	-1
yvoA	ccpA	-1
ppiB	sigA	1
ppiB	sigK	1
yrhH	sigX	1
yrhH	sigW	1
yrhH	sigM	1
yhaM	sigE	1
yhaM	lexA	-1
dapG	sigK	1
dapG	sigA	1
yrdP	czrA	-1
yojK	sigK	1
yxeA	yxdJ	1
pyrR	sigA	1
pyrR	pyrR	1
pyrR	purR	-1
coaD	RNA - ylbH	0
xkdJ	xpf	1
sspI	sigG	1
yttA	tnrA	-1
tuaG	sigF	1
tuaG	sigA	1
tuaG	phoP	1
malL	sigK	1
malL	sigE	1
malL	mdxR	0
ysmA	ccpA	0
yqxI	spo0A	1
yqxI	ccpA	-1
yqxI	abrB	-1
coxA	sigE	1
coxA	sigG	1
coxA	spoVT	1
epsI	sigA	1
epsI	sigH	1
epsI	sinR	-1
epsI	eAR	0
epsI	abrB	-1
mbl	sigE	1
mbl	stringent response	-1
fliP	sigD	1
fliP	sigA	1
fliP	spo0A	-1
fliP	codY	-1
tuaF	sigF	1
tuaF	sigA	1
tuaF	phoP	1
yrkO	yrkP	1
lrgA	ccpA	0
lrgA	lytT	0
ykuD	sigK	1
ykuD	ccpA	-1
yvyG	sigD	1
yvyG	sigA	1
yvyG	scoC	-1
yvyG	degU	1
yvyG	comK	1
yxeB	fur	-1
glcR	comK	1
glcR	glcR	0
pdxT	spo0A	-1
spoIIIC	sigK	1
spoIIIC	sigE	1
spoIIIC	spoIIID	1
spoIIIC	gerE	-1
spoIIIC	gerR	-1
ykvZ	bglZ	0
thyA	sigK	1
sigD	sigD	1
sigD	sigA	1
sigD	spo0A	-1
sigD	codY	-1
hemB	sigA	1
hemB	perR	-1
ykcB	yrkP	1
ykcB	yclJ	1
yqhV	sigE	1
yqhV	gerR	-1
yqhV	spoIIID	-1
yqhV	gerE	-1
yolA	abrB	-1
acoR	sigG	1
acoR	ccpA	-1
yclJ	resD	1
yhcH	sigG	1
yhcH	comK	1
yhcH	gabR	0
yvrH	yvrHb	1
yhaN	lexA	-1
yteA	sigG	1
yteA	spoVT	1
opuBB	sigA	1
opuBB	gbsR	-1
opuBB	codY	0
opuBB	yvbF/YvaV	0
ywrA	ywrC	0
yknU	sigE	1
yknU	spoIIID	1
prmA	sigA	1
prmA	hrcA	-1
prmA	arfM	0
yufO	codY	-1
fnr	sigA	1
fnr	resD	1
fnr	nsrR	-1
fnr	fnr	1
citH	sigE	1
citH	spoIIID	-1
citH	ccpA	0
yoaW	sigE	1
yoaW	abrB	-1
besA	fur	-1
besA	abrB	-1
folD	stringent response	-1
folD	purR	-1
sspK	sigG	1
gntK	sigK	1
gntK	sigA	1
gntK	gntR	-1
gntK	ccpA	-1
gntK	abrB	1
gntK	ccpB	-1
copA	csoR	-1
ykrK	ykrK	-1
ymfJ	sigG	1
tagA	sigA	1
tagA	walR	1
tagA	phoP	-1
ctaC	sigA	1
ctaC	resD	1
ctaC	ccpA	-1
ctaC	abrB	-1
ctaC	abh	-1
yvfS	yvfU	0
ycgL	sigG	1
pbpF	sigG	1
pbpF	sigA	1
mhqA	mhqR	-1
yflS	malR	1
cotA	sigK	1
cotA	spoIIID	-1
cotA	gerE	-1
yyaO	sigK	1
tuaH	sigF	1
tuaH	sigA	1
tuaH	phoP	1
yhxD	sigB	1
yodB	yodB	-1
yycQ	sigK	1
yycQ	sigE	1
ytlI	sigA	1
ytlI	cymR	-1
ytlI	spx	-1
ytlI	ytlI	0
iscS.1	codY	0
ydeH	abrB	-1
dctB	sigB	1
ybbA	sigA	1
ybbA	fur	-1
ybbA	citB	1
ybbA	btr	1
ybbA	glcR	0
