SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
M9tran_1,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9tran_2,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9tran_3,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9stat_1,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9stat_2,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9stat_3,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M+G_1,M+G,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid+D-Glucose (E10_1),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
M+G_2,M+G,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid+D-Glucose (E10_1),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
M+G_3,M+G,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid+D-Glucose (E10_1),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Fru_1,Fru,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Fructose (E10_3),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Fru_2,Fru,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Fructose (E10_3),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Fru_3,Fru,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Fructose (E10_3),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Mal_1,Mal,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid (E10_4),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Mal_2,Mal,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid (E10_4),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Mal_3,Mal,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with L-Malic acid (E10_4),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
G+S_1,G+S,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glutamic acid+Succinc acid (E10_5),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
G+S_2,G+S,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glutamic acid+Succinc acid (E10_5),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
G+S_3,G+S,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glutamic acid+Succinc acid (E10_5),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Pyr_1,Pyr,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Pyruvate (E10_6),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Pyr_2,Pyr,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Pyruvate (E10_6),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Pyr_3,Pyr,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Pyruvate (E10_6),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Gly_1,Gly,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glycerol (E10_7),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Gly_2,Gly,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glycerol (E10_7),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Gly_3,Gly,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with Glycerol (E10_7),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Glucon_1,Glucon,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Gluconate (E10_8),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Glucon_2,Glucon,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Gluconate (E10_8),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
Glucon_3,Glucon,10,growing in favorable environment,shifting from glucose to alternative nutrients,growing in M9 with D-Gluconate (E10_8),treatment,M9,10: growing in M9 medium with various nutrients,Grignon
nit_1,nit,11,anaerobic,anaerobic,growing in a synthetic medium nitrate respiration (E11_2),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
nit_2,nit,11,anaerobic,anaerobic,growing in a synthetic medium nitrate respiration (E11_2),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
nit_3,nit,11,anaerobic,anaerobic,growing in a synthetic medium nitrate respiration (E11_2),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
ferm_1,ferm,11,anaerobic,anaerobic,growing in a synthetic medium fermentative growth (E11_3),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
ferm_2,ferm,11,anaerobic,anaerobic,growing in a synthetic medium fermentative growth (E11_3),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
ferm_3,ferm,11,anaerobic,anaerobic,growing in a synthetic medium fermentative growth (E11_3),treatment,synthetic medium,11: growing under aerobic/anaerobic conditions,Braunschweig
T0.30H_1,T0.30H,12,starvation,starvation,30min after glucose exhausted (E12_9),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T1.0H_1,T1.0H,12,starvation,starvation,60min after glucose exhausted (E12_10),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T1.30H_1,T1.30H,12,starvation,starvation,90min after glucose exhausted (E12_11),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T2.0H_1,T2.0H,12,starvation,starvation,120min after glucose exhausted (E12_12),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T2.30H_1,T2.30H,12,starvation,starvation,150min after glucose exhausted (E12_13),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T3.0H_1,T3.0H,12,starvation,starvation,180min after glucose exhausted (E12_14),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T3.30H_1,T3.30H,12,starvation,starvation,210min after glucose exhausted (E12_15),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T4.0H_1,T4.0H,12,starvation,starvation,240min after glucose exhausted (E12_16),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
T5.0H_1,T5.0H,12,starvation,starvation,300min after glucose exhausted (E12_17),treatment,modified M9,12: Glucose gradually consuming/starvation,Greifswald
