LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,G135_1,G135_3,G150_1,G150_2,G150_3,G180_1,G180_2,G180_3
BSU03250,11.7904,11.0346,10.668,11.6895,12.3443,11.8045,11.1183,9.4351,10.5856,11.6581,10.8906,10.8006,11.2761,10.052
BSU03260,8.9473,8.9956,8.5541,8.9428,9.9279,8.8663,8.7199,7.8407,8.5397,9.1319,8.9621,8.5276,8.7149,7.7902
new_352793_352857,13.6854,14.307,14.3177,13.5745,13.684,13.5052,11.7197,9.4046,12.17,12.4508,11.9159,11.2577,10.7072,9.6937
BSU03270,13.3458,14.0888,14.0179,13.4971,13.5368,13.3588,12.0278,9.6352,12.1942,12.5381,11.9349,11.242,11.3966,9.9289
new_353869_356316,12.35,13.22,13.06,12.3,12.22,12.32,11.21,9.26,11.28,11.89,10.87,10.17,10.33,9.13
BSU03280,9.4694,9.0368,9.0233,9.6293,9.3004,9.5547,9.926,8.8651,9.7149,10.0944,10.2676,9.8012,10.0988,9.099
BSU03290,10.9547,11.3011,11.3804,11.0909,11.0559,10.9497,10.6859,9.051,10.6945,11.2601,11.33,10.4418,11.0167,9.624
BSU03300,8.6595,11.5574,11.3548,10.8041,7.8842,8.8843,8.3825,7.566,7.9527,8.756,8.1773,7.8052,7.9143,7.4332
BSU03310,7.0401,6.8935,7.1499,7.047,6.9989,7.104,7.3536,7.4558,7.2545,7.0608,7.3145,7.256,7.1042,7.0266
BSU03320,7.078,6.9775,7.1692,7.081,7.0921,7.1653,7.3062,7.4105,7.2703,7.2114,7.3985,7.3281,7.1679,7.0634
BSU03330,8.6483,8.5568,8.2999,8.651,8.6916,8.707,8.3771,7.8499,8.252,8.5767,8.2966,8.3334,8.7107,7.7957
BSU03340,7.0766,6.966,7.1333,7.073,7.0606,7.0946,7.5706,7.4446,7.4868,7.2029,7.4906,7.3962,7.2286,7.1345
BSU03350,7.0736,6.906,7.1769,7.0702,7.1081,7.1311,7.6344,7.5823,7.4688,7.1938,7.6099,7.4956,7.1965,7.0646
BSU03359,7.1562,6.8829,7.2294,7.0689,7.1861,7.2506,8.0289,7.5994,7.7017,7.4587,7.708,7.6839,7.6269,7.3003
BSU03360,7.1233,6.8827,7.1732,7.0483,7.0878,7.2231,7.8123,7.5895,7.6689,7.3832,7.8832,7.6679,7.5647,7.2544
new_367293_368962,7.0874,6.9357,7.2731,7.0884,7.104,7.1975,7.629,7.6764,7.432,6.963,7.9291,7.4276,7.0022,7.2371
BSU03370,12.1585,11.6477,11.2325,12.2192,12.1433,12.2828,12.3514,10.9652,11.7864,12.0691,12.1326,11.7569,12.3923,11.4088
BSU03380,12.3736,11.815,11.4664,12.5864,12.6738,12.4468,12.6719,10.8564,12.2467,12.8698,12.8544,12.7776,13.2489,12.0315
new_368894_371728_c,7.5448,7.3527,7.5665,7.6862,7.2575,7.4718,7.6387,7.5143,7.5377,7.5901,7.7001,7.4482,7.3503,7.3511
new_368964_369186,7.1906,6.9281,7.3349,7.0558,7.301,7.2072,7.8398,7.5396,7.9309,7.2976,8.858,8.0131,7.1041,7.155
BSU03390,10.3858,9.8274,9.5253,10.1597,10.4393,10.1286,9.381,8.6611,9.5723,10.1839,9.4755,10.1281,10.4143,9.4329
BSU03400,7.2618,7.0657,7.2545,7.2318,7.1834,7.1885,7.6564,7.509,7.5556,7.2775,7.7557,7.7182,7.2796,7.3106
BSU03410,8.5081,8.7395,8.6403,8.5813,8.8665,8.7097,8.9053,7.9212,8.8256,8.5255,8.9995,8.2553,8.2839,7.77
BSU03420,11.0347,11.0809,10.7065,11.0898,11.0558,11.1434,10.8228,9.8774,10.7195,11.1277,11.0344,10.6065,11.0008,10.4958
BSU03430,12.5267,12.3113,12.1104,11.8606,12.4786,12.2377,11.8876,10.321,11.8896,12.1239,12.2355,11.728,12.2273,10.9305
new_372628_372770_c,9.9274,10.2414,9.9992,9.115,9.727,9.6637,8.4249,7.71,8.0382,7.8495,8.3542,7.9527,7.906,7.5813
BSU03440,9.6419,9.8545,9.7065,9.1463,9.3699,9.3068,7.8521,7.6163,7.8381,7.7655,8.0558,7.7797,7.7064,7.4115
new_372801_375944,8.5281,8.5751,8.4344,8.2521,8.0034,8.4284,8.2661,7.8182,8.3472,9.0176,8.659,8.0605,8.1616,7.8584
BSU03450,10.445,10.5935,10.0698,9.7489,10.1898,9.524,8.4952,7.8525,8.6225,9.0112,8.9868,8.3928,8.5961,7.9381
BSU03460,10.6039,10.7952,10.547,9.7124,10.4002,9.7998,8.7344,7.8901,9.0031,9.2783,9.2534,8.7815,8.9845,8.3425
BSU03470,9.8743,9.5817,9.3763,9.0223,9.9257,9.4718,8.8055,8.1236,8.8301,9.2253,8.6731,8.7623,9.1126,8.4439
new_376667_376967,14.673,14.5498,14.1372,14.0526,14.5121,14.0844,12.3407,10.3118,13.0239,13.8755,13.349,9.8207,10.3635,9.6906
BSU03480,14.7036,14.7454,14.6866,14.3785,14.21,14.2797,12.9776,11.2257,13.5561,14.4541,13.9112,10.2012,11.069,9.644
BSU03490,15.0447,15.2774,15.1898,14.7524,14.8142,14.6734,13.5515,11.6172,14.0262,14.9572,14.518,10.9042,11.7713,10.2058
BSU03500,15.067,15.3006,15.1009,14.7869,14.741,14.6494,13.5653,11.5493,14.0247,14.8564,14.5312,10.7963,11.7054,10.1627
BSU03510,14.6875,14.9395,14.8093,14.2997,14.3743,14.198,13.1789,11.4232,13.537,14.543,14.0503,10.52,11.3874,9.8702
BSU03520,13.98,14.5097,14.1506,13.5616,13.804,13.578,12.7149,11.2209,13.0227,13.8995,13.5175,10.1812,11.2113,9.6562
BSU03530,9.3049,9.6827,9.388,9.2093,9.4635,9.2364,8.5742,8.0061,8.6487,9.794,9.0102,7.554,7.6698,7.3006
BSU03540,10.6041,10.7664,10.1226,10.5844,10.9812,10.5732,9.9999,8.649,9.8086,10.2755,10.0654,9.8363,9.9654,9.362
BSU03550,8.4006,8.3411,8.089,8.3249,8.0704,8.2598,8.6714,7.8973,8.492,8.89,8.7707,8.5655,8.8901,8.2784
BSU03560,8.3028,8.3224,8.0155,8.1249,8.5593,8.1347,8.1124,7.6779,8.0255,8.27,8.3561,7.9621,7.9874,7.6891
BSU03569,10.6075,10.5877,9.9485,10.4831,10.7084,10.5029,9.7915,8.5851,9.8704,10.593,9.9073,9.7451,10.1865,9.3334
BSU03570,10.888,10.72,10.1151,10.5577,10.9303,10.8645,10.0056,8.7892,9.9631,10.8579,10.4898,10.2275,10.7377,9.7318
BSU03580,11.7111,10.8808,10.1805,11.8438,11.8336,11.6251,10.9938,9.7543,10.5487,11.6109,10.7447,10.863,11.3989,10.69
new_409056_409207_c,9.8946,9.7211,9.6801,8.4502,9.4841,10.286,10.8981,9.7915,9.6807,10.2564,10.8091,11.0498,11.5139,10.9171
BSU03590,12.7526,12.2233,11.9081,12.8421,12.5832,13.0469,13.3104,11.6453,12.5165,13.1738,13.1036,13.1096,13.6505,12.221
BSU03600,12.577,12.1509,11.7355,12.7422,12.4535,12.9295,12.7929,11.0915,12.2578,13.1102,12.8,12.7303,13.3116,12.0766
BSU03610,13.6034,13.1602,12.8097,13.6133,13.7011,13.9172,13.5305,11.6788,13.1679,13.9204,13.7486,13.9974,14.3981,13.2501
BSU03620,9.0422,8.5887,8.4584,8.5948,8.6414,8.6687,9.0067,7.88,8.7758,9.0081,9.1211,8.723,9.1934,8.3067
BSU03630,8.6037,8.3885,8.519,8.0689,8.4375,8.3366,8.4673,7.6655,8.5483,8.5349,8.8329,8.3032,8.336,7.7403
BSU03640,8.4767,8.3076,8.2163,8.0818,8.2853,8.2678,8.3704,7.6978,8.3839,8.413,8.6755,8.1718,8.3362,7.6386
BSU03651,8.5633,8.4371,8.3875,8.1774,8.4017,8.413,8.5805,7.9221,8.5041,8.6202,8.6957,8.3406,8.5134,7.8356
BSU03652,7.9243,7.9349,7.8894,7.6805,7.8331,7.9484,7.9274,7.5923,7.9264,7.9234,8.1886,7.8592,7.8774,7.2767
BSU03660,9.5759,9.6315,9.3872,9.1082,9.6873,9.5432,9.1148,8.1918,8.9803,9.1966,9.2827,8.9781,9.3318,8.3997
BSU03670,11.8743,11.7269,11.2883,12.0711,11.604,11.8927,12.8427,11.0667,12.4343,12.4589,12.5,12.0875,12.5453,11.6105
new_417763_418267_c,7.0388,6.9327,7.1186,6.9543,6.8911,7.0263,7.3276,7.527,7.2087,6.9414,7.2586,7.1751,6.8799,7.1339
BSU03680,7.884,7.6692,7.6297,7.8856,7.673,7.8299,8.4446,7.9919,8.1785,8.4899,8.4671,8.5451,8.7048,7.9099
BSU03690,7.4927,7.4572,7.5054,7.5253,7.8245,7.4732,8.016,7.6047,7.7704,7.6982,7.7336,7.7027,7.5847,7.4884
BSU03700,7.8343,7.5616,7.4746,8.0698,8.0331,8.1503,8.3512,7.7892,7.9927,8.6568,8.3102,8.311,8.4353,7.8147
BSU03710,8.0855,7.7118,7.8002,8.2745,8.2589,8.3423,8.808,7.9244,8.3594,8.7442,8.6356,8.4402,8.7311,7.8425
BSU03720,8.2553,8.1222,7.9022,8.3919,8.3248,8.5013,8.7144,7.9613,8.3849,8.6966,8.5548,8.4041,8.7369,8.024
BSU03730,7.6634,7.4841,7.6346,7.415,7.4958,7.7126,7.7196,7.5045,7.6364,7.6255,7.9759,7.821,7.6959,7.2542
BSU03740,7.3683,7.2179,7.3645,7.3092,7.2361,7.41,7.7174,7.5022,7.5091,7.3971,7.9433,7.6211,7.4259,7.1694
BSU03750,10.807,11.1299,10.747,11.0137,10.6935,10.8224,10.7444,8.8822,10.5159,10.9799,10.8967,10.4412,10.8594,9.6387
BSU03760,11.1131,11.4831,11.312,11.4387,10.7701,11.1219,11.2705,9.4092,10.8775,11.3522,11.2833,10.8785,11.3201,10.0208
new_428689_428793,9.7486,9.3602,9.9625,10.5421,9.4942,9.0796,10.0797,8.436,9.7046,10.2871,9.5448,9.4061,9.8482,8.7883
BSU03770,12.7654,12.5985,12.1134,12.6818,12.2015,12.2441,12.0938,10.2609,12.0579,12.838,12.4709,11.1354,11.7198,10.5626
BSU03780,13.0978,13.1496,12.9659,12.9267,12.638,12.738,12.3897,10.6304,12.1029,12.9267,12.4675,11.2891,11.8821,11.243
BSU03788,7.5599,7.6038,7.6506,7.3742,7.5969,7.5841,8.6242,8.4138,8.1076,8.1243,8.6262,8.2314,7.984,8.5678
BSU03789,8.8653,9.2864,8.8192,8.4644,9.0608,8.818,9.3817,8.715,8.7037,8.8951,8.7274,8.5213,8.7855,9.7174
BSU03790,8.9984,10.0672,9.4964,8.845,9.4698,9.171,8.5053,7.7569,8.6779,8.8334,8.9626,8.3761,8.3106,7.6306
new_432271_432371,15.7081,15.6531,15.7871,15.2853,15.9142,16.1482,15.5326,12.807,15.2597,15.9037,15.5459,14.755,14.5664,13.5129
BSU03800,14.2384,14.6071,14.3343,14.6348,14.3807,14.5844,14.3388,11.959,14.2266,14.8253,14.244,13.3583,13.5041,12.0737
BSU03810,14.5395,14.6766,14.7158,14.8944,14.4164,14.7446,14.6644,12.2636,14.5491,15.1214,14.6257,13.7612,13.6642,12.5535
BSU03820,14.596,14.7466,14.7017,14.8957,14.4909,14.7431,14.8624,12.3521,14.6438,15.2542,14.6589,14.0142,14.1693,12.6056
BSU03830,14.9846,15.1752,15.04,15.0938,15.0013,15.1635,15.2864,12.9598,14.9261,15.4439,15.0087,14.388,14.3711,13.2011
BSU03840,10.1401,9.6329,9.3422,10.4934,10.0807,10.4942,10.253,9.1821,9.7122,10.6691,10.3402,10.0979,10.3775,9.7191
BSU03850,10.7183,10.1458,9.6218,11.0887,10.6922,10.9912,10.8178,9.3337,10.1959,11.4821,11.1468,11.0423,11.4443,10.2362
new_438353_438419_c,11.9463,10.5317,10.5379,12.0035,11.8264,11.8899,11.8227,9.7285,11.0591,12.5713,12.074,11.8137,12.1427,10.9079
BSU03860,11.3568,11.4942,10.9482,10.7201,11.2669,11.1297,10.0473,8.9717,9.8818,10.4663,9.964,10.2038,10.7565,9.6846
BSU03870,11.747,11.6817,11.4079,11.3006,11.7152,11.4699,10.235,8.9917,10.2177,10.5993,10.3531,10.5837,11.102,9.7193
BSU03880,10.1782,10.2574,9.6316,9.9548,10.4618,10.0813,10.2524,9.3989,9.799,10.5179,10.065,10.6027,11.2508,10.7819
BSU03890,7.932,8.0101,7.7319,7.6772,7.5919,7.6071,7.5289,7.4696,7.5335,7.3746,7.7734,7.486,7.2604,7.1248
BSU03900,7.4004,7.1767,7.2914,7.344,7.2822,7.3384,7.6924,7.5168,7.532,7.618,7.7916,7.7835,7.8392,7.3461
BSU03910,10.7711,10.7409,10.2149,10.3645,10.8392,10.4972,10.3033,8.9675,9.9607,10.2486,10.1821,9.8382,10.3211,9.4734
BSU03920,6.8899,6.8204,7.0528,6.7885,6.986,6.9971,7.3919,7.4368,7.2665,6.8777,7.4773,7.2955,6.89,7.0236
BSU03930,7.1247,7.0015,7.227,7.0662,7.2289,7.2005,7.4839,7.5016,7.5203,6.9943,7.8852,7.5711,7.1193,7.0681
BSU03940,11.2982,11.6848,11.6922,11.3264,10.0127,11.463,13.4852,11.4946,11.9155,12.7848,12.634,12.6367,13.3343,11.8834
BSU03950,12.2139,12.8975,12.8016,12.3654,10.9202,12.3977,14.1273,11.8708,12.9359,13.81,13.3631,13.2635,13.7715,12.4598
BSU03960,12.6877,13.3376,13.0557,12.7512,11.1684,12.9568,14.4792,11.8183,13.2643,14.0806,13.6612,13.7,14.0688,12.8536
BSU03970,10.8032,10.877,10.5892,10.5217,10.7506,10.7416,11.1541,9.6084,10.7847,11.3224,10.8053,11.1709,11.5175,10.1252
new_449651_449723,9.1354,12.4785,12.2481,12.305,10.5544,12.0409,13.5937,11.2461,12.7024,9.1214,13.9663,11.781,11.8347,11.2026
BSU03981,8.8237,11.5558,11.4078,12.0165,9.7418,11.4392,13.127,10.8186,12.1605,8.9975,13.0879,10.8161,11.0158,10.7161
BSU03982,9.1263,11.2919,11.2581,12.2324,10.2142,11.8325,13.4093,11.2484,12.7218,9.6253,13.5715,11.2876,11.4086,11.0457
BSU03990,9.3347,11.1484,10.9738,12.3309,10.4396,12.008,13.7847,11.6108,12.8626,9.9414,13.8313,11.4082,11.5106,11.0732
BSU04000,12.1219,12.1566,11.7694,10.0122,9.7501,10.0251,10.5778,8.9587,11.3701,11.0279,11.5877,9.6605,10.1322,9.2559
BSU04010,12.3454,12.2232,11.8811,11.7808,11.9886,11.5489,11.1829,9.389,11.7228,11.6275,12.0376,10.696,10.8901,10.0808
new_454593_455317,11.3212,11.1865,10.7401,10.9063,10.383,10.5267,10.4132,9.026,10.6122,10.846,10.7618,9.5732,9.7614,9.3585
BSU04020,9.3398,9.6743,9.2116,9.0149,9.8521,9.4634,8.5859,8.0433,8.808,9.2903,9.0605,8.6121,8.673,8.1872
BSU04030,11.2993,11.1368,10.6825,10.8663,11.0375,10.7813,10.0993,9.1808,10.431,10.8834,10.5981,10.1264,10.5503,9.4673
BSU04039,7.3909,7.655,7.8365,7.3487,7.6048,7.4962,8.1255,7.6853,8.0563,7.5996,8.9053,8.3443,7.7741,7.2445
BSU04040,12.4777,12.5949,12.2529,12.2717,12.6036,12.4488,11.5287,9.7845,11.5486,12.0787,11.7212,11.7441,12.2145,10.8887
new_456926_457022,10.0037,10.8009,10.2923,9.8345,10.3414,9.8936,9.8772,8.8357,9.4078,10.2766,9.882,9.5269,9.7272,8.5098
BSU04050,9.5547,10.3693,9.7916,9.5612,9.8252,9.3156,9.6624,8.6417,9.0059,9.9844,9.5431,9.2407,9.6752,8.4999
BSU04060,9.4348,9.9455,9.722,9.6318,9.4434,9.4349,9.3104,8.3648,8.8776,9.9718,9.2319,8.7397,9.1811,8.3615
BSU04070,9.6433,9.9498,9.7753,9.674,9.4502,9.5127,9.5381,8.2892,9.0734,10.0363,9.705,9.2328,9.5617,8.5269
BSU04080,9.9008,10.0254,9.9733,9.6184,9.6564,9.6505,9.7586,8.5864,9.2882,10.2278,9.8353,9.3296,9.5933,8.8907
BSU04090,9.5063,9.6434,9.3286,9.253,9.2806,9.2454,9.3474,8.312,9.0482,9.787,9.6294,9.0162,9.3743,8.4252
BSU04100,9.6074,9.8718,9.5598,9.2505,9.3453,9.4711,9.4311,8.3265,9.1648,9.9134,9.7981,9.2022,9.5468,8.4472
BSU04110,9.4969,9.6141,9.3802,9.1672,9.3084,9.5283,9.5012,8.4351,9.0725,9.8053,9.7075,9.142,9.4993,8.8586
new_463070_463495_c,9.9887,10.5512,10.294,9.6292,9.6818,9.6342,10.1369,8.7997,10.2517,10.6304,10.5516,9.9692,10.0535,9.5209
BSU04120,12.7329,12.5187,11.6669,13.0192,13.6342,13.5025,9.0319,8.3223,9.3573,10.6201,9.5369,9.9295,10.2542,9.7134
new_463491_463901,10.862,10.6225,9.5421,10.9659,11.5307,10.9307,8.3718,7.8612,8.3907,9.7058,9.001,8.6548,9.2203,8.2966
BSU04130,10.5075,10.7612,10.3765,10.4089,10.9374,10.2336,9.6976,8.3156,10.0512,10.1995,10.3898,9.7493,9.7201,9.0046
BSU04140,13.5548,13.4749,13.2172,13.5758,13.2432,13.452,12.5658,10.5056,12.6739,13.1777,13.182,12.7391,13.1236,11.6365
new_465941_466041,13.4622,13.5635,13.3028,13.0899,13.2448,13.4502,12.7383,10.6068,12.5825,13.1495,12.9848,12.5783,12.9878,11.5918
BSU04150,12.6797,12.812,12.8622,12.4552,12.5249,12.719,12.1172,10.5592,11.8171,12.4092,12.2999,11.8144,12.1017,11.1499
new_467042_467129,10.3093,10.6172,10.6117,10.2195,8.4931,9.046,11.3209,9.1456,10.8945,10.3386,11.7333,9.2611,9.9233,9.4665
BSU04160,10.4209,10.4373,10.3174,9.8312,8.5442,9.5084,11.3034,9.4376,10.8545,10.1916,11.5786,9.8299,10.1745,9.6933
new_469286_469367,7.3803,7.1115,7.2153,7.0244,7.1113,7.2118,9.0622,7.7735,7.9292,7.5205,8.2137,7.9147,7.5481,7.633
BSU04170,9.8745,9.623,9.4555,9.9026,10.1578,10.1544,10.0477,8.6614,10.2516,10.3855,10.1966,9.4342,9.5651,8.838
BSU04180,6.9628,6.8278,7.1323,6.9619,7.0824,7.205,7.3331,7.3453,7.286,7.0322,7.4513,7.3728,6.9645,7.0002
BSU04190,7.1709,7.0628,7.3043,7.0844,7.4645,7.1973,7.5377,7.4801,7.5761,7.3502,7.5224,7.4036,7.1958,7.1304
BSU04200,7.1163,7.0243,7.3359,7.1232,7.3175,7.2064,7.4613,7.4872,7.4682,7.0586,7.4946,7.3627,7.172,7.0693
BSU04210,10.1617,10.6747,9.9801,10.4534,11.1693,9.8833,8.8313,7.8291,8.8695,9.4454,9.0215,8.8869,9.0045,8.1427
BSU04220,10.219,10.7639,10.2292,10.2641,11.3219,10.0323,9.0182,8.1406,9.0087,9.4686,9.0889,8.9592,9.1,8.3337
new_474268_474634,11.9846,12.0109,11.2994,12.4027,12.4172,10.913,13.5365,12.078,12.3021,13.4562,11.915,12.8428,13.1742,12.6923
BSU04230,10.8508,9.7943,9.0726,10.1942,11.1129,10.209,10.1491,9.0761,9.6793,11.3107,9.4878,9.9642,10.4734,9.4546
BSU04240,12.4406,12.8079,12.3039,12.7916,11.29,12.255,12.2022,10.1276,11.5043,12.0856,11.301,12.0041,12.6243,10.896
BSU04250,11.3366,11.5753,11.0411,11.4267,11.1803,11.2659,10.9017,8.9446,10.7461,11.2901,11.3909,10.7107,11.1815,9.9253
BSU04260,12.5394,12.5961,12.3271,12.78,12.3747,12.5379,12.6779,10.6465,12.1513,12.8377,12.8381,12.4534,12.9735,11.379
new_478812_478943,9.1171,8.7864,8.7368,8.8063,8.7944,8.7112,9.3061,8.2822,9.1987,9.5148,9.0969,9.1733,9.2754,9.1193
BSU04270,10.418,9.2449,8.9429,10.827,10.0814,10.5619,9.3904,8.4443,9.0387,10.3323,9.7033,10.032,10.4962,9.2237
BSU04280,9.5658,8.2672,8.193,9.6462,8.4636,9.4718,8.9254,8.0244,8.613,9.775,9.2041,9.2019,9.5928,8.5316
BSU04290,9.6148,8.5508,8.443,9.5174,8.6748,9.7498,9.1002,8.1713,8.693,9.8482,9.4332,9.44,9.8763,8.7209
BSU04300,9.5799,8.7986,8.5618,9.7428,8.7954,9.9873,9.1809,8.1398,8.5255,9.9336,9.3495,9.3136,9.7264,8.6193
BSU04310,10.0475,9.2989,9.1198,10.4566,9.3726,10.4943,9.4291,8.432,9.0041,10.2567,9.8696,9.8193,10.3739,9.095
BSU_misc_RNA_7,13.1218,12.8787,12.278,13.1533,13.7449,13.1945,12.4725,10.2793,12.1927,12.7022,12.084,11.9441,12.4272,11.4661
new_486278_486431,11.8077,11.5274,11.1193,12.4655,11.427,12.1671,12.3482,10.2717,12.1283,12.5115,12.0685,11.9755,12.1944,11.4021
BSU04320,10.8865,10.5292,10.3282,11.3293,10.2016,11.285,11.4762,9.6983,11.1218,11.4225,10.9419,10.7741,11.2452,10.2251
BSU04330,8.2718,7.7195,7.6795,8.0509,8.1142,8.2315,8.8114,7.8841,8.4282,8.7847,8.6086,8.6077,8.9594,8.1003
BSU04340,8.1914,7.9941,7.9415,8.1987,8.2577,8.2659,8.9449,7.9924,8.4847,8.7771,8.8896,8.7738,8.9831,8.0339
new_489666_490525_c,9.9147,9.4512,9.1255,9.2969,8.95,9.1359,9.7814,8.4328,9.4673,10.7294,10.0431,9.5327,10.0989,9.3517
new_490527_490638_c,12.1148,12.0718,10.572,10.7786,11.3368,13.0068,11.05,10.2049,10.4623,11.932,11.2584,10.6045,10.5294,10.6677
new_490639_490854,7.0698,7.055,7.4489,7.2305,7.3441,7.3957,8.4573,7.6771,7.7736,6.9539,8.7829,8.1731,7.1619,7.0337
new_490705_490776_c,12.9534,13.3891,13.1678,11.696,13.517,12.854,12.9399,11.1279,12.5115,13.4164,12.2035,12.5506,12.9977,11.964
BSU04359,12.6434,12.9137,12.3393,12.3809,13.0241,12.3523,12.4316,10.9079,11.9117,12.8814,12.0456,11.9484,12.2721,11.3632
BSU04360,13.9539,15.0412,14.6872,14.5996,14.6091,14.3336,13.836,11.8285,13.5469,14.3294,13.1919,13.1929,13.3583,11.7196
new_492500_492577_c,6.9052,7.2047,7.3154,7.0203,7.1334,7.474,8.0221,7.8389,7.5322,7.1818,7.5733,7.5301,7.0797,7.2221
BSU04370,7.1614,7.1725,7.309,7.1612,7.3141,7.2744,7.4847,7.4865,7.3182,7.1246,7.4579,7.3019,7.1214,7.0251
BSU04380,7.2067,7.0995,7.2998,7.1799,7.3174,7.2809,7.4559,7.5032,7.4393,7.1986,7.655,7.4706,7.2009,7.085
BSU04390,10.7691,10.8085,10.4497,10.1927,10.9648,10.5115,9.978,8.5841,10.1617,10.3858,10.2862,10.0916,10.421,9.1702
BSU04400,7.9548,8.2769,8.2623,7.7781,8.5866,7.858,8.2772,7.7051,8.1724,7.9191,8.2872,8.0762,8.0217,7.5241
BSU04410,9.0921,9.6255,9.3431,8.8338,9.3632,8.7343,8.2577,7.8173,8.3841,8.4074,8.7373,8.3741,8.3275,7.6723
BSU04420,9.0976,9.6226,9.347,8.7878,9.3557,8.7871,8.2624,7.8208,8.4142,8.4175,8.7797,8.3879,8.3556,7.6827
new_495406_495699_c,7.3336,7.0845,7.3069,7.1162,7.0552,7.1145,7.4218,7.4375,7.4034,7.3303,7.6569,7.4297,7.0622,7.3248
BSU04430,9.9651,9.9217,9.5709,9.2265,9.0664,9.4572,9.9105,8.6125,10.0181,10.0478,10.3984,9.4947,10.0397,8.7745
BSU04440,10.3376,10.1149,9.8888,9.7075,9.4011,9.9885,10.3024,8.6528,10.3376,10.3144,10.7271,9.9433,10.3436,9.104
new_496980_497767,10.2217,10.2162,9.6298,9.8733,10.094,9.6954,9.1597,8.1709,9.4477,9.7207,9.7432,8.947,9.2182,8.6046
BSU04450,10.3295,9.855,9.7203,9.4996,9.0922,9.3001,9.4234,8.1867,9.7619,9.9031,10.3391,9.1233,9.475,8.5137
BSU04460,10.6381,10.0493,9.9909,9.5996,9.0224,9.5482,9.7823,8.5201,10.2861,10.3119,10.9268,9.4642,9.9836,8.9968
new_500046_500120,10.5385,9.8888,9.7881,9.5583,8.6658,9.4201,9.7413,8.4915,10.1944,10.2667,10.8662,9.1327,9.537,8.7005
BSU04470,13.8709,13.7902,13.2622,9.2417,8.6868,9.408,9.4902,8.5017,12.7642,11.3494,12.7825,9.1662,9.5908,8.8774
BSU04480,12.3099,12.3113,12.043,12.3507,12.6948,12.6212,11.7082,10.3804,11.4961,11.9981,11.6921,11.7531,12.1732,11.3183
new_502632_502875,11.9909,11.9117,11.5494,11.9283,11.7923,12.2178,11.2422,9.9675,10.7359,11.5864,11.4452,11.1143,11.7593,10.6418
BSU04490,12.1057,11.5651,11.43,12.152,11.1068,11.9289,12.2607,10.4953,11.7212,12.3762,12.1574,11.9188,12.4681,10.9903
BSU04500,11.7499,11.4025,10.9828,11.8046,10.9428,11.8015,11.7546,10.2734,11.1705,11.7682,11.2918,11.242,11.6249,10.7348
BSU04510,11.9651,13.2776,12.6187,12.408,11.2706,12.6104,11.8062,10.3854,10.9649,11.7849,10.8121,10.7854,11.405,10.8671
new_505044_505113,10.2109,11.4827,11.2146,11.0944,9.557,10.6165,10.4282,8.7412,9.5218,10.8752,9.9023,10.0813,10.3941,9.2793
BSU04520,10.384,11.1774,10.7418,10.679,10.3563,10.4985,10.5523,8.8956,9.8208,10.6334,10.0244,10.2351,10.5864,9.4783
BSU04530,13.454,15.4288,15.3087,14.1684,12.8139,14.0571,11.8403,9.5197,11.518,12.4979,11.2821,11.2163,11.3536,10.0622
new_506502_506670_c,13.4692,15.5007,15.4438,14.1307,13.0407,14.2387,12.0348,9.6071,11.8495,12.6487,11.4037,11.4181,11.5087,10.3726
BSU04540,12.8797,12.5798,12.1112,12.4519,12.432,12.2874,11.5996,9.6921,11.306,12.3701,11.4589,11.1633,11.6837,10.1805
new_507683_507752_c,13.175,13.2405,13.0417,12.7306,13.217,13.1872,11.8948,10.929,11.5579,12.1495,11.1265,12.6223,12.7975,12.1854
new_507739_508088,12.6264,12.4817,12.0158,12.1073,11.8309,12.0015,12.2331,10.5324,11.7155,12.6623,12.0384,11.4886,11.7871,11.033
BSU04550,12.6261,12.8541,12.5342,12.6809,12.9979,12.7971,11.3283,10.7197,11.3753,11.8394,10.9843,12.6362,12.8564,11.8222
new_508090_508247,14.1888,14.2352,13.8781,13.7832,13.4559,14.0668,13.1076,10.6366,12.8798,13.7002,13.1343,12.9579,13.5908,12.3492
BSU04560,14.002,13.9885,13.6575,13.9232,13.7666,13.8029,13.6168,11.6314,13.3769,13.9631,13.6378,13.4796,13.9468,12.5143
BSU04570,12.9661,12.6209,12.4237,12.9446,13.1538,12.653,12.9167,10.925,12.5225,13.1884,13.0819,12.6411,13.3045,11.6702
new_510862_511036,13.8937,13.696,13.5721,14.0167,14.1832,13.7978,14.0617,12.2538,13.8708,14.1898,13.8543,13.6965,14.1186,12.5665
new_511038_511105,15.6461,14.9208,14.433,14.9949,15.6449,15.0945,15.4379,13.6277,15.6229,15.5258,15.5161,15.4889,15.4786,14.4643
BSU04580,14.8228,14.3938,14.1495,14.972,14.8374,14.7762,15.0584,13.2874,14.6675,15.1005,15.0957,14.8751,15.2355,14.1722
new_512754_512813,11.8726,12.2922,11.1431,12.8933,12.2734,12.8244,11.9377,9.8074,11.6498,13.1111,12.1494,12.0636,12.5023,11.6668
BSU04590,13.0504,13.0505,12.6424,13.2236,12.9978,12.9232,13.7488,11.4391,13.3705,13.7954,13.6389,12.8666,13.0295,11.9034
BSU04600,13,12.963,12.6787,12.8363,12.7322,12.7884,13.6851,11.5272,13.3641,13.6164,13.3697,12.7335,13.1743,11.8946
