LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,G135_1,G135_3,G150_1,G150_2,G150_3,G180_1,G180_2,G180_3
BSU00220,12.6192,12.5135,12.402,12.9146,11.4173,12.5881,13.6179,11.7202,12.8326,13.3834,13.6209,13.4304,13.6774,12.8394
BSU00230,12.0044,11.9025,11.6707,12.408,10.2124,11.5929,12.6817,10.9412,12.1621,12.8037,12.4487,12.1597,12.7153,11.9876
new_30076_30278,16.4151,16.3564,15.6851,15.685,15.8899,16.3652,16.1046,14.5487,16.093,16.4252,16.3291,16.349,16.3514,16.2288
new_35104_35236,13.0549,13.059,12.1299,8.4766,13.1062,13.0397,13.6684,12.9851,12.8296,14.0016,13.1249,13.2577,13.4848,13.0441
new_35356_35458,12.3976,12.052,11.4112,8.781,9.4089,11.7703,13.0108,11.7017,12.0343,13.4371,12.8523,12.9339,13.5097,12.8783
BSU00240,12.1169,11.8474,11.1761,12.1572,9.3412,11.5976,12.9651,11.6915,11.8517,13.2859,12.6927,12.7848,13.0524,12.3032
BSU00250,12.1286,12.3048,11.738,12.1742,11.9124,11.761,12.2363,10.1015,11.6759,12.7508,12.3441,12.0644,12.1709,11.4829
BSU00260,12.1038,12.0978,11.7441,12.044,11.6587,11.629,12.4139,10.3427,11.9101,12.7589,12.532,12.0197,12.3245,11.2095
new_37639_37719,12.2852,11.6554,11.7991,12.3652,11.7014,11.6527,12.5701,10.4313,12.0982,12.9199,12.6928,12.171,12.4101,11.5669
BSU00270,12.4828,12.0069,11.7919,12.4529,11.9535,11.9214,12.8039,10.8394,12.338,13.06,12.8129,12.407,12.9143,11.6635
BSU00280,12.6527,11.9974,11.8278,12.5242,12.0776,12.2667,13.2386,11.1368,12.6763,13.3772,13.1787,12.5405,13.089,11.9317
BSU00290,13.3712,13.2279,13.1544,12.968,13.1004,13.0787,13.7208,11.3745,13.3148,13.6057,13.7346,13.3029,13.4332,12.5856
BSU00300,13.9657,13.8472,13.9181,13.7731,13.7656,13.8208,14.4681,12.2144,13.9441,14.4598,14.5215,14.3125,14.4668,13.4347
BSU00310,13.7216,13.6048,13.1983,13.6307,13.1155,13.4433,14.0372,11.8909,13.5253,13.9628,14.1502,13.744,14.1639,12.9593
BSU00320,13.8523,13.9226,13.6264,13.9295,13.5702,13.6455,14.1441,11.9766,13.746,14.0241,14.1406,13.7811,14.0973,12.8822
BSU00330,13.4756,13.5201,13.4585,13.687,13.1723,13.3056,13.4969,11.6569,13.31,13.5677,13.7972,13.9178,14.2618,13.0489
BSU00340,12.491,11.9786,11.8541,12.7136,12.2991,12.0412,13.1106,10.7858,12.5849,13.1514,13.0692,12.8318,13.3662,11.8759
BSU00350,12.8424,12.1963,12.0208,12.8218,12.5508,12.4823,13.3737,11.1706,12.9047,13.4519,13.2874,13.277,13.5961,12.4152
BSU00360,12.3893,11.9382,11.7658,12.6148,12.3761,12.3585,13.1229,10.9434,12.6281,13.1842,12.824,12.755,13.1982,11.9596
BSU00370,14.4855,14.1513,14.0171,14.4619,14.4877,14.8004,13.9581,13.0644,13.1339,13.5196,13.2444,15.4092,15.699,14.7004
new_45224_45399_c,8.4947,8.4673,8.493,8.3916,8.798,8.2184,9.7597,8.7933,9.1688,9.0308,10.3259,10.2638,10.653,10.0007
new_45524_45632,14.0751,14.058,13.8999,13.7171,14.2346,13.9609,13.0451,10.7108,13.2828,13.4466,13.7936,13.0765,13.5432,12.5161
BSU00380,13.816,13.8333,13.7128,13.7431,13.6865,13.8064,13.2696,11.2574,13.3139,13.4545,13.7736,13.0618,13.4629,12.3109
new_47673_50019_c,10.4329,10.6477,10.736,9.8804,8.1004,8.854,9.6635,8.9713,8.6683,10.0744,9.1015,8.7101,8.9377,9.4927
BSU00390,11.6509,11.6492,11.525,11.516,11.4273,11.4407,11.2953,9.4954,11.3968,11.8348,11.7789,11.3337,11.9125,10.5235
new_48474_48554,11.1,11.3425,11.4558,11.2625,10.9893,10.8044,11.1841,9.5145,11.0836,11.1408,11.3073,10.9595,11.3396,10.5387
BSU00400,12.4448,12.5121,11.7984,11.8303,13.0646,12.2984,12.5234,11.0821,11.9126,12.3471,12.4256,12.9906,13.3951,12.3793
new_49987_50086,13.1922,12.3313,12.1724,9.7408,13.462,12.8575,13.1652,11.205,12.8616,13.4698,12.518,13.0988,13.5694,12.1475
BSU00410,12.3668,11.2905,11.0155,12.5925,12.6312,12.1356,12.6704,11.1075,12.3198,12.886,12.5827,12.8734,13.2843,11.7507
BSU00420,11.9763,10.9383,10.6044,12.0603,12.1316,11.858,12.2313,10.7084,11.6889,12.2866,12.2648,12.1909,12.6722,11.5054
new_51558_51679,8.3015,7.4463,7.546,8.6597,10.2176,8.4118,9.3408,8.3802,8.5991,9.3466,8.8694,9.1515,9.4044,8.8081
BSU00430,7.974,7.1335,7.3577,8.1337,9.5498,8.097,8.8627,8.1756,8.1737,8.8251,8.5379,8.8405,8.9464,8.3932
new_52649_52719,7.2908,7.1502,7.8201,7.6076,7.4001,7.2993,8.7773,8.2005,7.8937,7.3743,7.8877,8.0229,7.5055,7.6734
BSU00440,15.3576,15.1346,15.3695,14.8635,15.3935,15.1661,14.6202,14.1216,14.0136,14.7257,13.3859,15.4044,15.6541,14.5938
new_53111_53182,9.7369,9.5604,9.6002,10.4956,10.7583,9.3644,11.3058,10.3196,10.0829,10.8791,9.7386,11.2756,11.5706,10.4398
BSU00450,10.0816,9.666,9.7362,10.5306,10.9018,9.4381,11.3023,10.3248,10.2057,10.9336,9.8294,11.447,11.7734,10.4108
new_53363_55717_c,7.3153,7.2688,7.4773,7.4385,7.3925,7.3946,7.9878,8.0234,7.5867,7.1783,8.0616,7.7468,7.2568,7.9396
BSU00460,13.0716,12.4367,12.0855,13.3207,12.9778,12.8555,13.0963,11.1221,12.6879,13.2221,13.1834,12.9133,13.3166,12.1552
BSU00470,13.5721,13.4764,12.8276,13.9622,13.3972,13.3305,13.6449,11.7557,13.1176,13.7324,13.5418,13.2263,13.7582,12.6793
BSU00480,14.2647,14.1637,14.2311,14.2728,14.2569,14.308,14.0219,12.4635,13.7285,14.1798,14.0901,13.9984,14.4215,13.5785
new_55707_55815,9.4652,9.5134,9.1389,9.1337,10.8044,9.2549,9.8642,8.9068,9.0466,9.8828,9.7045,9.6362,9.9433,9.4398
BSU00490,13.6726,14.5267,14.3072,12.9592,13.2377,12.7063,10.2091,9.0193,11.0506,11.4062,10.6732,10.5649,10.6666,10.1981
new_56193_56304,8.3894,9.315,8.9338,8.0045,8.2142,8.1276,7.9746,7.5561,7.7933,8.0163,7.8824,7.7318,7.5651,7.595
BSU00500,15.435,14.9446,14.8062,15.4414,15.6863,15.4444,15.302,13.4475,15.0891,15.4587,15.5922,15.4053,15.6144,14.5331
BSU00510,15.1898,14.8964,14.8082,15.398,15.311,15.3973,15.3672,13.4666,15.0116,15.3125,15.4375,15.0696,15.4236,14.5414
BSU00520,15.0438,14.8697,14.6602,15.2363,15.0456,15.2029,15.353,13.9057,14.7966,15.0656,15.2778,14.9508,15.118,14.3449
BSU00530,12.8832,12.6621,12.3611,13.1275,12.7871,12.8823,13.266,11.2285,12.8591,13.4014,13.2627,13.104,13.3753,12.3043
BSU00540,12.9327,12.6372,12.4533,12.9896,12.678,13.055,13.2191,11.2921,12.875,13.3758,13.3253,12.9472,13.4151,12.2651
new_60361_60429,12.7472,12.5264,12.2486,12.9253,12.0852,12.8321,13.0009,11.2493,12.7117,13.2806,13.2303,12.8488,13.2935,12.1583
BSU00550,12.7674,12.4758,12.2297,12.8865,12.2107,12.7523,13.2666,11.2886,12.719,13.3178,13.3918,12.8518,13.3596,12.1748
new_64001_64098,12.4969,12.3395,12.33,12.5911,12.0369,12.7146,13.105,11.2681,12.5147,12.9206,13.0403,12.8133,13.1748,11.9855
BSU00560,12.3765,12.1406,12.0018,12.4055,11.7348,12.4085,13.0961,11.2348,12.3298,12.8805,12.9297,12.5814,13.0733,11.9463
BSU00570,11.5076,10.9041,10.512,11.6578,11.0195,11.5287,11.7356,9.8905,11.3087,11.8878,11.6906,11.4869,12.063,10.6504
BSU00580,13.074,13.016,12.802,12.7613,12.6761,12.7696,12.743,10.6506,12.4259,12.9222,12.9911,12.5379,13.0765,11.7152
BSU00590,13.1459,13.0522,12.7167,13.0802,12.6758,13.0357,12.8501,10.8537,12.521,12.978,13.1588,12.7638,13.1861,11.8427
BSU00600,13.107,12.8722,12.7514,13.0449,12.5728,12.9385,12.6569,10.6865,12.3504,12.7649,12.8337,12.5675,12.7912,11.639
BSU00610,13.0881,12.8318,12.7636,12.9895,12.6522,12.92,13.0195,11.1342,12.6104,12.9541,12.8425,12.5498,12.7957,11.9561
BSU00620,14.0566,13.9809,13.5484,13.6435,13.8852,13.5633,13.5243,11.6593,13.1712,13.8117,13.3081,13.3735,13.996,12.4085
BSU00630,14.8354,14.6357,14.051,14.7788,14.8376,14.7511,14.4844,13.3375,14.2201,14.5799,14.4592,14.6089,14.8739,14.2088
new_70382_70493,10.3668,10.1174,9.7293,10.1273,8.3477,8.911,11.458,9.9861,10.8784,12.238,11.3082,11.3579,11.7561,11.2868
BSU00640,9.2097,8.2854,8.2734,9.0794,7.9574,8.4955,11.1773,9.6473,10.1992,11.4116,10.5853,10.8691,11.3611,10.2166
new_71190_71799_c,7.1094,6.9703,7.1858,7.0942,7.1007,7.0666,7.403,7.5792,7.4678,6.9838,7.9196,7.5596,7.0451,7.131
BSU00650,9.2397,9.0453,8.5918,8.9668,8.8146,9.0073,11.0538,9.6326,9.796,10.9627,10.2902,10.708,11.0206,9.61
BSU00660,8.8276,8.4799,8.3339,8.8077,8.638,8.7301,10.2201,8.7314,9.3012,10.3201,9.7646,9.8743,10.3705,9.0649
BSU00670,13.2391,13.3449,12.7777,13.1024,12.4454,12.6419,13.3249,11.172,12.825,13.2441,13.2829,12.8263,13.4249,11.8748
BSU00680,14.779,14.3791,14.1898,14.6926,14.3613,14.6704,14.9376,12.8951,14.7931,14.8731,15.1799,14.7651,14.9816,13.9745
new_76887_76983,14.9613,14.9933,14.8094,15.1546,14.684,14.7681,15.2028,13.4777,15.0074,15.0854,15.2393,14.8792,15.1387,14.2105
BSU00690,15.9996,15.654,15.5224,15.5719,15.5546,15.7452,15.5579,13.8706,15.5564,15.6227,15.6073,15.3282,15.6407,14.4085
new_78940_79025,11.5585,10.8289,10.5377,11.8829,11.3174,11.2148,12.0364,10.3263,11.3723,12.1765,12.1808,11.8827,12.3729,11.5331
new_79027_79091,13.05,12.4919,11.9676,12.148,13.4841,13.0759,12.5813,10.4652,12.4508,12.7956,12.2165,12.5957,13.2149,11.622
BSU00700,13.1228,12.431,12.0648,12.797,13.2645,12.8592,12.757,10.7431,12.52,12.9238,12.8743,12.8748,13.4214,12.0504
BSU00710,13.0294,12.4305,12.192,12.946,12.9005,12.859,12.5895,10.9718,12.4692,12.8132,12.8067,12.718,13.1283,12.0887
BSU00720,12.3805,12.2943,12.0288,11.9721,12.5495,12.0368,11.8934,10.0147,11.8214,12.0942,12.2949,11.9638,12.3114,11.1527
BSU00730,13.3878,13.5746,13.2599,12.9781,13.3378,12.9974,12.4153,10.7563,12.4394,12.766,12.6386,12.3982,12.7957,11.5635
BSU00740,12.0438,12.0396,11.7929,11.9495,12.1415,11.7437,11.5845,9.6478,11.6774,11.7706,12.0953,11.4262,11.9097,10.5855
BSU00750,13.2626,13.1897,12.9321,13.0589,13.1077,13.0179,13.0482,11.1565,12.9555,13.117,13.3692,12.9026,13.4181,11.9576
BSU00760,13.1252,12.9141,12.7858,12.7126,12.6115,12.6649,13.2613,11.1453,13.0997,13.2734,13.547,12.9556,13.4277,12.1491
BSU00770,13.0962,12.8877,12.7615,13.0127,12.6314,12.6728,13.0898,11.1896,13.0259,13.1779,13.3156,12.7692,13.3808,12.0375
BSU00780,13.4691,13.0309,12.8557,12.8734,12.8243,12.7774,13.2443,11.0697,13.0776,13.3087,13.527,13.0827,13.5061,12.1814
BSU00790,13.2122,13.0971,12.9419,13.0874,12.6863,12.9445,13.279,11.2092,13.066,13.3793,13.5736,12.9554,13.4444,12.124
BSU00800,14.0096,13.4897,13.2641,13.247,13.6727,13.8725,13.9222,11.87,13.7864,14.1759,14.1986,13.8171,14.2009,12.7749
BSU00810,14.2438,13.8794,13.6709,14.4569,14.0327,14.2541,14.5752,12.5961,14.3194,14.737,14.7605,14.5064,14.8651,13.6478
new_88050_89566_c,7.6031,7.6313,7.7746,7.6342,7.4421,7.6921,8.3168,8.7721,7.6997,7.3527,7.8208,7.7281,7.475,8.3823
new_88636_88726,14.6027,14.1944,13.7115,14.5861,14.1177,14.5704,14.8419,12.8758,14.5953,14.9429,15.1315,14.7176,15.0963,14.1805
BSU00820,14.3807,14.1189,13.8962,14.337,14.0838,14.5744,14.8012,12.7977,14.5805,14.8398,15.1077,14.6014,14.8953,13.9868
