T-5.40H_1,T-4.40H_1,T-3.40H_1,T-2.40H_1,T-1.40H_1,T-1.10H_1,T-0.40H_1,T0.0H_1,T0.30H_1,T1.0H_1,T1.30H_1,T2.0H_1,T2.30H_1,T3.0H_1,T3.30H_1,T4.0H_1,T5.0H_1
new_549923_550239_c,10.2378,9.8697,9.9354,9.2945,9.3323,10.0975,9.5794,9.1548,8.7935,8.5114,8.6971,8.7162,9.0291,8.9108,9.1442,9.2988,8.7454
BSU05040,9.3736,9.2189,9.1797,8.942,8.9229,9.0008,9.0225,8.8162,8.8053,8.5143,8.5515,8.5836,8.8888,8.458,8.7265,8.6876,8.5028
new_551074_551518,11.772,11.4912,11.6074,10.96,10.9745,10.9832,10.9628,10.6432,10.4842,10.4091,9.9923,9.6846,10.3798,10.0875,10.1374,10.2828,9.9594
BSU05050,11.6033,11.2946,11.2649,10.7721,10.6318,10.6318,10.7137,10.497,9.9943,9.8702,9.4871,9.3393,9.8906,9.4958,9.7416,9.6747,9.1833
new_551930_551999,11.4621,11.0845,11.1659,10.5433,10.4662,10.5687,10.7027,10.4032,9.6721,9.5182,9.3547,9.027,9.2654,9.3532,9.3451,9.4334,9.0163
BSU05060,8.9714,8.8889,8.7622,8.5554,8.4927,8.6404,8.54,8.5286,9.4432,8.6596,8.5713,8.6431,8.6233,8.3899,8.4849,8.3454,8.18
BSU05070,9.3467,9.1172,8.92,8.5285,8.4388,8.3737,8.3382,8.1783,8.029,7.8042,8.2718,8.3318,8.4086,8.15,8.3616,8.3219,8.4057
BSU05080,8.5193,8.5459,8.4171,8.0464,7.9761,7.9256,7.9078,7.7252,7.9055,7.8385,8.1612,8.2617,8.0644,7.9256,8.2223,8.0693,7.9844
BSU05090,9.2818,9.155,8.798,8.6307,8.4216,8.4569,8.2789,8.1727,8.5535,8.1314,8.2498,8.3511,8.2769,7.9755,8.2113,8.0591,7.9047
new_556002_556561,9.7234,9.3926,9.1504,8.8778,8.8488,9.0649,8.829,8.7033,8.7054,8.5261,8.4928,8.3727,8.6037,8.0014,8.4689,8.2489,8.1882
BSU05109,12.0323,11.8791,12.0723,11.6781,11.5473,11.4541,11.5842,11.335,10.9771,10.9067,11.4275,11.5607,12.2238,11.9185,12.0928,11.8962,10.9004
BSU05110,10.7368,10.5692,10.7877,10.4383,10.1752,10.362,10.3916,9.9882,9.9419,9.8984,10.0203,10.1242,10.7183,10.4374,10.7493,10.6807,9.7784
new_559146_559263,15.4371,15.5066,15.5698,14.8354,14.9717,14.1606,15.2231,14.7295,15.1701,14.4914,14.8408,14.1555,15.0077,15.1287,15.6354,15.0524,15.1808
BSU05120,15.4474,15.4517,15.0733,14.7386,14.7494,14.1432,14.8831,14.5486,14.1311,13.7322,13.9084,12.3837,14.157,14.191,14.8437,14.5595,13.95
new_559362_560150_c,11.3966,11.5208,11.2972,10.6397,10.7563,10.7366,11.4749,11.0019,12.0494,10.7676,10.6767,10.3686,11.1607,11.1641,11.95,11.8445,11.122
BSU05130,13.036,12.8924,12.44,11.9719,12.1535,12.5207,12.9456,12.5118,12.8861,12.0637,11.9788,12.0558,12.8313,12.959,13.5719,13.4395,12.7908
new_560621_561166,9.1593,9.0905,8.8901,8.5419,8.4908,8.4851,8.6371,8.5895,8.2973,8.1625,8.1958,8.2632,8.3602,8.304,8.6376,8.4948,8.4397
BSU05140,9.2803,9.3774,9.1585,8.7013,8.6859,8.7417,8.783,8.5057,8.2972,7.8501,8.3343,8.4826,8.524,8.3784,8.7036,8.6914,8.4281
BSU05150,10.3009,10.135,10.0836,9.7665,9.7088,9.875,10.2361,9.7664,9.3318,8.6904,8.8734,8.9929,9.4184,9.2821,9.7579,9.7463,9.3933
BSU05160,8.1952,8.1407,8.0619,7.8359,7.8958,7.9608,7.8383,7.7163,7.7871,7.5134,7.8365,8.1468,8.0903,7.8675,8.1329,8.0375,8.0627
BSU05170,10.3435,10.3694,10.1591,9.8629,9.5337,9.5904,9.3367,9.3594,9.0776,8.6161,8.8741,8.8456,9.3555,9.0904,9.5236,9.7529,9.4854
BSU05180,9.5806,9.4093,9.3802,9.0905,9.0084,9.1987,9.1,8.8331,8.3842,8.1009,8.2839,8.4954,8.6845,8.5147,8.6936,8.6582,8.4526
BSU05190,7.7427,7.7521,7.6324,7.6241,7.5441,7.6054,7.4701,7.2729,7.8346,7.5987,7.8691,8.0196,7.6764,7.4823,7.6696,7.4178,7.5506
new_567551_567661,13.4734,13.04,13.1641,13.2028,13.3262,13.3018,13.4815,13.0968,12.6148,12.7109,12.9456,12.8028,13.6796,13.2675,13.7154,13.7671,12.7818
BSU05200,13.7571,13.3965,13.443,13.3621,13.4425,13.5024,13.7361,13.4153,12.525,12.6945,12.8743,12.7822,13.5461,13.2232,13.6918,13.8667,12.7709
BSU05210,10.1303,9.7576,9.7943,9.5643,9.6285,9.7559,9.7457,9.3764,9.1858,8.8848,9.1042,9.1321,9.6167,9.1983,9.5618,9.6244,9.1181
BSU05220,11.1421,11.0955,11.0505,10.8748,11.0178,11.082,10.9677,10.8848,10.8086,10.3229,10.2677,10.3711,10.9525,10.6034,10.9179,10.9578,10.2787
BSU05230,7.7699,8.0407,7.8087,7.578,7.6632,8.0476,7.6319,7.3921,8.2234,7.9262,8.0201,8.1265,8.0395,7.7701,8.1277,7.8999,7.8803
BSU05240,9.4619,9.1879,9.175,9.076,9.2889,9.5625,9.5067,9.1917,9.2036,8.8684,8.9541,8.8998,9.1526,8.6109,8.9131,8.8229,8.5537
BSU05250,11.8646,11.4236,11.4811,11.2119,11.3846,11.658,11.5846,11.356,10.4885,10.1905,10.2287,10.0961,10.984,10.4701,10.7754,10.7905,10.0427
new_573400_574654,11.3767,11.0956,11.0284,10.6836,10.7311,10.8709,10.9492,10.6501,9.2864,9.16,9.1967,9.3311,9.878,9.4212,9.8546,9.8367,9.2465
BSU05260,11.2623,11.0228,10.9957,10.6885,10.5871,10.8084,10.6483,10.5898,9.7986,9.5542,9.4584,9.5463,10.5336,10.2696,10.6452,10.7634,10.158
new_574025_574105_c,10.7023,10.2856,10.4518,10.0445,10.1502,10.4794,10.336,10.2164,9.637,9.3714,9.3744,9.4634,10.2702,10.0311,10.3695,10.5342,10.025
BSU05270,10.5392,10.187,10.3247,10.0447,10.0347,10.0735,10.0966,9.9067,9.6562,9.0517,9.2723,9.4343,10.229,9.8896,10.3701,10.3631,9.8956
BSU05280,12.6544,12.4357,12.5273,12.1132,12.1754,12.0416,12.3531,11.9523,10.4676,10.1667,9.8695,10.1637,10.7459,10.1006,10.3581,10.3918,9.7237
BSU05290,10.5111,10.2722,10.2875,10.0452,10.0808,9.955,10.0941,9.9784,9.0233,9.1206,9.3891,9.5071,10.0739,9.8051,9.7994,9.8956,9.258
new_576099_576163_c,10.6922,10.3806,10.4834,10.2039,10.2034,9.9701,10.3788,10.1085,9.002,9.3235,9.5734,9.5114,10.5458,10.0346,10.0885,10.1272,9.541
BSU05300,8.9106,8.8629,8.7323,8.3035,8.2531,8.1349,8.2454,8.0825,8.0034,7.8225,8.2602,8.4544,8.7089,8.2635,8.5824,8.5135,8.2539
BSU05310,7.4052,7.4786,7.3122,7.2339,7.2129,6.9647,6.915,6.9219,7.5323,7.2269,7.564,7.8474,7.4753,7.3108,7.6378,7.342,7.5274
BSU05320,11.247,11.107,11.1537,10.9691,10.949,11.0822,10.9986,10.9512,9.0103,9.2482,9.2834,9.3591,10.148,9.9031,10.1077,10.1881,9.8075
BSU05329,9.81,9.9059,9.7144,9.6751,9.486,9.3511,9.2663,9.3238,7.9842,7.8676,8.2641,8.6193,8.6795,8.3253,8.754,8.7806,8.4555
new_579354_579540,9.4722,9.0386,9.1602,8.7962,9.157,9.3896,9.1574,8.8705,9.7696,8.7691,8.7643,8.5906,8.8963,8.0546,8.6006,8.4121,8.2327
BSU05330,9.4446,9.1058,9.2571,8.8215,9.1522,9.4032,9.2444,8.7896,9.6631,8.9198,8.8327,8.7042,8.7829,8.406,8.6352,8.5045,8.2914
BSU05340,9.5236,9.3383,9.1495,9.0338,9.1549,9.4203,9.3097,8.881,9.3165,8.7609,8.7005,8.6496,8.7423,8.2544,8.5547,8.46,8.2163
BSU05343,9.0609,8.8931,8.8745,8.501,8.4521,8.7156,8.5381,8.4628,8.921,8.3952,8.2947,8.3372,8.5012,8.0103,8.3445,8.1097,8.0997
BSU05344,8.873,8.8164,8.7686,8.4342,8.3354,8.5862,8.5441,8.2218,8.8933,8.2536,8.3218,8.3167,8.4771,7.9716,8.2839,8.1038,8.0297
BSU05350,8.9396,9.0321,9.013,8.8235,8.7472,9.0515,8.8625,8.7063,9.0081,8.4619,8.8529,8.7484,8.9,8.7895,8.7515,8.9732,8.6302
BSU05360,6.7081,6.9933,6.8265,6.9632,6.8356,6.5132,6.4357,6.5204,7.3921,7.2683,7.613,7.8273,7.4229,7.2339,7.5454,7.1231,7.4638
BSU05370,8.5307,8.3837,8.372,8.2465,8.266,8.2645,8.0195,8.0252,7.8775,7.7329,8.0172,8.2309,8.2567,7.9906,8.1813,8.0562,7.9448
BSU05380,9.2041,9.0252,8.8177,8.8108,8.6158,8.4686,8.4454,8.3073,8.729,8.3656,8.5249,8.6335,8.7063,8.4338,8.7493,8.5376,8.4083
BSU05390,11.4705,11.1728,11.1369,11.0725,10.9324,11.0835,11.0406,11.0864,9.9552,10.0178,9.8618,10.2096,10.9113,10.594,10.9177,10.8948,10.1138
BSU05400,10.2023,10.239,10.256,9.9362,10.0033,10.0218,10.0557,9.8696,9.778,9.2224,9.2175,9.2707,9.5208,9.3499,9.6815,9.6777,9.1263
BSU05408,7.5479,7.5416,7.5207,7.4837,7.4625,7.3231,7.3384,7.1658,7.9534,7.737,7.9236,8.0492,7.8674,7.6593,7.8103,7.6163,7.878
BSU05409,7.6419,7.5891,7.6512,7.4954,7.6458,7.3284,7.3591,7.2405,7.9847,7.7055,8.0446,8.0918,8.0052,7.6863,7.9806,7.9658,7.9787
BSU05410,10.1527,9.8131,9.6276,9.4024,9.2614,9.425,9.2344,8.9502,7.9529,7.9266,8.2303,8.5147,8.8999,8.6764,8.9587,8.8994,8.5133
BSU05420,10.4225,10.2846,10.2048,9.7364,9.6877,9.6095,9.542,9.5998,8.1558,8.1965,8.4557,8.7773,9.0487,8.8086,8.9634,8.9733,8.6369
BSU05430,7.3574,7.3775,7.1837,7.1555,7.1046,6.9558,6.8509,6.8237,7.7031,7.438,7.8328,7.9511,7.6275,7.5029,7.9703,7.8153,7.9088
new_591895_592302_c,8.9133,9.0336,9.0454,8.8194,8.8122,8.8554,8.7492,8.0287,8.1584,7.7419,7.9661,8.0892,7.8659,7.9379,7.9519,7.6074,7.7531
BSU05440,11.0458,10.8639,10.8813,10.8843,11.2309,11.5496,11.3162,10.6502,10.4106,9.5145,9.4705,9.3306,9.7303,9.4413,9.7516,9.7106,9.1651
new_593206_593301_c,11.2402,11.1728,11.3389,11.1677,11.4341,11.6418,11.6139,11.0136,10.6333,9.3458,9.4432,9.2667,9.6014,9.4306,9.7843,9.7554,9.2133
BSU05450,7.9196,7.8315,7.7265,7.6661,7.5808,7.5515,7.4122,7.2153,8.5745,7.8382,8.2864,8.518,8.5311,8.3526,8.8375,8.7823,8.388
BSU05460,10.0863,9.8843,9.8583,9.6648,9.5528,9.6976,9.6895,9.5971,9.3665,9.1466,9.2301,9.1362,9.6067,9.3734,9.5865,9.5561,9.0832
BSU05470,7.9867,8.0515,7.8754,7.5952,7.5879,7.5572,7.3821,7.2304,7.8508,9.0322,9.1235,8.7643,9.0026,8.2994,8.422,7.8246,7.806
new_596003_596095_c,8.8652,8.3748,8.4018,7.7947,7.9994,8.0228,7.8736,7.4805,7.9802,9.7397,9.8494,9.1886,9.6582,9.0382,9.244,8.034,7.7634
BSU05480,9.7043,9.232,9.2303,8.9999,8.757,8.7367,8.3585,8.3779,8.0197,7.7572,8.1145,8.3544,8.4686,8.2251,8.5081,8.3496,8.1937
BSU05490,9.536,9.3039,9.1456,9.0003,8.7357,8.7205,8.3695,8.3912,8.0796,7.777,8.0606,8.3415,8.2927,8.1465,8.386,8.1374,8.2067
new_598065_598153,10.1513,9.843,9.8028,9.5365,9.3703,9.2927,9.0256,9.0546,8.2473,8.5231,8.2738,8.4797,8.7969,8.5173,8.8983,8.8636,8.4459
BSU05500,8.683,8.8724,8.7882,8.3442,8.2979,8.48,8.56,8.4141,8.9847,8.5472,8.648,8.4459,8.4477,7.9467,8.1817,8.0909,7.9547
new_598659_598728,7.3832,7.4786,7.695,7.4489,7.2394,7.1309,7.8052,7.1257,7.6936,7.3682,7.9459,8.1059,7.8326,7.7142,7.9702,7.8136,7.9748
BSU05510,7.7975,7.8384,7.8641,7.8186,7.9214,7.8628,8.0303,7.4919,7.6925,7.3754,8.0031,8.0539,7.8727,7.7151,7.9781,7.8664,7.8498
BSU05520,7.4304,7.5588,7.3699,7.2807,7.3849,7.2098,7.1922,7.193,8.2587,7.6192,7.9893,8.0626,7.8587,7.6952,8.0541,7.6501,7.8679
new_599344_599505_c,7.0975,7.0584,6.9434,7.0125,7.0005,6.6538,6.4873,6.5942,7.7237,7.5128,7.7791,8.053,7.7051,7.5545,8.0178,7.6263,7.9073
new_599509_599874_c,7.8899,7.4408,7.1508,7.0838,7.0606,6.8202,6.7769,6.7313,7.7668,7.4728,7.8596,8.0434,7.6888,7.5436,7.9349,8.1303,8.7051
BSU05529,8.0102,7.5105,7.1978,7.1536,7.1163,6.9011,6.8389,6.7379,7.7871,7.5087,7.8949,8.0593,7.8778,7.5616,7.9856,8.2562,9.1389
new_600145_600228_c,8.3085,7.7024,7.3272,7.2354,7.2301,7.0904,7.014,6.779,7.8168,7.648,7.9656,8.3211,7.8959,7.5725,8.1597,8.5792,9.3657
BSU05530,8.2986,7.6798,7.2305,7.1145,6.9532,6.6131,6.6415,6.6153,7.7373,7.3811,7.866,7.9407,7.6657,7.5723,8.0349,8.4347,9.4246
new_600907_601740_c,7.0098,7.1301,6.9392,6.9841,6.9305,6.5904,6.5917,6.5733,7.5208,7.2702,7.677,7.9115,7.4918,7.3566,7.6321,7.5774,7.5772
BSU05540,8.3921,8.1391,7.8972,7.8195,7.7551,7.6977,7.7224,7.5934,8.0897,7.7982,8.0914,8.2338,7.983,7.8148,8.1793,8.5145,8.7623
BSU05550,7.1118,7.2181,7.0643,7.0962,6.9906,6.7036,6.7184,6.6838,7.6448,7.6207,7.7864,7.9801,7.5919,7.4949,7.7066,7.7333,7.9656
BSU05560,6.9684,7.1498,6.939,7.0364,6.8118,6.6601,6.3963,6.5093,7.5066,7.1918,7.6946,7.9709,7.4523,7.425,7.6383,7.54,7.829
BSU05570,7.0422,7.1476,6.9367,6.9305,6.8149,6.7112,6.608,6.559,7.6333,7.3598,7.7147,7.9697,7.4076,7.4373,7.7662,7.5747,7.8412
BSU05580,12.6735,12.7728,12.9712,12.7357,12.791,12.8479,12.9235,12.8054,10.8819,10.6635,10.7622,10.7373,12.0143,11.5684,11.8451,12.013,11.4294
BSU05590,12.1976,12.2043,12.3791,12.3336,12.2766,12.3731,12.31,12.2771,10.1829,9.9661,10.1715,10.499,11.2411,10.9755,11.2025,11.3291,10.8025
new_603941_604102,12.3568,12.3881,12.5776,12.5197,12.463,12.525,12.5931,12.3955,10.2055,10.0529,10.2895,10.5591,11.5399,11.4138,11.7459,11.9481,11.2634
BSU05600,11.7261,11.9811,12.0793,11.9646,11.891,11.779,11.6275,11.6983,9.0953,9.5539,9.7228,10.5492,11.193,11.1202,11.6131,11.6917,11.0559
new_604577_605269,9.9721,10.0187,9.9986,9.9357,9.7413,9.6919,9.7206,9.4546,8.0258,8.1359,8.3456,8.7627,9.2814,8.9503,9.3933,9.4396,9.1378
BSU05610,9.3226,9.05,8.9644,8.7367,8.5717,8.6613,8.4034,8.3119,8.4497,8.2324,8.4084,8.7828,9.2836,9.1196,9.5002,9.5181,9.1875
new_606414_606611_c,14.0146,14.0049,13.6691,13.5176,13.26,13.0727,13.5647,13.0435,12.9201,12.3607,13.0241,12.6928,13.1684,13.4274,13.6278,13.4899,13.3109
BSU05620,11.8313,11.724,11.6622,11.4157,11.5698,11.8723,11.8709,11.5108,10.385,10.1466,10.1317,10.1877,10.9426,10.4927,10.762,10.9507,10.2174
BSU05630,11.8303,11.6285,11.3655,11.127,10.8702,10.6604,10.9265,10.7731,11.0419,10.0499,9.9938,10.125,10.7343,10.3091,10.5918,10.6899,10.0936
BSU05640,9.3639,9.1499,9.2223,9.0972,9.0093,8.9024,8.8409,8.6426,7.8504,7.579,7.9294,8.121,8.1832,7.9174,8.3077,8.3249,8.2741
BSU05650,9.6989,9.6797,9.5041,9.4071,9.2928,9.365,9.0901,9.1238,8.1168,7.9081,8.1632,8.3979,8.4957,8.2044,8.5729,8.6229,8.5412
BSU05660,9.2446,9.3949,9.4265,9.3901,9.2844,9.4358,9.5209,9.2136,8.57,8.3018,8.3774,8.7037,8.7475,8.3588,8.7236,8.4949,8.5988
BSU05670,10.0561,9.8863,10.0062,9.7651,9.667,9.7835,10.1503,9.586,9.1663,8.9028,8.9621,8.9044,9.3513,8.7906,9.122,9.0709,8.8466
new_613552_613640,10.9781,10.7744,10.5,10.1948,10.191,10.228,9.8052,9.8166,8.2656,8.3322,8.3408,8.5057,8.7066,8.6355,8.7913,8.5534,8.1684
BSU05680,9.7186,9.8948,9.5539,9.2331,9.096,9.4496,9.0666,8.7427,8.0516,7.9983,8.0887,8.2466,8.3088,8.0744,8.2123,8.0354,7.9276
BSU05690,9.0122,9.114,9.5227,9.3736,10.9201,11.453,12.1887,11.2516,11.9869,11.4045,11.0975,10.5399,11.0696,9.9824,10.2212,10.0906,9.1711
new_615623_615761_c,9.668,9.8811,10.5338,10.3301,12.0583,12.4067,13.345,12.5336,13.4693,12.6714,12.6296,11.8428,11.9719,11.1609,11.2447,10.5342,10.0446
BSU05700,11.4451,11.1845,11.4376,11.0964,11.4524,11.4245,11.753,11.2432,11.6068,10.7572,10.6633,10.4322,11.086,10.5364,10.5229,10.6949,10.2225
BSU05710,9.4089,8.8371,8.2519,7.8698,7.7902,7.8315,8.0038,7.629,8.0281,7.8876,8.044,8.0414,8.3288,8.4895,9.5444,10.1429,10.4081
BSU05720,9.215,9.1137,9.1792,9.0951,9.0669,9.4714,9.3499,9.1284,10.2419,9.653,9.521,9.1837,9.5192,8.9204,9.2431,9.1453,8.8631
BSU05730,8.1789,7.8262,7.5377,7.4284,7.3394,7.1276,7.1036,7.113,7.8667,7.5749,7.9264,8.0629,8.333,8.57,9.4539,9.7446,9.6579
BSU05740,9.0643,8.5122,8.117,7.8492,7.7494,7.8328,7.8392,7.5984,8.2736,7.9667,8.1593,8.3804,9.2642,9.857,10.8165,11.0813,11.0701
new_621545_621613_c,9.2969,8.5703,8.1304,7.6732,7.6104,7.4739,7.3698,7.2035,8.3045,7.8827,8.1514,8.2885,9.3531,10.1478,11.0308,11.7333,11.7412
new_621713_621846,11.1095,10.9298,10.9139,10.3755,10.4892,10.6296,10.4883,10.3129,9.6488,9.4664,9.3421,9.38,9.8515,9.4951,9.7663,9.8053,9.4897
BSU05750,11.0785,11.0046,10.9406,10.5851,10.4726,10.6793,10.562,10.3692,9.492,9.5532,9.4406,9.4889,10.0675,9.8348,10.0412,10.0597,9.5094
BSU05760,10.796,10.4583,10.6786,10.3726,10.5419,10.8158,11.0053,10.5538,11.3528,10.845,10.397,9.9748,10.788,10.4496,10.5392,10.7524,9.9116
BSU05770,10.3678,9.7856,10.0533,9.9463,9.8842,9.8668,9.9247,9.5405,9.9252,9.7556,9.6101,9.3735,9.9735,9.4568,9.6635,9.5822,9.0894
BSU05780,10.0277,9.8979,9.6357,9.5059,9.4716,9.5734,9.5601,9.3158,9.0344,8.8612,8.9279,8.9907,9.3876,8.708,9.0985,9.072,8.7175
BSU05790,9.0143,8.9421,9.3249,9.3921,10.3863,10.995,11.7115,11.4828,12.8252,12.3745,12.0476,11.4214,11.5794,10.5574,10.7783,10.6352,10.0629
BSU05800,7.0214,7.2291,7.0882,6.958,6.899,6.763,6.7592,6.7748,8.956,8.5192,8.3673,8.3251,8.3968,8.1045,8.1888,7.987,7.9478
BSU_misc_RNA_8,11.4814,11.0156,11.4031,10.6201,10.8818,11.3471,11.5957,10.3396,12.2391,10.7127,11.0787,8.6537,9.378,9.2201,9.485,9.473,8.3777
BSU05810,7.9154,7.7759,7.915,7.9895,8.8027,9.266,10.0066,9.7445,11.7029,11.6233,11.3729,10.6225,10.9464,9.8799,9.7678,9.4441,8.6533
BSU05820,7.3973,7.4652,7.503,7.5283,8.022,8.464,8.8989,8.8564,11.2746,10.6469,10.3177,9.6534,9.8748,8.9225,9.0611,8.6361,8.1026
BSU05830,7.4021,7.3904,7.3365,7.4344,7.7768,8.1359,8.2716,8.431,10.9219,10.4194,10.0663,9.6401,9.8253,8.8623,8.8828,8.6026,7.9889
BSU05840,7.7391,7.7402,7.672,7.6869,7.994,8.424,8.6345,8.693,11.5166,10.7117,10.5055,9.8295,10.0913,9.1005,9.1099,8.808,8.2886
new_630028_630114,7.9657,7.7617,7.7107,7.7462,8.0487,8.4741,8.6388,8.7881,11.7292,11.1709,10.766,10.0292,10.2385,9.3018,9.2289,9.1131,8.3629
BSU05850,9.9675,9.5925,9.6433,9.4537,9.9054,10.3278,10.3075,9.942,11.5377,10.979,10.6381,10.1605,10.5286,9.6004,9.9389,9.8117,9.3083
BSU05860,9.5042,9.1675,9.111,8.9879,9.5637,10.0712,10.0301,9.6234,11.3536,10.8564,10.5121,10.0403,10.3589,9.4605,9.672,9.5355,9.1185
BSU05870,9.7385,9.3317,9.2329,8.997,9.5949,10.0972,10.3228,9.7752,11.6424,11.0523,10.7688,10.185,10.6344,9.7006,9.8741,9.7323,9.092
BSU05880,9.6914,9.4515,9.3168,9.2006,9.7109,10.2988,10.5231,9.9611,11.5123,11.1221,10.9362,10.2954,10.7331,9.7828,9.9818,9.8752,9.1803
BSU05890,8.229,7.7437,7.3871,7.1894,7.0423,6.8474,6.6523,6.767,7.7771,7.409,7.7221,8.0306,7.7499,7.8354,8.6167,9.243,9.3991
BSU05899,8.5661,8.2434,7.7576,7.3227,7.2671,7.1402,7.0241,7.2976,8.03,7.504,8.0406,7.9948,7.8782,8.2057,8.8752,9.5085,9.9471
new_635022_635109,15.1482,15.2387,14.9516,14.8266,15.3245,15.1745,15.3645,14.3153,13.1736,12.9809,13.6275,13.6773,14.0247,13.6003,13.8802,14.0182,13.8563
BSU05900,12.3104,12.0259,11.9701,11.7326,11.6132,11.8061,11.5147,11.3325,10.6491,10.426,10.2203,10.0435,10.9023,10.2184,10.4535,10.5725,9.9217
BSU05910,12.0643,11.7821,11.8356,11.5359,11.3968,11.5981,11.1291,11.3087,10.1801,10.1796,9.864,9.7785,10.6457,10.0169,10.3835,10.3623,9.7042
BSU05920,11.9805,11.7634,11.6181,11.3915,11.1962,11.4664,11.038,10.9169,9.7188,9.7655,9.4343,9.4785,10.1655,9.65,9.944,9.9502,9.386
BSU05930,12.1496,12.0581,11.8041,11.6118,11.3756,11.6085,11.2917,11.1401,9.8132,10.0047,9.6172,9.6387,10.4935,9.9251,10.2413,10.1797,9.7216
BSU05940,11.2253,11.1874,11.1037,10.7184,10.6652,10.8703,10.5603,10.4659,9.2174,9.1911,8.8982,9.0008,9.4388,9.1387,9.3826,9.2995,8.9927
BSU05950,10.7584,10.5733,10.4981,10.3742,10.4483,10.6884,10.6048,10.378,9.9366,9.7319,9.6366,9.6929,10.4108,9.95,10.231,10.0795,9.604
new_646220_646409,10.3994,10.2667,10.21,10.0931,9.8463,10.0818,10.1622,9.9318,9.7228,9.8049,9.7834,9.7805,10.3667,10.1566,10.5709,10.5483,9.8499
new_646411_646581,11.629,11.629,11.4034,11.5968,11.64,11.6561,11.5151,11.3286,11.1736,10.8421,10.9513,10.922,11.5812,11.1318,11.2946,11.9692,10.6819
BSU05960,12.269,11.8722,12.0229,11.8265,12.0152,12.1303,12.2434,12.38,11.9744,11.7277,11.4022,11.3906,12.378,11.9208,12.2749,12.2821,11.6314
BSU05970,12.2795,12.1538,12.3117,12.2299,12.338,12.7576,12.2631,12.655,12.3177,12.2043,11.9489,11.8684,12.581,12.1907,12.3886,12.4641,11.8335
BSU05980,12.3733,12.3938,12.4853,12.1972,12.4229,12.975,12.5233,12.5923,14.3689,13.843,13.9019,13.3112,13.7124,13.1146,13.2696,13.1167,12.1476
BSU05990,12.343,12.1258,12.3583,12.0197,12.2956,12.9649,12.2717,12.342,13.9771,13.6358,13.5898,12.8896,13.4125,12.8865,12.9674,12.9836,11.9547
BSU06000,12.7042,12.4588,12.5409,11.8631,11.9289,12.2062,12.2645,11.823,11.4613,11.2764,10.7817,10.7354,11.452,11.2877,11.7983,11.7029,11.1224
BSU06010,12.6737,12.3812,12.4126,11.9576,11.997,12.0911,12.112,11.8209,11.464,11.3886,10.7619,10.7485,11.6462,11.2609,11.6253,11.6432,10.9912
new_649718_649826,9.6282,9.031,9.4964,8.8146,8.8462,8.916,8.7012,8.8407,8.1319,7.8067,8.5027,8.2703,8.4826,8.8159,9.0563,9.481,9.2693
new_649828_649902,13.9297,14.2571,15.1811,15.3046,15.3411,14.6325,14.7059,14.1994,12.5656,13.1452,12.7032,12.5661,13.6612,13.127,13.2608,12.5218,12.8029
BSU06020,15.5453,15.4037,15.5554,15.7004,15.416,14.9676,15.09,15.1071,13.3684,13.7885,13.1966,12.6774,13.9524,13.4108,13.4866,13.8324,13.6951
BSU06030,14.9382,15.0011,14.9708,15.1381,14.887,14.6334,14.6653,14.6014,13.1641,13.1688,12.6143,12.5599,13.4729,12.9481,13.1206,13.3954,13.2283
new_651869_651961,14.7004,14.7646,14.9613,14.7263,14.6485,14.7747,14.8366,14.532,13.3654,13.1812,12.7305,12.5833,13.4152,13.0162,13.163,13.6209,13.5428
new_651963_653431,11.4812,11.3665,11.295,11.1588,10.6517,10.5114,10.3388,10.3676,8.1039,8.2446,8.4942,8.7079,9.0687,8.6052,9.2102,9.2672,9.0459
BSU06033,9.1659,9.0007,9.0072,8.6711,8.6656,8.62,8.2672,8.34,9.0591,8.9485,9.1633,8.9775,8.9724,8.6495,8.8981,9.1001,8.5692
BSU06034,9.5775,9.5154,9.2221,9.027,8.9485,8.8749,8.6165,8.4257,9.6384,9.2425,9.3753,9.3505,9.4156,8.9343,9.2942,9.0333,8.8214
BSU06036,7.6384,7.9056,7.7515,7.6885,7.7429,7.6623,7.6472,7.57,8.463,8.0885,8.3077,8.4181,8.3862,7.9211,8.2793,8.2081,8.6321
BSU06037,7.2099,7.3651,7.2724,7.1956,7.2411,7.0731,6.9924,6.9933,8.0077,7.7459,8.0921,8.1955,7.9251,7.6776,7.8688,7.706,7.8251
BSU06038,7.2562,7.2479,7.2032,7.1743,7.2437,7.0807,6.9208,7.0149,7.9627,7.6276,8.1062,8.1923,7.9149,7.6651,7.8918,7.7019,7.8437
BSU06040,11.3792,11.2005,10.9532,10.7032,10.2393,10.2924,10.0524,10.1578,8.2253,8.1485,8.5524,8.6824,9.0823,8.7298,9.2642,9.3391,9.1342
new_653813_654070,11.2469,11.1039,10.8658,10.5838,10.167,10.1241,9.9026,9.9916,8.2276,8.0513,8.4372,8.646,8.9347,8.6424,9.0383,9.0683,8.8737
BSU06048,11.1339,11.0283,10.8227,10.5247,10.0286,10.0642,9.8814,9.9102,8.148,7.9869,8.4205,8.6557,8.8194,8.6192,9.0577,8.9808,8.8672
BSU06049,11.1912,11.0488,10.7241,10.5201,10.019,9.9543,9.8573,9.8592,8.1793,7.9466,8.404,8.6412,8.9103,8.6481,9.1032,9.1449,8.8308
