T-5.40H_1,T-4.40H_1,T-3.40H_1,T-2.40H_1,T-1.40H_1,T-1.10H_1,T-0.40H_1,T0.0H_1,T0.30H_1,T1.0H_1,T1.30H_1,T2.0H_1,T2.30H_1,T3.0H_1,T3.30H_1,T4.0H_1,T5.0H_1
new_25655_25851,11.5678,11.3705,11.5263,11.2913,11.6703,12.2044,12.2232,11.8151,11.556,10.7962,10.5812,10.4547,11.2064,10.6752,10.7993,11.0057,10.4441
BSU00180,10.8411,10.6076,10.791,10.5757,10.7856,11.5542,11.4309,11.2368,11.1306,10.4169,10.1712,10.0716,10.6427,10.1173,10.42,10.4964,9.9878
new_26383_26532,15.0863,15.7128,15.348,15.1518,15.1139,15.9238,15.5405,15.2017,16.4094,16.449,16.4457,16.236,16.3826,16.4295,16.4358,16.2923,16.4711
BSU_misc_RNA_2,15.0449,15.6491,15.24,14.8266,14.9194,16.2401,15.3235,14.9571,16.3692,16.3622,16.3939,16.0712,16.3307,16.1839,16.3724,16.3111,16.4095
new_26636_26731,14.3176,14.7867,14.8228,14.6283,14.4992,15.386,14.7876,14.743,15.7995,15.6562,15.4567,15.2556,15.9813,15.6471,16.0517,15.7123,15.3308
BSU00190,12.8508,12.5161,12.4281,12.1453,12.0437,12.3818,12.5908,12.3246,12.2376,11.7375,11.3763,11.1045,11.8692,11.3755,11.7777,11.8619,11.3897
BSU00200,14.3252,14.184,14.2149,13.9403,14.019,13.9556,14.2451,14.0445,13.8529,13.1003,13.0267,12.6181,13.6223,13.1486,13.4705,13.443,13.0021
BSU00210,13.1125,12.9232,12.7014,12.4446,12.2368,12.4801,12.6265,12.4441,11.4288,10.9273,10.633,10.6121,11.5641,11.328,11.8359,12.1028,11.5595
BSU00220,12.0408,12.0996,11.5205,11.3932,11.3929,11.5845,11.6834,11.3929,10.6848,10.215,9.904,10.2205,10.6568,10.6652,11.1051,11.4089,11.0813
BSU00230,11.6328,11.3808,11.1581,10.6869,10.6135,10.7094,10.708,10.5685,9.834,9.4609,9.2919,9.3364,10.8046,11.2507,11.779,12.0099,11.6289
new_30076_30278,14.4714,14.7884,15.0575,14.7525,15.1574,15.2547,15.7003,15.3174,16.0145,14.4877,13.5687,12.9419,13.3259,12.9178,13.0309,13.3404,12.8172
new_35104_35236,11.501,11.5898,11.6772,10.9268,11.6589,12.5269,12.8626,13.1524,13.4096,12.6464,11.7959,10.276,10.9398,10.8584,10.795,10.6318,10.525
new_35356_35458,10.9465,10.9013,10.9176,10.5579,10.8319,11.7772,12.637,12.293,12.2616,10.8905,10.8263,10.0278,10.335,9.776,10.122,9.6417,9.791
BSU00240,10.9368,10.9433,10.9209,10.6524,11.1236,11.7725,12.6421,12.4095,12.2744,11.0643,10.7535,10.0111,10.6821,11.0366,11.5387,11.4275,11.1536
BSU00250,12.8863,12.52,13.2296,13.1251,14.418,14.8619,15.3898,15.0791,14.9817,13.2118,12.5282,12.2404,13.2684,12.7307,12.9499,12.8677,12.0323
BSU00260,12.4887,12.2807,12.8044,12.9472,13.9665,14.6302,15.0344,14.7888,14.6954,12.886,12.2084,11.8847,12.8982,12.4827,12.6473,12.6336,11.7566
new_37639_37719,12.3631,12.0761,12.3754,12.4908,13.4413,14.0663,14.3923,14.3844,13.9041,12.2964,11.7728,11.4705,12.1129,11.7977,11.9794,11.9185,10.8697
BSU00270,12.1004,11.9186,12.0094,11.9249,12.7466,13.2705,13.7466,13.5825,13.8183,12.6417,12.0989,11.4514,12.0607,11.2641,11.4328,11.3005,10.3166
BSU00280,12.2953,11.9235,11.8961,11.8853,12.4446,13.2357,13.4631,13.5465,13.6353,12.4603,11.8894,11.162,11.6789,10.9899,11.1278,11.0026,10.0494
BSU00290,13.4451,13.0876,13.0287,12.9901,13.2537,13.5848,13.807,13.7934,14.2203,13.1362,12.7533,12.4235,13.2466,12.5913,12.7403,12.7875,11.6587
BSU00300,13.8863,13.4406,13.5714,13.4218,13.6909,14.0503,14.3954,14.3108,14.9667,14.0413,13.5964,13.138,13.8004,13.292,13.3863,13.4732,12.3655
BSU00310,13.6256,13.2318,13.1893,13.1181,13.3307,13.7219,14.0086,14.0448,14.2213,13.3224,12.9441,12.5055,13.1962,12.418,12.73,12.8177,11.785
BSU00320,14.1728,13.9348,13.8495,13.6099,13.7672,13.9792,14.1995,14.082,14.3894,13.5352,13.0334,12.6937,13.4686,13.1605,13.4515,13.4951,12.7344
BSU00330,13.429,13.3,13.1789,12.7821,12.8373,13.0769,13.2514,13.4816,13.9711,12.8278,12.7736,12.2218,12.6668,12.4065,12.8796,13.0029,12.178
BSU00340,12.4941,12.3038,12.0163,11.5429,11.3417,11.6028,11.9449,11.4157,11.0919,10.5603,10.4555,10.0379,10.7346,10.4294,11.0119,10.8063,10.3453
BSU00350,12.864,12.639,12.2256,11.9001,11.8912,12.0394,12.1946,11.8847,11.4527,10.9739,10.8181,10.4537,11.1006,10.8647,11.3655,11.1782,10.6273
BSU00360,12.468,12.1413,11.9619,11.6123,11.5844,11.6489,11.7657,11.6216,11.2393,10.7384,10.4527,10.1291,10.7578,10.4726,10.7938,10.657,10.1986
BSU00370,14.1329,13.9183,13.0688,12.378,12.227,12.4483,12.3541,12.0179,12.6472,10.9624,11.3133,11.1531,11.8858,10.9634,10.73,10.1372,9.1242
new_45224_45399_c,9.5062,8.7089,8.6096,8.1453,8.2626,8.4778,8.2946,8.0639,9.311,8.5854,8.4447,8.4126,8.3161,8.1915,8.468,8.702,8.7198
