LBexp_1,LBexp_2,LBexp_3,BT_1,BT_2,B36_1,B36_2,B60_1,B60_2
new_45224_45399_c,8.4947,8.4673,8.493,7.7568,7.4091,7.3135,7.9685,7.8394,8.8058
new_45524_45632,14.0751,14.058,13.8999,10.4477,9.8111,10.5055,10.4901,10.691,11.2717
BSU00380,13.816,13.8333,13.7128,12.0704,11.1443,12.0797,11.9111,11.9115,11.5673
new_47673_50019_c,10.4329,10.6477,10.736,8.8181,8.592,8.6071,8.1857,8.4929,9.1929
BSU00390,11.6509,11.6492,11.525,10.4942,9.9544,11.0989,10.9316,10.5669,10.5122
new_48474_48554,11.1,11.3425,11.4558,10.3617,10.1139,10.9209,10.6066,10.2182,10.8769
BSU00400,12.4448,12.5121,11.7984,11.9418,11.1221,14.4348,14.5199,14.7598,14.9243
new_49987_50086,13.1922,12.3313,12.1724,9.8548,9.2285,11.7697,11.6587,11.6415,12.0405
BSU00410,12.3668,11.2905,11.0155,9.4397,9.0938,10.8723,10.8409,10.5244,10.8914
BSU00420,11.9763,10.9383,10.6044,9.5076,9.0931,10.4101,10.4467,10.1267,10.2389
new_51558_51679,8.3015,7.4463,7.546,14.3504,13.7546,13.4502,13.3192,11.5969,11.444
BSU00430,7.974,7.1335,7.3577,13.5229,13.3064,12.6153,12.6371,10.626,10.6385
new_52649_52719,7.2908,7.1502,7.8201,12.3281,11.4834,10.75,10.8999,10.7451,9.9974
BSU00440,15.3576,15.1346,15.3695,15.6552,15.3045,15.9686,15.8432,15.8041,16.2709
new_53111_53182,9.7369,9.5604,9.6002,11.2042,10.418,11.8386,11.5502,11.5345,11.4935
BSU00450,10.0816,9.666,9.7362,12.2814,12.3068,12.2298,11.9322,11.8024,11.7861
new_53363_55717_c,7.3153,7.2688,7.4773,9.8224,9.2542,9.5843,9.9239,9.6978,11.3514
BSU00460,13.0716,12.4367,12.0855,9.9364,8.9134,10.6652,10.8147,10.2189,10.5191
BSU00470,13.5721,13.4764,12.8276,10.8083,10.2467,12.1194,12.1169,11.5407,12.0573
BSU00480,14.2647,14.1637,14.2311,12.7928,12.0991,13.2729,13.0717,12.7454,12.5392
new_55707_55815,9.4652,9.5134,9.1389,10.2136,9.6757,11.3421,11.4016,10.9341,11.1875
BSU00490,13.6726,14.5267,14.3072,16.3905,16.3144,16.429,16.1544,16.414,16.4312
new_56193_56304,8.3894,9.315,8.9338,12.0278,11.6299,13.362,12.9776,12.9578,13.3763
BSU00500,15.435,14.9446,14.8062,12.5584,11.7774,13.788,13.6608,13.481,13.8198
BSU00510,15.1898,14.8964,14.8082,13.2486,12.6893,13.9818,13.7159,13.3811,13.4291
BSU00520,15.0438,14.8697,14.6602,15.6073,14.9064,16.1953,15.3848,16.0249,16.0577
BSU00530,12.8832,12.6621,12.3611,12.0009,10.9459,13.8417,13.3872,13.6015,14.1586
BSU00540,12.9327,12.6372,12.4533,12.8164,12.054,13.9262,13.4429,13.4639,13.7747
new_60361_60429,12.7472,12.5264,12.2486,12.0485,11.567,13.5718,13.0695,12.8036,12.9516
BSU00550,12.7674,12.4758,12.2297,11.7007,10.9598,12.657,12.3197,11.8183,11.3782
new_64001_64098,12.4969,12.3395,12.33,13.1615,12.121,12.2088,12.0475,11.7946,11.3997
BSU00560,12.3765,12.1406,12.0018,12.8347,12.367,12.141,11.9448,11.6301,11.0222
BSU00570,11.5076,10.9041,10.512,8.1813,7.8163,9.254,9.1724,9.3083,9.4426
BSU00580,13.074,13.016,12.802,9.897,9.3318,10.8205,10.565,10.5518,10.5512
BSU00590,13.1459,13.0522,12.7167,10.6791,9.7957,11.0839,10.884,11.0103,10.6437
BSU00600,13.107,12.8722,12.7514,12.4646,11.47,12.0415,11.9137,11.9611,11.9166
BSU00610,13.0881,12.8318,12.7636,12.4453,11.4984,12.2649,11.987,12.4596,12.7254
BSU00620,14.0566,13.9809,13.5484,13.1397,12.8385,14.0536,13.7845,14.5594,14.4537
BSU00630,14.8354,14.6357,14.051,13.1272,12.6503,13.8587,13.6076,14.5221,14.6717
new_70382_70493,10.3668,10.1174,9.7293,7.1729,6.9819,7.3969,7.5609,7.6312,8.1584
BSU00640,9.2097,8.2854,8.2734,12.373,11.6159,13.8131,13.4476,13.767,13.123
new_71190_71799_c,7.1094,6.9703,7.1858,9.9518,9.4081,8.2687,8.3738,8.7333,9.2493
BSU00650,9.2397,9.0453,8.5918,13.2355,12.6414,13.6028,13.3421,13.362,13.123
BSU00660,8.8276,8.4799,8.3339,11.7574,10.8859,11.7037,11.3688,11.1724,11.2902
BSU00670,13.2391,13.3449,12.7777,12.3187,11.6921,12.6229,12.3681,12.6015,12.8842
BSU00680,14.779,14.3791,14.1898,12.989,12.248,13.5503,13.27,13.3665,13.6311
new_76887_76983,14.9613,14.9933,14.8094,13.3791,12.6825,13.8066,13.4597,13.7,13.84
BSU00690,15.9996,15.654,15.5224,14.2635,13.5597,14.7338,14.552,14.5239,14.3959
new_78940_79025,11.5585,10.8289,10.5377,8.568,8.2434,9.7756,9.5036,9.1645,9.2882
new_79027_79091,13.05,12.4919,11.9676,9.1274,8.3874,9.9627,9.8608,10.6787,11.6451
BSU00700,13.1228,12.431,12.0648,9.5346,9.0445,10.0758,10.26,11.1836,11.4902
BSU00710,13.0294,12.4305,12.192,10.1427,9.5564,10.904,10.8196,11.1225,11.1974
BSU00720,12.3805,12.2943,12.0288,9.6889,9.2543,9.6251,9.7372,10.2737,10.8212
BSU00730,13.3878,13.5746,13.2599,14.5884,14.139,15.1851,15.192,14.8578,15.0019
BSU00740,12.0438,12.0396,11.7929,11.3274,10.8105,13.3273,13.2112,12.8185,12.9799
BSU00750,13.2626,13.1897,12.9321,12.2215,11.7116,14.2716,14.0576,14.1347,14.1659
BSU00760,13.1252,12.9141,12.7858,11.105,10.4297,13.6415,13.3941,13.7405,13.6497
BSU00770,13.0962,12.8877,12.7615,11.2695,10.7131,13.4925,13.2373,13.2269,13.2952
BSU00780,13.4691,13.0309,12.8557,11.8137,11.1439,13.7538,13.4823,13.7035,13.1348
BSU00790,13.2122,13.0971,12.9419,11.6079,11.0648,13.5998,13.2166,13.4461,13.2503
BSU00800,14.0096,13.4897,13.2641,11.666,11.0894,13.1665,13.1575,13.2624,12.9101
BSU00810,14.2438,13.8794,13.6709,12.2387,11.6481,13.6676,13.3977,13.3055,13.2658
new_88050_89566_c,7.6031,7.6313,7.7746,9.56,9.3473,8.6298,8.8358,8.2517,9.1642
new_88636_88726,14.6027,14.1944,13.7115,12.5474,12.0352,13.6566,13.3633,13.1482,13.1664
BSU00820,14.3807,14.1189,13.8962,12.5402,12.045,13.4591,13.1361,12.9036,12.8467
new_90318_90535,16.4732,16.3954,15.8033,13.0638,12.6852,12.5073,13.0326,13.1487,14.4269
new_101212_101289,12.417,12.1167,11.9905,9.8125,8.2853,10.1677,9.8276,9.5962,10.0819
BSU00830,14.4778,13.7208,13.5381,14.2233,13.479,14.429,13.7327,14.9639,15.1717
