LBexp_1,LBexp_2,LBexp_3,BT_1,BT_2,B36_1,B36_2,B60_1,B60_2
BSU11760,7.0096,7.3402,7.1867,16.418,16.3888,16.4175,16.0587,15.3194,15.5751
new_1251175_1251272_c,7.1872,7.3858,7.3244,16.3361,16.0755,16.1919,15.841,15.0747,15.1733
BSU11770,7.4781,7.5127,7.5357,16.3835,16.3537,16.3609,15.8278,15.0619,15.1589
BSU11780,7.1022,7.3002,7.2333,15.8544,16.1575,16.2443,15.9473,14.7006,14.9631
new_1252061_1252565_c,6.9503,6.7648,7.0128,9.5996,9.4837,8.6212,8.8365,7.9783,8.2063
BSU11790,7.3942,7.2866,7.2795,11.9664,11.1915,11.9502,12.1726,10.5319,10.5972
new_1252566_1252752,7.3807,7.2118,7.4421,14.7554,13.9604,14.0154,13.9382,11.676,11.9337
BSU11799,7.0732,6.8835,7.1258,14.7166,14.3069,13.78,13.5129,11.2506,11.2488
BSU11809,7.4739,7.7221,7.2005,16.1871,16.0433,16.2269,15.7854,15.1424,15.0509
new_1253253_1253384,7.0478,7.0162,7.1534,16.4609,16.4239,16.4581,16.2494,14.0216,14.6485
BSU11810,7.0959,7.18,7.2583,16.3386,16.1097,16.3322,15.7297,14.3427,14.7023
new_1253669_1254769,7.2999,7.0437,7.2325,8.8654,8.4124,9.8877,10.1373,8.0779,8.6156
BSU11820,10.9201,9.828,9.5489,7.7541,7.4664,7.6494,7.7605,7.594,7.9391
new_1255867_1256041_c,11.3727,9.9979,9.7489,7.7089,7.4276,7.3158,7.7054,7.5839,8.6368
new_1255943_1256078,8.2066,8.3203,8.1587,10.9007,10.6121,10.6331,10.467,10.6533,10.6639
BSU11839,9.9055,9.4672,9.2157,14.7094,13.7978,14.2875,13.1739,15.7478,16.0724
BSU11840,12.1698,12.9294,12.5705,13.8403,13.4276,14.3711,13.9826,14.635,14.4165
BSU11850,12.2098,12.8856,12.4313,13.539,13.1228,14.2511,14.0434,14.5611,14.4666
BSU11860,12.092,12.9092,12.4887,12.7831,12.1842,13.4972,13.5722,14.1614,14.4359
BSU_misc_RNA_15,9.2408,10.3115,9.7791,13.2612,13.5648,13.616,13.6124,13.5069,13.8772
BSU11870,8.4035,9.6668,9.3875,11.3019,10.793,12.4621,12.4992,11.8461,11.8529
BSU11880,8.0989,9.1748,8.8226,11.7089,11.3131,12.4207,12.3066,12.2439,11.5828
new_1260806_1262335,7.0989,7.7478,7.7884,8.9309,8.5045,9.2148,9.3742,9.0059,9.3423
BSU11890,8.3042,8.9053,8.3588,9.6394,9.2923,10.3848,10.386,9.7209,10.0997
BSU11900,7.4765,7.8057,7.6583,9.0129,8.52,9.5275,9.3588,9.602,9.4618
BSU_tRNA_83,10.3737,10.7214,10.0743,11.9682,12.1797,11.128,10.6045,10.2992,10.8017
new_1262876_1263611_c,8.7348,9.7628,9.3021,9.2574,8.6022,9.9146,9.8695,10.3257,10.6131
new_1262896_1264544,9.9584,9.5623,9.2726,7.6432,7.4466,7.4013,7.4904,7.7942,8.9873
new_1263613_1263701_c,12.5769,12.7064,12.5738,8.2055,7.664,10.336,10.3622,10.2717,10.9368
BSU11910,14.9293,14.9661,14.7586,9.2539,8.5987,11.3121,11.4813,11.9077,13.0649
new_1264932_1265017_c,15.2513,15.5716,15.0235,9.506,8.3818,10.9169,10.6143,11.9808,13.2369
BSU11920,12.7465,12.5798,12.3189,10.6502,10.6637,11.4151,11.2689,11.5661,12.2757
new_1265432_1265529,8.9421,8.6923,8.4336,8.4581,7.8085,11.0478,10.6886,11.3188,11.215
BSU11928,8.9367,8.7376,8.5931,8.5709,8.0827,10.9904,10.7199,11.2743,11.1662
BSU11929,8.8033,8.6874,8.592,8.4252,8.0812,11.0742,10.6761,11.1262,11.0981
BSU11930,8.8616,8.7439,8.5326,8.6404,8.2378,11.0743,10.7412,11.1981,11.1279
new_1266349_1266589,9.9687,9.6832,9.5043,8.8886,8.5023,11.3242,11.096,11.4442,11.5425
BSU11940,11.797,12.9322,12.8042,9.0868,8.4525,11.59,11.2722,11.9921,11.7683
BSU11950,11.3039,12.1836,12.2125,9.1367,8.4777,11.4047,11.0003,11.4465,11.3373
BSU11960,7.2294,7.0561,7.2267,6.9232,6.9032,6.7227,6.8583,6.734,7.0629
BSU11970,12.76,12.6174,12.5094,11.6349,11.0311,10.5828,10.6258,10.1076,10.3793
new_1268593_1268828,12.9151,12.8745,12.6698,11.8883,11.1157,10.954,10.8355,10.1895,10.5689
BSU11980,12.3554,12.2466,12.0144,11.4218,10.9987,10.7449,10.761,9.9184,9.9975
new_1269585_1269672,12.9943,12.5163,12.3778,12.2611,11.5462,11.2781,10.952,10.4759,10.3658
new_1269672_1269732_c,7.7231,8.259,8.3878,16.1628,15.1665,15.2595,15.3675,15.8225,14.711
BSU11990,8.0503,8.6636,8.5656,16.0679,14.9894,15.2663,15.2939,15.694,15.0165
new_1270127_1270583_c,7.8852,8.275,8.406,8.8913,8.2521,8.009,7.7697,10.2148,10.2141
BSU12000,15.0965,12.4062,11.8796,8.7137,8.031,7.3808,7.4574,7.932,8.0528
BSU12010,16.3938,13.9699,13.9044,8.7299,8.19,8.251,7.8293,8.5608,8.3708
BSU12020,16.3697,14.2965,14.2571,8.215,7.9056,8.2641,7.833,8.6004,8.4635
new_1275640_1275738,16.4188,14.5654,14.5433,8.2845,7.9839,8.1462,7.8371,8.5655,8.5041
new_1275740_1275808,16.421,14.6325,14.622,10.9207,9.9092,11.7867,10.9894,12.1118,12.2072
BSU12030,16.3641,14.7186,14.8337,10.7182,9.7234,11.3196,11.1569,11.7406,11.7609
BSU12040,8.8788,9.9257,9.6707,11.6626,11.1763,13.2188,13.3706,12.5237,13.0751
new_1276876_1277061_c,8.0112,7.359,7.7888,11.4523,11.1021,12.8137,13.2217,12.3346,13.105
BSU12050,7.4977,7.7778,7.8206,13.5835,12.8892,14.1653,14.4467,13.708,13.8516
new_1277495_1278195_c,7.821,8.7013,8.3805,9.1699,8.5212,8.3405,8.3041,9.0288,9.3149
BSU12060,11.5095,10.5113,10.4382,9.0228,8.4988,9.4857,9.4595,9.4742,9.6837
BSU12069,10.3719,10.5763,10.5019,10.7529,9.8619,10.8688,10.6307,10.8546,10.6371
BSU12070,8.3464,9.2108,8.702,9.3702,8.7031,9.3202,9.7099,9.3116,10.0253
new_1278946_1279513_c,7.2852,7.4057,7.5748,8.7927,8.3844,8.9832,9.6162,9.0881,10.1503
new_1279022_1279523,11.1637,11.2444,10.6279,8.6396,8.1621,8.7215,8.7806,9.4393,10.2531
BSU12080,7.8103,8.6892,8.2557,10.5948,10.0448,10.832,11.1073,10.6427,11.3927
BSU12090,7.1444,7.906,7.9139,16.2972,16.0411,15.908,16.2356,15.0253,15.4428
new_1281024_1281127,11.3448,13.8698,13.4871,10.5347,10.0708,9.0733,9.087,10.5633,11.4959
BSU12100,10.9612,13.2925,13.149,9.7486,9.4266,9.5269,9.5181,9.659,10.3341
BSU12110,7.8394,8.3117,8.0894,15.063,14.2938,14.0178,13.9515,12.8675,12.7719
BSU12120,10.0888,10.502,10.3125,7.9895,7.4701,8.2605,8.0946,7.6447,7.9812
BSU12130,6.9134,6.7806,7.0889,7.0437,6.8962,6.7164,7.0115,6.7909,7.1001
BSU12140,9.0792,9.6587,8.888,7.8977,7.5036,8.013,8.0984,8.1987,8.6709
BSU12150,6.8665,6.7587,7.0517,7.5432,7.2808,8.3048,8.3203,8.1724,9.0482
BSU12160,7.1597,7.0192,7.253,8.4395,7.9155,11.1504,10.7307,9.9846,10.4149
BSU12170,7.2325,7.1138,7.3154,8.6165,8.2801,10.9062,10.5915,9.4451,9.2549
new_1289139_1289257,7.2731,6.9988,7.289,7.3431,7.2702,6.9329,6.9544,7.0009,7.7876
BSU12180,11.6843,11.9153,11.7896,10.1981,9.8114,8.412,8.5823,8.7932,9.4647
BSU12190,8.4903,8.7753,8.4856,10.3719,9.7579,8.7742,8.9534,8.6416,8.5262
BSU12200,10.0467,10.0421,9.5807,9.591,9.363,9.4648,9.6196,10.0367,10.2333
new_1291003_1291419_c,6.8437,6.7508,7.0152,9.636,9.2842,8.453,8.5913,7.508,7.8274
new_1291189_1291343,8.859,9.436,8.8639,9.6919,9.2004,10.2213,9.9131,9.9666,10.3565
BSU12210,8.5231,8.9975,8.6174,9.7943,9.188,10.5081,10.3824,10.0896,10.096
BSU12220,8.5426,8.7686,8.52,9.9004,9.487,10.564,10.2173,9.7919,9.7098
BSU12229,10.4469,10.0941,9.7507,9.1789,9.0112,8.9121,8.7816,8.295,9.4011
BSU12230,12.0357,12.3638,11.8788,10.6859,9.9878,10.8283,11.0201,10.3356,10.8559
BSU12240,9.4396,9.4461,9.1904,8.54,8.222,8.9051,8.8481,8.7291,8.6237
BSU12250,9.5507,9.5263,9.1829,8.3335,7.9199,8.7389,8.7593,8.689,8.7232
BSU12260,10.0825,10.3882,9.9235,9.2385,8.5532,9.2598,9.1835,8.9384,9.0244
new_1297643_1300149_c,7.2927,7.465,7.6126,11.3735,10.7192,8.6188,8.8488,9.3609,10.0051
BSU12270,8.7116,9.0026,8.7606,8.7997,8.1266,10.9559,10.5916,12.3758,12.965
new_1298224_1298337,8.635,9.1179,8.9856,8.6199,8.3321,10.972,10.5521,12.2833,12.6663
new_1298339_1298611,15.9488,16.3146,16.2463,13.3904,12.7446,14.1429,13.5805,14.3956,14.3895
BSU12280,15.8861,16.2232,16.3,13.3943,12.7555,14.4258,13.867,14.3528,14.1984
BSU12290,15.3888,15.6033,15.5581,12.8669,12.1872,14.0627,13.6392,13.7706,13.4509
BSU12300,9.4148,9.237,9.0193,7.6289,7.389,7.0612,6.9912,7.1809,7.2393
BSU12310,7.3019,7.0863,7.2259,7.4482,7.1846,6.7805,6.6959,7.1441,7.1308
new_1303355_1303422,7.3789,7.2298,7.5462,12.2608,11.6051,11.2244,10.9247,11.3261,11.1274
BSU12320,7.3742,7.2005,7.2881,10.5209,10.082,9.5014,9.0954,9.8296,9.1123
BSU12330,7.4034,7.3384,7.3896,10.4158,9.5978,9.394,8.9433,9.7761,8.8624
BSU12340,7.458,7.3529,7.3734,10.1105,9.2135,9.0142,8.5605,9.4347,8.5835
BSU12350,7.4446,7.3402,7.3592,10.1233,8.9866,8.674,8.4482,9.1632,8.1922
BSU12360,7.3956,7.1934,7.3276,9.4427,8.6296,8.3602,8.2186,8.8195,8.2093
BSU12370,9.8643,10.257,9.6338,9.9375,9.3205,10.1127,10.1726,10.1965,10.4346
BSU12380,7.8569,7.7228,7.8909,7.9179,7.6652,9.2905,9.0763,8.4751,8.16
BSU12390,7.8078,7.7454,7.8053,8.6232,8.1252,8.8872,8.8288,7.9798,7.9439
BSU12400,7.0991,7.1357,7.2369,12.7428,12.282,11.7597,12.3091,11.1894,12.269
new_1313663_1313744_c,7.1131,6.892,7.2231,12.537,11.9692,10.8307,11.2913,10.2569,10.5734
BSU12410,13.6627,13.715,13.3194,12.9342,12.6988,11.0198,10.9899,10.6889,10.5758
BSU12420,11.6738,11.748,11.5046,10.205,9.6736,11.1706,11.1844,10.6362,10.573
BSU12430,11.0233,12.1171,11.3962,16.2569,15.7599,16.4015,16.2529,16.391,16.4076
BSU12440,11.4411,12.0418,11.6502,16.3555,16.3685,16.4588,16.2409,16.4342,16.4471
BSU12450,11.4727,11.4529,11.2006,10.5012,9.6758,10.1101,10.0814,10.4231,10.9809
BSU12460,10.5456,10.688,10.3613,8.8408,8.487,9.4937,9.4347,9.4055,9.7826
BSU12470,11.5869,11.8487,11.481,10.0257,9.626,10.403,9.994,10.2936,10.0895
BSU12480,9.9825,10.1279,9.9124,8.3934,7.9235,8.6872,8.6808,8.797,9.2485
new_1319640_1320569_c,7.8547,8.0484,8.0232,8.2034,8.1785,7.8065,7.8654,7.6376,8.2133
BSU12490,9.9644,9.9333,9.7153,11.9184,11.7538,10.7571,11.021,9.6769,9.5946
BSU12500,8.4823,8.559,8.4589,8.1307,7.4478,8.5029,8.4293,8.1649,8.6761
new_1321205_1321328_c,10.9231,11.2998,10.5559,9.9994,9.743,10.1344,9.9525,10.3545,10.5113
BSU12510,11.8296,12.0611,11.2532,10.5424,10.0592,10.4758,10.3862,11.304,11.4896
BSU12519,8.3372,8.3634,8.1318,7.2152,7.079,7.2427,7.169,7.377,7.9979
BSU12520,8.1756,8.219,8.02,7.1181,6.9765,7.2425,7.1271,7.4328,7.5321
BSU12530,8.4453,8.5053,8.3022,7.2561,7.0837,7.34,7.114,7.7341,7.5249
BSU12539,8.3252,8.4179,8.2983,7.4545,7.1891,7.2397,7.0928,7.7635,7.6016
BSU12540,8.656,8.7522,8.5427,8.5449,8.1531,7.7503,7.6605,8.108,7.8876
BSU12550,8.6199,8.7229,8.4817,8.5129,8.1718,7.7382,7.6867,8.1268,7.95
BSU12560,8.2784,8.2634,8.3104,7.4843,7.2643,6.9617,6.9983,7.6415,7.5
new_1325005_1325095,11.739,11.5401,11.5293,8.0144,7.516,8.4543,7.8955,10.4293,10.1681
BSU12570,11.2826,11.334,10.9802,8.1894,7.8393,8.1554,7.988,9.7378,9.4001
BSU12580,11.1148,11.0775,10.7255,7.912,7.6287,7.9107,7.8277,9.5882,9.0077
BSU12590,11.4145,11.3767,11.3005,8.4169,7.8997,8.2343,8.0257,9.582,9.2295
BSU12600,12.6616,12.8269,12.454,9.2855,8.6563,8.4349,8.3232,10.3326,9.6755
BSU12610,12.6068,12.6315,12.2265,8.9606,8.4717,8.0587,7.9556,9.7761,9.007
BSU12619,12.1702,12.1566,12.0047,8.4709,8.1188,7.8119,7.614,8.9057,8.7944
BSU12620,12.4454,12.5459,12.3374,8.9811,8.2515,7.8474,7.9243,9.7031,8.9169
BSU12630,12.6343,12.6447,12.2936,8.7668,8.2971,7.8561,7.7992,9.5346,8.7641
BSU12640,12.7726,12.8353,12.3446,8.7044,8.431,7.994,7.7791,9.4435,8.7861
BSU12649,12.7831,12.786,12.6131,8.8473,8.372,7.9704,7.7436,9.6267,8.9925
BSU12650,12.6121,12.6459,12.4242,8.8867,8.4658,7.9512,7.7236,9.4012,8.8954
BSU12660,12.6096,12.485,12.2289,9.0569,8.6884,8.0833,7.9084,9.4718,9.0131
new_1334248_1334338,12.5879,12.5061,12.5002,8.6602,8.2722,8.0838,7.8599,9.6304,9.0022
BSU12671,12.1898,12.2856,12.1702,8.2666,7.9747,7.8135,7.6848,9.2367,8.7257
BSU12672,11.8301,11.904,11.6754,7.736,7.716,7.325,7.2945,8.5821,7.9341
BSU12680,11.5174,11.5625,11.3494,8.6216,8.2543,7.9511,7.8435,8.7812,8.4515
BSU12690,11.4112,11.4566,11.2472,8.1463,7.7118,7.4043,7.303,8.5603,8.064
BSU12700,11.0975,11.1617,10.8233,7.8655,7.6223,7.1847,7.1483,8.3286,7.8164
BSU12710,11.6388,11.6235,11.4225,8.1746,7.7856,7.2506,7.2851,8.5551,7.9584
BSU12720,11.0815,11.3381,10.9367,7.7717,7.6357,7.262,7.174,8.2909,7.765
BSU12730,10.8042,10.8018,10.6084,7.804,7.552,7.1794,7.1275,8.0177,7.7074
BSU12740,10.7799,10.8753,10.572,7.8179,7.582,7.2625,7.1737,8.1306,7.6903
BSU12749,10.9725,10.865,10.7182,7.8234,7.745,7.398,7.2604,8.3051,7.949
BSU12750,10.9851,11.0291,10.9017,8.3094,8.047,7.7283,7.702,8.4964,8.3737
BSU12760,10.9928,11.1093,10.6982,8.0973,7.692,7.2601,7.363,8.1679,7.902
BSU12770,11.3104,11.4362,11.2453,8.187,7.7474,7.3658,7.3796,8.544,7.9393
BSU12780,11.1102,11.1541,10.9152,7.9122,7.4523,7.1443,7.2051,8.1586,7.7735
BSU12790,12.017,12.1356,11.8414,8.6454,8.3461,8.1223,7.9049,9.6289,9.142
BSU12800,11.9265,12.0133,11.7129,8.3545,7.8036,7.5088,7.8259,9.2791,8.6896
BSU12810,11.4814,11.801,11.283,8.5689,8.3055,7.7802,7.8597,9.1633,8.7204
new_1348200_1348403_c,9.358,9.9603,9.7088,13.9594,12.2936,13.6778,13.2832,12.171,12.4762
BSU12820,10.8822,11.2561,10.7866,12.1514,11.6885,12.5105,12.39,12.4326,12.6721
BSU12830,10.9344,11.2877,10.8844,12.2405,11.8652,12.0631,11.8482,12.4824,12.7029
BSU12840,14.6398,14.2481,13.8181,11.3457,10.9535,11.1515,11.3845,11.2956,11.6356
BSU12850,15.2119,14.6883,14.3772,11.3058,10.7964,11.9477,11.9544,11.9114,12.5876
new_1351139_1351236_c,13.3478,12.7081,12.4978,10.8602,9.7741,10.9883,10.8929,11.6108,12.17
BSU12860,11.5893,11.8994,11.5169,8.3069,7.9746,9.3469,9.5276,9.4275,9.8047
new_1353008_1353079,10.0668,9.9481,9.9448,10.1559,9.8557,9.9192,9.7677,10.7805,10.8743
BSU12870,9.5173,9.4466,9.2338,10.0134,9.6564,9.7755,9.5425,10.2209,10.2965
BSU12880,7.615,7.4314,7.5051,7.143,6.9375,6.9713,6.9645,6.9811,7.1124
BSU12890,7.7306,7.7316,7.7014,7.4048,7.2019,7.2843,7.2585,7.2321,7.4062
new_1356775_1357416_c,7.6091,7.7446,7.5214,7.4798,7.2094,7.5775,7.5591,7.5724,7.9848
new_1357486_1357852_c,11.3976,11.386,11.0678,11.1638,10.631,12.9619,12.9126,12.8916,12.5389
BSU12900,10.9326,10.7636,10.4121,11.126,10.5751,10.9398,10.811,11.1177,10.9205
new_1359357_1359439_c,9.5887,9.9228,9.506,11.2224,10.5412,10.7114,10.3859,11.0545,11.3469
BSU12910,10.2951,10.4505,10.117,10.0074,9.4703,10.2938,10.245,9.6111,9.7807
BSU12920,7.4615,8.2202,7.6995,13.7779,13.3014,12.1377,11.8706,12.3783,12.5164
BSU12930,7.1015,7.5552,7.297,13.6358,13.3224,11.9701,11.7325,12.1846,12.3894
BSU12940,7.0735,7.0176,7.2375,13.2849,12.6779,11.7803,11.4882,11.7963,11.6563
BSU12950,7.0705,7.0636,7.2499,14.09,13.4981,13.0585,12.7844,12.9098,12.5629
BSU12960,7.4259,7.4497,7.5894,13.9291,13.445,12.9694,12.5901,12.5793,12.2634
BSU12970,7.7159,7.7112,7.631,13.1832,12.5919,12.6012,12.457,11.7529,11.471
BSU12980,7.9768,7.9553,7.8683,13.327,12.8392,12.7495,12.5246,11.8992,11.6241
BSU12990,8.1237,8.1565,8.1074,13.6655,12.9314,12.9359,12.6934,12.0857,11.7489
BSU13000,8.0444,8.0576,7.9285,13.3334,12.5469,11.8846,11.5218,11.5275,11.03
new_1369127_1369854_c,7.2788,7.2378,7.364,8.4399,8.0481,7.6787,7.8877,7.6478,8.2352
new_1369868_1371036,7.4906,7.6045,7.5668,10.2181,9.8271,9.1072,8.7292,8.8674,9.1023
BSU13010,13.0214,13.2189,13.0257,12.4576,12.0267,12.2274,12.004,11.9721,12.0448
BSU13020,7.328,7.4406,7.4958,9.7631,9.3041,10.801,10.6511,9.962,11.4857
BSU13030,13.0295,12.8471,12.539,10.6171,10.1212,10.9053,10.8723,11.0225,11.3824
new_1372636_1372742,8.4653,8.7243,8.4671,10.8214,10.2637,9.3562,8.9888,9.0955,9.6223
BSU13040,7.9195,8.2339,8.099,10.2586,9.9177,15.343,14.2897,14.0062,13.9428
new_1374025_1374396,6.8844,6.7483,6.983,7.9364,7.6717,13.9032,12.7871,12.3919,12.5923
BSU13050,6.9923,6.8657,7.0872,9.0607,8.6976,7.6755,8.2685,7.3884,7.9084
BSU13060,6.9551,6.8178,7.0482,9.0546,8.6132,13.8167,12.7448,12.462,12.3905
BSU13070,7.9642,8.4086,8.3134,9.5439,9.0479,10.9384,10.1773,9.9321,9.8969
BSU13080,7.9306,8.3781,8.3081,9.5671,9.0612,10.9486,10.2676,9.78,9.7949
BSU_misc_RNA_16,12.8821,12.9642,12.6566,11.6971,10.4836,12.9043,12.4269,13.0356,13.0828
BSU13090,9.5449,9.2562,8.9035,7.6829,6.982,8.3309,8.0623,7.983,7.9894
BSU13100,9.3665,9.0687,8.8121,7.3983,7.1488,8.1086,7.9728,7.8693,7.7762
BSU13110,12.3647,12.5962,11.9768,9.9001,9.6361,10.7079,10.8614,10.5181,11.0124
BSU_misc_RNA_17,12.8412,12.8162,12.0373,11.4263,10.6321,11.6615,11.5254,12.0924,12.1547
BSU13120,13.0835,13.1228,12.8076,11.0685,10.3878,10.2605,10.2742,9.8721,9.9442
BSU13130,12.9868,13.0775,12.8139,11.795,11.1912,10.7619,10.7762,10.2696,9.9154
BSU13140,10.5448,10.4149,10.3029,10.3868,10.0456,11.4101,10.9634,9.6573,10.3774
BSU13150,10.5044,10.4897,10.2303,9.2163,9.0238,10.0179,9.8671,10.4827,10.5926
BSU13160,7.6302,7.754,7.7666,12.0934,11.5576,14.2372,13.9148,14.6104,14.9188
BSU13169,7.2564,7.1828,7.3951,9.3625,9.0216,12.0905,11.5546,12.2032,12.5705
new_1382628_1383305,7.0182,6.8545,7.0737,8.5577,8.1483,11.0093,10.6572,11.3572,11.6951
BSU13170,7.5143,7.3884,7.4022,11.5319,11.2821,10.1035,10.388,9.7233,9.7762
new_1383187_1383294_c,6.9157,6.9183,7.1266,10.0062,9.3228,10.8745,11.2261,10.854,10.8204
BSU13180,8.0947,9.1999,8.8147,13.2173,12.8037,13.9894,14.0288,13.9121,13.2202
new_1385609_1385671_c,8.357,9.7691,9.2682,12.9029,12.1203,13.5056,13.6317,13.6304,13.4211
BSU_misc_RNA_18,9.6963,10.708,10.2851,15.5421,15.0938,16.0994,15.8513,16.0858,16.2221
new_1385938_1386023_c,6.985,7.137,7.3075,16.476,16.111,15.719,15.3423,12.4735,12.925
BSU13190,7.1408,7.422,7.2206,15.9904,15.3522,14.8685,14.4839,11.3328,11.9889
new_1386984_1387035_c,7.9643,8.4729,7.8476,15.387,15.4325,15.1781,14.9189,11.4231,12.2733
BSU13200,13.0773,13.2259,13.0696,11.2103,10.7611,10.1877,10.4156,10.5128,10.7926
BSU13210,7.931,7.895,7.9017,7.6424,7.3826,7.9144,7.8397,7.6187,7.6879
BSU13220,8.0812,8.0647,8.0412,7.7388,7.4722,8.2498,8.1352,7.8421,7.9204
BSU13230,7.897,8.0313,7.9075,7.5649,7.2303,8.0162,7.9377,7.7259,7.7383
BSU13240,8.0242,8.1932,8.0925,7.5114,7.257,8.0443,8.1941,7.9439,7.9618
BSU_misc_RNA_19,10.4087,10.4623,9.9547,13.0169,12.7858,14.0234,13.5924,13.807,13.7359
BSU13250,9.3152,8.9497,8.705,8.1733,7.655,8.0724,8.0528,8.1508,8.6826
BSU13260,9.5005,9.2711,9.1272,8.3507,7.9141,8.7717,8.7556,8.593,8.656
BSU13270,10.0419,9.6017,9.5029,9.0449,8.5038,9.4408,9.3101,9.2816,9.1755
BSU13280,9.9572,9.767,9.6471,9.6796,9.1342,11.3822,11.1722,10.3031,10.0101
BSU13290,7.4177,6.9278,7.2922,11.0779,10.9418,9.8347,9.5264,9.2806,8.9749
new_1395590_1395909,13.5174,13.7886,13.5044,11.0898,10.5649,11.4796,11.6666,11.6984,11.7834
BSU13299,6.9564,6.9519,7.2645,8.8879,8.4611,7.365,7.284,7.1942,7.6591
new_1395911_1396012,12.6626,12.9952,12.5983,10.5661,9.9211,10.8369,11.1017,10.8665,10.97
BSU13300,12.462,12.5942,12.2958,9.9227,9.5779,10.1654,10.3103,9.8774,10.3259
BSU13310,9.7548,10.2473,9.6129,12.2585,11.5416,8.927,9.0451,9.7432,11.1647
new_1397771_1398159_c,8.963,10.0194,8.707,9.7783,9.4812,7.9969,8.3762,9.4555,10.8541
BSU13320,7.8759,7.7611,7.8258,12.7413,12.3653,8.3735,8.3997,8.0506,8.6494
BSU13330,8.0144,7.7353,8.0234,13.471,13.1974,9.6267,8.9828,11.5681,12.6735
new_1398413_1398495,13.3283,13.3779,12.8517,15.1975,14.4586,14.0594,13.2067,15.4219,14.6972
BSU13340,11.9938,12.2683,11.6117,14.7204,14.1171,13.5858,12.5696,14.6789,14.0244
BSU13350,7.1418,6.968,7.1844,7.9031,7.6366,7.5132,7.6507,7.625,7.7734
new_1399409_1400187,7.2662,6.9294,7.35,11.1868,10.689,10.3527,10.3795,9.5878,9.8983
BSU13360,7.1258,6.8826,7.2342,11.6553,10.981,10.821,10.8807,9.6738,10.0656
BSU13370,8.2402,7.93,7.8767,8.3138,7.8606,8.576,8.5898,8.2205,8.499
new_1401697_1401771,7.0997,7.0404,7.2782,9.7302,8.7273,8.9926,9.0936,9.15,9.0061
BSU13380,7.323,7.1938,7.2813,9.8854,9.3095,9.0737,9.1903,8.9969,8.755
BSU13390,7.4806,7.3642,7.4459,10.09,9.7292,9.3863,9.3581,8.9576,8.5336
BSU13400,7.8726,7.7215,7.7604,10.1378,9.8787,8.7142,8.851,8.4379,8.297
BSU13410,7.6326,7.5023,7.8543,9.8009,9.7382,8.3001,8.3149,8.2178,8.0764
BSU13420,9.5845,9.9962,9.8842,7.8612,7.6561,7.7005,7.6512,7.7891,8.0717
new_1409579_1409781_c,9.6747,9.9229,9.8434,7.5559,7.3686,6.9655,7.0693,7.1263,7.6784
BSU13430,11.7219,11.5993,11.2532,9.8327,9.1149,9.8403,9.6947,9.8878,9.906
BSU13440,9.5273,9.3307,9.0106,11.7197,10.709,11.7561,11.7509,12.0156,12.3264
new_1411773_1411859,11.3963,11.2116,10.4425,8.8147,8.2947,9.4019,9.2569,12.2316,12.558
BSU13450,12.218,12.1433,11.3639,9.5974,9.0755,10.4867,10.7381,12.0072,12.7962
BSU13460,11.6688,11.635,11.2842,9.0557,8.699,9.0698,9.006,10.0504,10.723
new_1413790_1414949,10.514,9.834,9.8856,8.8236,8.5788,8.9829,8.945,9.549,9.6702
BSU13470,7.3939,7.7978,7.5579,12.1669,12.1592,10.3542,10.4077,9.3558,9.019
BSU13480,11.6366,12.0893,11.4442,9.0076,8.6544,8.7413,9.134,8.757,9.8977
new_1414827_1414907_c,12.8212,12.9488,12.3756,8.7901,8.4683,7.1897,7.4237,8.5897,9.8683
BSU13490,13.7952,13.65,13.3884,11.9801,11.161,11.5004,11.3635,12.6419,12.4849
BSU13500,11.2523,10.9217,10.5038,8.8894,8.3956,9.6275,9.478,10.3745,10.5475
new_1417493_1417560,7.3595,7.0023,7.2225,13.3528,12.975,11.7431,11.7628,10.3309,10.6057
BSU13509,7.4378,7.0076,7.2417,13.4659,13.0351,11.8392,11.876,10.5944,10.8023
BSU13510,7.3656,6.9731,7.2361,12.8545,12.8058,11.4338,11.4842,10.4108,10.1722
BSU13520,7.186,7.0156,7.1527,8.9731,8.532,9.2397,9.4369,8.9752,9.3966
BSU13530,8.0381,9.0361,8.6912,11.6282,11.0649,11.3318,11.3475,10.9175,11.1136
new_1421204_1422144_c,7.9092,8.8595,8.5629,9.8111,9.2206,10.8686,11.1106,9.6975,10.3788
BSU13540,10.9583,11.029,10.5843,12.6081,12.0479,11.9864,11.7433,11.8195,12.0193
new_1421924_1422163,10.3077,10.5815,10.2974,12.28,11.919,11.5836,11.5753,11.5671,11.4651
BSU13550,12.7296,13.721,13.1935,16.3405,15.6998,16.4098,16.3619,15.9854,15.8591
BSU13560,12.4611,13.5597,12.9985,15.8569,15.3775,16.3813,15.943,15.6925,15.6542
BSU_misc_RNA_20,12.0315,12.9606,11.8422,14.2476,13.6901,16.2863,15.9581,16.1554,16.3737
BSU13570,9.3393,10.0756,9.6983,11.5059,10.7882,12.4373,12.6535,11.8315,12.1556
new_1425281_1425598,8.6525,9.5571,8.7575,10.5288,10.0389,11.7177,11.4429,11.4089,11.7676
BSU13580,8.5858,9.4782,9.007,11.4094,10.7798,12.4023,12.5075,11.6386,11.7307
BSU_misc_RNA_21,11.9715,12.7091,12.011,13.8615,13.5874,16.0985,15.6954,15.9154,16.0132
