LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
BSU00170,7.636,7.4331,7.5371,7.4569,7.617,7.6488,7.5439,7.6977,7.7005,7.9423,7.7734,8.0525,9.4316,9.191,7.5243,8.4222,9.7958,9.4252
new_25655_25851,11.1492,11.1661,10.3351,9.7832,9.3702,9.08,11.3198,11.7952,11.0317,10.2715,9.406,10.1959,11.0275,10.9361,10.7006,8.9696,9.0625,8.6553
BSU00180,10.3308,10.5199,9.5726,9.1263,8.8743,8.7061,10.9435,11.0335,10.4154,10.444,9.7684,10.1516,11.165,10.7148,10.4693,8.8539,8.8365,8.7245
new_26383_26532,14.7167,14.7515,14.2323,15.7185,15.7708,16.1568,14.784,14.7341,14.747,14.7542,14.5971,13.8239,14.797,14.4419,14.3013,15.1631,15.499,15.469
BSU_misc_RNA_2,14.6414,14.5991,14.2535,15.7066,15.8035,16.3779,14.6864,14.681,14.8681,14.858,14.6438,14.0721,14.7546,14.4139,14.2602,15.1225,15.4634,15.3403
new_26636_26731,14.3791,14.4444,14.2053,15.2638,15.0672,15.5063,11.9986,14.487,14.7702,14.8598,14.6149,14.1669,14.6005,14.2138,14.144,14.2184,14.3389,14.4188
BSU00190,13.2991,12.944,12.7901,11.4478,10.9468,10.6729,13.5939,13.2131,13.2736,13.3328,12.711,12.3257,12.8064,12.3788,12.1543,10.7393,10.0054,9.8302
BSU00200,15.0577,14.7562,14.4958,14.0899,13.6158,13.036,14.6793,14.9318,14.8484,14.4864,13.9428,14.1316,14.6564,14.2584,14.1096,12.4734,12.3339,12.1521
BSU00210,13.8968,13.4034,13.3043,12.4611,12.1957,11.4564,13.7692,12.9657,13.7454,13.1303,12.5827,12.4316,13.0681,12.6262,12.455,10.7863,9.9701,9.6354
BSU00220,12.6192,12.5135,12.402,11.2909,11.1752,10.6079,12.9146,11.4173,12.5881,12.5051,12.119,12.2077,12.4196,11.6187,11.509,10.1718,9.3609,8.9169
BSU00230,12.0044,11.9025,11.6707,10.5987,10.1594,9.8015,12.408,10.2124,11.5929,11.4321,11.0178,10.2772,11.0793,10.5241,10.5523,11.8867,10.3756,10.1377
new_30076_30278,16.4151,16.3564,15.6851,11.2356,11.107,11.1119,15.685,15.8899,16.3652,16.4446,16.4147,16.1867,16.1069,15.5012,15.4831,12.5801,12.5586,11.9408
new_35104_35236,13.0549,13.059,12.1299,9.4292,9.6299,8.9906,8.4766,13.1062,13.0397,15.036,15.4646,12.5077,12.4135,11.911,11.904,9.0391,8.7747,8.8319
new_35356_35458,12.3976,12.052,11.4112,9.3043,9.5402,8.7065,8.781,9.4089,11.7703,13.7542,13.5516,11.1497,11.6059,11.3176,11.1578,8.4744,8.4927,7.8663
BSU00240,12.1169,11.8474,11.1761,9.2256,9.3969,8.6767,12.1572,9.3412,11.5976,12.3886,12.4943,10.0996,11.4636,11.1288,10.7353,12.2032,10.4761,10.1312
BSU00250,12.1286,12.3048,11.738,11.8741,11.543,11.2278,12.1742,11.9124,11.761,10.9341,10.9096,11.7706,12.8718,12.4433,12.0713,10.9713,10.8812,10.8313
BSU00260,12.1038,12.0978,11.7441,11.7422,11.488,11.0616,12.044,11.6587,11.629,10.6884,10.3681,11.7011,12.3259,11.9295,11.7084,10.4518,10.326,9.9571
new_37639_37719,12.2852,11.6554,11.7991,11.6223,11.4101,10.8952,12.3652,11.7014,11.6527,10.6623,10.3516,11.2302,12.1137,11.7102,11.5258,9.9229,9.9146,9.6323
BSU00270,12.4828,12.0069,11.7919,11.2369,10.9636,10.5211,12.4529,11.9535,11.9214,11.6814,11.1009,11.1995,11.7859,11.3924,11.1937,9.2722,9.5285,9.3317
BSU00280,12.6527,11.9974,11.8278,11.2424,10.9918,10.6093,12.5242,12.0776,12.2667,11.5982,10.9492,11.1581,11.7879,11.4276,11.2607,9.0749,9.6713,9.2814
BSU00290,13.3712,13.2279,13.1544,12.625,12.2263,11.6057,12.968,13.1004,13.0787,12.8813,12.2152,13.1877,13.3087,12.9815,12.6843,11.4676,12.1616,11.7148
BSU00300,13.9657,13.8472,13.9181,13.4954,13.0148,12.6827,13.7731,13.7656,13.8208,13.4962,12.8792,13.3636,14.1033,13.6002,13.4063,12.2251,12.6957,12.5608
BSU00310,13.7216,13.6048,13.1983,13.0128,12.3683,11.9166,13.6307,13.1155,13.4433,13.0623,12.4498,12.8239,13.5964,13.1263,12.9034,11.2157,11.7292,11.399
BSU00320,13.8523,13.9226,13.6264,13.0801,12.614,12.0419,13.9295,13.5702,13.6455,13.8261,13.1717,12.8631,13.6741,13.295,13.0195,11.3668,11.5456,11.2289
BSU00330,13.4756,13.5201,13.4585,12.9884,12.5177,11.7771,13.687,13.1723,13.3056,13.9571,13.1818,13.4256,13.3757,13.1254,12.6289,11.1184,11.4674,11.2698
BSU00340,12.491,11.9786,11.8541,10.7424,10.3826,9.5118,12.7136,12.2991,12.0412,11.9633,10.754,10.5401,11.7456,11.307,11.18,8.8609,8.8621,8.6599
BSU00350,12.8424,12.1963,12.0208,10.5863,10.2466,9.5744,12.8218,12.5508,12.4823,12.1902,11.068,10.74,12.1991,11.9153,11.7378,9.2397,9.1871,8.9647
BSU00360,12.3893,11.9382,11.7658,10.2902,10.111,9.5965,12.6148,12.3761,12.3585,11.9172,10.8464,10.6466,11.8931,11.4412,11.339,8.9501,8.8971,8.5854
BSU00370,14.4855,14.1513,14.0171,11.5003,11.6185,11.4245,14.4619,14.4877,14.8004,10.113,10.0522,10.9781,14.0656,13.7589,13.2476,9.559,11.3872,10.9869
new_45224_45399_c,8.4947,8.4673,8.493,7.6417,7.8377,7.6663,8.3916,8.798,8.2184,7.5568,7.4397,7.9491,9.7699,9.7102,8.9801,8.247,8.1753,7.9075
new_45524_45632,14.0751,14.058,13.8999,11.9169,10.8633,10.5138,13.7171,14.2346,13.9609,11.7169,11.6288,12.7833,13.6945,13.306,13.208,10.8779,10.2623,10.1486
