LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
BSU04630,11.1517,11.1945,10.8208,10.1711,9.8569,9.6004,11.0641,10.971,11.3041,10.9593,10.5679,10.4642,11.4111,11.0353,10.9137,14.2386,12.1378,11.9246
BSU04640,12.9934,12.7935,12.4782,10.7681,10.3542,10.115,13.0037,12.9335,12.7476,11.7179,11.0426,11.4582,12.3388,11.8336,11.6874,9.9883,9.1899,9.0841
BSU04650,15.2442,15.1253,14.511,13.8033,13.1989,12.9698,15.0113,15.0346,14.7154,14.7412,14.5555,14.1468,15.3191,14.7931,14.5008,13.2644,12.9203,12.8353
BSU04660,15.3514,15.1728,14.6834,13.8946,13.3723,13.2109,14.9656,15.1121,15.0213,14.7027,14.521,14.0041,15.2327,14.7671,14.474,13.2706,12.8846,12.8176
new_519083_519559_c,8.7128,9.8153,9.3133,11.4521,10.9236,10.6984,8.1185,8.9666,8.6986,11.2056,11.0169,10.6229,10.2493,9.9617,9.8872,8.6522,9.5045,9.1889
BSU04670,13.1943,13.1687,12.6346,11.4374,10.8962,10.6498,12.9819,12.961,12.7755,11.9886,11.9032,11.2276,13.1921,12.8888,12.5168,9.9519,10.0306,9.7302
new_519561_520160_c,7.0108,7.0407,7.3241,7.417,7.5946,7.7126,6.9966,7.1295,7.1101,7.277,7.1418,7.661,7.877,7.6717,6.9696,8.366,9.405,9.0444
new_520162_520750_c,7.9705,8.4362,8.3102,8.7502,8.746,8.3247,8.4463,8.0284,8.1168,7.5539,7.2604,7.8107,7.4661,7.4469,6.9722,7.7768,7.8744,7.5513
BSU04680,13.3618,13.1316,13.1018,12.0425,11.9588,11.7487,12.9672,12.9165,13.0894,12.0804,12.1145,11.5155,13.2028,12.8258,12.561,9.964,10.035,9.7153
BSU04690,13.4311,13.3607,13.0842,12.2493,11.9966,11.8429,13.0648,13.1289,13.1946,12.1974,12.4002,11.3956,13.6092,12.9863,12.8728,10.0106,10.0448,9.7977
BSU04700,12.9843,12.6926,12.4075,11.6542,11.392,11.2359,12.7327,12.4622,12.4986,11.4974,11.4183,11.0297,12.8159,12.4659,12.1501,9.1997,9.1029,8.8364
BSU04710,13.0231,12.907,12.882,12.3576,12.4162,12.2995,12.7684,12.5,12.7463,11.8541,11.7786,11.5114,14.4046,13.9984,12.4478,12.8349,14.6347,14.6547
BSU04720,13.0469,12.9008,12.7797,12.4968,12.5902,12.3582,12.7031,12.5208,12.7155,12.0099,11.7102,11.5646,14.4853,14.0867,12.5249,12.6937,14.5162,14.5209
BSU04730,12.4106,12.364,12.2772,12.0424,12.1336,11.874,12.325,11.8148,12.2271,10.8179,10.6935,11.0758,14.1592,13.8235,12.1887,11.6147,13.2315,13.3761
BSU04740,12.4328,12.4885,12.4035,12.4835,12.4578,12.2208,12.352,11.9032,12.3119,10.7108,10.4913,11.192,14.3576,14.0004,12.3227,11.3166,12.5289,12.7842
BSU04750,9.2393,8.7659,8.7154,7.6289,7.8095,7.7645,9.1138,9.5031,9.3394,8.8465,8.7869,8.4281,9.5083,9.1787,8.8062,8.3157,8.2816,7.9864
BSU04760,10.7794,10.9481,10.2036,10.3186,9.6292,9.3482,10.6567,11.1171,10.4802,10.0317,9.6121,10.3132,11.0697,10.7615,10.6695,9.5583,9.6819,9.4519
new_525021_528076_c,6.9749,6.8677,7.1978,7.2452,7.4428,7.4021,6.9898,7.0394,7.0392,7.1375,7.082,7.558,7.2674,7.2294,6.8545,8.0192,7.8126,7.5456
BSU04770,10.2856,10.4952,9.4572,9.8112,9.2903,9.1518,10.5031,10.4824,10.0435,9.9212,9.3925,10.2295,10.6992,10.1955,10.275,9.0444,9.2469,8.8809
BSU04780,11.6156,11.5922,11.2461,10.5773,10.2015,10.1839,10.9087,11.5141,11.3566,9.241,9.4274,10.756,11.2764,10.9185,10.7872,8.942,8.765,8.4953
new_527912_528128,11.0541,11.1643,10.505,10.2445,10.1029,9.7232,10.5899,11.0594,10.5332,11.2946,11.2333,10.6013,11.0023,10.848,10.4837,9.7117,9.8988,9.5345
BSU04790,10.5739,10.7002,10.073,9.9177,9.7226,9.6078,10.4783,10.5514,9.9038,11.1586,11.0685,10.7162,10.8166,10.5767,10.2894,9.585,9.8102,9.4802
new_528616_528703,14.8605,15.2814,14.0476,10.4912,10.5606,9.6309,14.2536,13.065,12.9772,15.8294,15.949,14.0404,15.2784,14.828,15.0709,12.1082,12.5358,11.9108
BSU_tRNA_51,13.5138,13.5832,12.72,10.6993,10.2525,11.2753,14.0292,12.4836,13.4507,12.585,12.8199,12.1273,14.5626,13.6293,13.2363,10.7849,10.5972,11.1001
new_529454_530352,9.6942,9.4668,9.2379,8.2139,8.3951,7.9024,9.3223,7.5751,8.6287,8.2855,8.2664,8.0395,8.1026,8.0626,7.9032,8.0071,8.113,7.8486
BSU04800,9.504,10.6611,10.1448,11.1805,11.1829,10.6274,9.1704,10.3902,9.3465,7.4477,7.3938,8.4687,12.5183,12.1165,12.184,10.4642,9.9241,9.6884
BSU04810,9.7136,10.9555,10.6226,11.241,10.8506,10.1723,10.0534,10.789,9.7382,7.5319,7.4628,8.9848,12.9238,12.6569,12.5137,10.7836,10.5611,10.2671
BSU04820,12.1833,12.7135,12.2558,11.3573,10.9827,10.1528,11.9899,12.9191,12.2381,10.2943,9.5696,12.0376,13.2503,12.9167,12.8029,11.0405,10.8663,10.4385
BSU04830,8.8126,8.8691,8.9976,8.5013,8.6754,8.443,8.7895,9.5217,9.2261,9.6207,9.2129,11.66,10.3804,10.2155,11.8365,8.2505,9.3194,8.9251
BSU04839,8.5935,8.6272,8.6288,8.074,8.2659,8.272,8.6714,8.964,8.9554,9.092,8.8686,11.1883,9.8065,9.6437,11.153,8.1504,8.9379,8.4243
BSU04840,7.9186,7.9832,8.143,7.8953,8.0901,8.0359,7.8441,8.3002,8.2264,8.4481,8.3599,10.8417,9.3367,9.014,10.5794,8.1085,8.7104,8.3555
new_532412_532652_c,8.5614,9.881,8.918,10.8266,11.3643,10.3074,8.3086,8.3673,8.6459,8.116,7.9317,8.4533,10.456,10.2835,9.8675,9.5234,9.6816,9.4254
new_532604_532921,8.1572,8.2326,8.0582,7.645,7.7625,7.7668,7.9654,8.2282,8.1817,8.8688,8.5977,10.7853,10.3713,10.0898,11.739,8.1365,9.1504,8.762
BSU04850,8.1533,8.1485,8.0206,7.6488,7.7888,7.7164,8.0693,8.1948,8.2811,8.3093,7.9523,9.5164,9.2238,8.9781,10.3503,8.0509,8.5587,8.1746
BSU04860,7.0866,6.8616,7.1335,7.1208,7.4072,7.5393,7.0545,6.9736,7.1706,7.3047,7.245,7.9595,8.781,8.5103,10.1029,8.0072,8.3761,7.8845
BSU04870,7.0283,6.8269,7.124,7.0585,7.4112,7.545,6.9094,7.0125,7.1515,7.2749,7.2628,7.9166,8.3648,8.2596,9.5527,7.9218,8.1869,7.9034
new_535832_536095,6.9895,6.875,7.1383,7.0894,7.3082,7.4102,7.0397,7.0242,7.1518,7.1849,7.265,7.7831,8.3145,8.1179,9.1388,7.8881,8.0801,7.79
BSU04880,7.2048,6.9139,7.2031,7.1588,7.3809,7.5275,7.146,7.154,7.2835,7.4,7.2959,7.826,8.6928,8.53,9.9475,7.9145,8.2514,7.9054
BSU04890,7.3995,7.2078,7.4158,7.3599,7.4916,7.5819,7.3876,7.509,7.511,7.7676,7.569,8.1451,8.9989,8.798,10.1912,7.963,8.3466,7.9682
BSU04900,7.455,7.1213,7.3592,7.3894,7.5388,7.5799,7.3784,7.4325,7.5057,7.7731,7.5808,8.1225,8.6409,8.5245,9.7747,7.9706,8.2474,7.9342
BSU04910,7.1347,6.9235,7.3304,7.1674,7.4619,7.5771,6.971,7.0494,7.2172,7.388,7.4536,7.8736,8.8868,8.6409,10.0906,8.0208,8.2428,7.9578
BSU04920,6.983,6.8724,7.1092,7.1605,7.4135,7.5207,6.9701,6.9456,7.1561,7.1958,7.2112,7.702,8.3179,8.4015,9.4411,7.85,8.1453,7.8491
BSU04930,7.0838,6.974,7.1514,7.1622,7.4422,7.6247,7.0441,7.1377,7.2281,7.3872,7.3006,7.8067,8.2352,8.2972,9.3742,7.9603,8.1721,7.8149
BSU04940,6.964,6.7596,7.0702,7.0552,7.3722,7.478,6.9042,6.9586,7.0558,7.1515,7.2429,7.7121,7.7948,7.6805,8.4564,7.8277,7.9833,7.7026
BSU04950,6.9712,6.7947,7.1212,7.1445,7.359,7.4916,6.9496,6.958,7.057,7.2326,7.2459,7.7302,7.5949,7.6442,8.2195,7.8343,7.9823,7.6715
BSU04960,7.111,6.9553,7.1393,7.1077,7.3983,7.4718,6.9876,7.0066,7.1355,7.1988,7.3691,7.8054,7.784,7.6583,8.1753,7.8866,7.9648,7.699
BSU04970,6.9463,6.7728,7.1166,7.0659,7.3109,7.3898,6.868,6.9648,7.0773,7.2441,7.1741,7.6844,7.4506,7.4389,7.792,7.825,7.8968,7.6458
BSU04980,6.9603,6.8646,7.2244,7.1787,7.3899,7.5438,6.8961,7.0479,7.1427,7.2698,7.3393,7.7771,7.6163,7.5679,8.038,8.1302,8.0807,7.877
BSU04990,10.315,10.9621,10.5463,12.2522,11.2008,10.6355,10.2981,10.9638,10.7095,12.4584,11.7987,12.0142,13.2165,12.83,12.6006,12.6372,12.7308,12.6192
new_546051_546165_c,13.0184,13.2572,13.1031,12.2208,12.1308,11.6573,12.3043,12.4221,12.7204,11.743,11.0408,11.1998,12.7017,12.2917,12.1487,10.7895,11.1901,10.7825
BSU05000,13.189,13.3097,13.134,11.894,11.7104,11.2015,12.6864,12.9234,12.9799,11.7654,11.0989,11.2737,12.8536,12.4325,12.4005,10.8384,11.2404,10.9154
BSU05010,8.4829,8.8321,8.6027,9.4379,9.1255,8.8807,8.3321,8.4952,8.4892,7.6091,7.6613,8.1444,10.5805,10.2402,9.9636,9.4316,9.5422,9.1022
BSU05020,11.8182,12.3298,12.105,13.2044,13.5305,13.1171,11.0755,11.697,11.3474,12.8031,12.132,12.4994,13.5478,13.2507,12.9671,12.5595,11.5866,11.1142
BSU05030,10.4337,10.6726,10.5427,10.3483,10.0497,9.7289,10.0717,9.8504,10.4472,9.8651,9.2522,9.3467,11.8064,11.5102,11.3567,9.6569,9.675,9.3377
new_549652_549910,10.4032,10.4795,10.4578,10.1752,9.9809,9.7589,10.1905,9.8936,10.2885,9.4733,8.907,8.849,11.7266,11.2204,11.1691,9.4494,9.4688,9.1948
new_549923_550239_c,9.7739,9.8923,9.2534,8.8765,8.7721,8.4708,9.2214,9.8365,9.7079,8.2434,7.8681,8.8528,9.7669,9.4131,9.2806,8.5738,8.4687,8.2012
BSU05040,9.4588,9.2436,8.8487,8.4608,8.3264,8.2849,9.1572,9.4,9.3602,8.2766,7.9117,8.4854,9.5402,9.2521,9.0677,8.2819,8.301,8.0695
new_551074_551518,11.9502,12.2183,11.8003,10.2526,9.6407,8.7245,11.5485,12.0603,11.9922,9.527,8.9851,10.7607,11.933,11.6773,11.782,9.5642,9.2855,9.0807
BSU05050,11.8927,11.8856,11.4689,10.4592,9.7075,9.4395,11.5451,11.6298,11.8447,9.301,8.8241,10.5757,11.7222,11.3305,11.2403,9.2675,9.0722,8.659
new_551930_551999,12.047,11.8682,11.4876,10.5574,9.7953,9.4909,8.5812,11.6144,11.8542,8.9061,8.6061,10.5296,11.791,11.1841,11.2394,9.1171,8.8428,8.3898
BSU05060,9.3499,8.8744,8.6252,8.4178,8.4107,8.2922,9.1657,9.6069,9.4626,8.7005,8.6463,8.3675,8.9741,8.7491,8.5448,8.4652,9.0177,8.6841
BSU05070,10.2754,10.1189,10.026,8.1508,8.0075,7.7925,10.2012,10.2794,10.3051,7.8818,7.5325,8.1538,9.3662,9.3254,9.0468,8.2276,8.162,7.8572
BSU05080,9.9551,9.8409,9.6716,8.7595,8.5452,8.3754,9.0589,9.7152,10.1027,9.5831,8.4599,8.8765,9.2413,8.9639,8.5984,8.1013,8.0659,7.8468
BSU05090,8.5405,8.7303,8.4053,8.4097,8.2803,8.2597,8.2702,8.3226,8.4177,7.8536,7.7467,8.165,9.0666,8.8037,8.6601,8.0487,8.1606,7.9213
new_556002_556561,8.2849,8.5991,8.4754,8.6644,8.6004,8.5761,8.0989,8.3727,8.0625,7.7561,7.7289,8.1204,9.5646,9.1433,9.0555,8.106,8.2318,8.0381
BSU05109,12.2558,11.6268,11.1699,10.0294,9.2181,8.7118,12.5596,12.7567,12.623,10.4028,9.2853,9.7347,12.2112,11.9201,11.989,10.9208,10.9868,10.6044
BSU05110,10.1908,10.0198,9.7988,10.4555,10.0799,9.7503,10.1364,10.4253,10.1151,8.7103,8.5355,8.9588,10.7407,10.4304,10.1851,10.0699,9.8578,9.6318
new_559146_559263,15.6568,15.1102,15.0482,14.5459,14.3246,13.7198,13.205,15.4695,15.34,14.307,13.4541,12.9185,15.0063,14.3791,14.6509,14.7364,14.3027,14.1977
BSU05120,15.2166,14.495,14.8438,14.2213,14.0481,13.3264,12.7151,15.0153,14.9331,14.2573,13.3421,13.4176,14.7715,14.324,14.4704,14.3744,14.07,13.4427
new_559362_560150_c,9.7098,10.1186,9.9637,11.4611,11.5029,11.1589,8.9336,8.7639,9.4248,8.8051,9.0501,9.0585,9.615,9.2063,9.2455,11.1591,12.1312,11.8189
BSU05130,11.0089,11.0435,11.1828,11.7183,11.845,11.4474,11.0881,10.9815,10.3381,10.7335,10.4596,11.1053,11.1896,10.8555,10.8308,11.9698,12.8006,12.5434
new_560621_561166,8.806,8.5117,8.5981,8.3372,8.2282,8.1497,8.7564,9.1142,9.0094,8.3936,7.896,8.2474,8.9489,8.6952,8.4454,8.5704,8.3652,8.0679
BSU05140,8.4774,8.6425,8.3959,8.5299,8.3668,8.4435,8.6829,7.8455,8.4236,8.2964,8.192,8.5759,8.3531,8.2635,8.1796,8.164,8.2111,7.9865
BSU05150,9.3509,9.3705,9.1432,9.212,9.2589,9.0688,9.0332,8.9081,9.1686,9.1398,9.1143,9.2695,9.3436,9.1549,9.0133,8.6147,8.7934,8.4866
BSU05160,8.6199,8.8274,8.4322,7.7834,7.8036,7.8545,8.5638,8.3052,8.4847,7.6098,7.5931,7.9812,7.9787,7.7741,7.6847,7.953,8.0261,7.7113
BSU05170,9.3744,9.3871,9.1249,8.6547,8.6676,8.4591,8.8003,9.0029,9.175,8.8824,8.5468,8.862,9.4565,9.3296,9.2434,8.6313,8.5162,8.2477
BSU05180,9.4431,9.4249,8.929,8.2215,8.1695,8.0528,9.0478,9.9377,9.1174,8.0388,7.7914,8.4864,9.4247,9.1663,9.0166,8.2874,8.204,7.9798
BSU05190,8.434,8.2796,8.0727,8.1894,8.2474,8.3937,8.4646,8.5391,8.5433,7.7937,7.8843,7.9583,8.0628,7.9191,7.6811,7.8308,7.8817,7.6462
new_567551_567661,9.8777,9.9689,9.5552,10.5341,10.5956,10.1111,9.8554,10.0027,9.5513,9.5267,9.0602,9.5525,11.4206,11.2835,11.117,11.7403,11.4252,11.2319
BSU05200,10.9357,10.8376,10.2932,11.0488,10.7776,10.2324,11.2023,11.085,10.7742,9.9231,9.2622,9.6149,11.856,11.4801,11.384,11.8735,11.4156,11.2062
BSU05210,9.9486,10.1508,9.6346,9.0863,8.5603,8.1922,9.2088,10.2979,9.7826,8.4101,8.0911,9.2918,9.9125,9.6571,9.4391,8.8761,8.847,8.6323
BSU05220,9.841,10.0387,9.7001,10.5568,10.3881,10.1869,9.8122,9.8778,9.6867,10.1628,9.968,10.4637,10.5475,10.2567,10.002,9.9751,10.206,9.9703
BSU05230,7.233,7.388,7.3405,7.4195,7.4731,7.6176,7.3283,7.4224,7.2968,7.1746,7.1107,7.646,7.5891,7.4156,7.2925,7.7855,7.8197,7.6429
BSU05240,8.8928,8.9923,8.7657,8.9533,8.7291,8.588,8.5624,8.7266,8.6418,8.9975,8.6748,9.1807,9.2486,9.016,8.835,8.2589,8.351,8.0902
BSU05250,10.9053,10.9278,10.4916,9.9357,9.7299,9.4607,10.7819,11.064,10.7444,9.7986,9.538,10.1163,11.4889,11.2417,10.9409,9.3403,9.2678,9.0321
new_573400_574654,10.5697,10.4019,10.1012,9.4424,9.3686,9.0083,10.1686,10.3231,10.2678,9.3107,9.0356,9.0916,10.9046,10.604,10.3244,8.4659,8.2494,8.0603
BSU05260,10.282,10.3581,9.7879,9.9238,9.7553,9.3572,9.4583,10.5431,10.1358,8.6662,8.3723,9.2162,10.9956,10.7978,10.6087,9.0859,9.0688,8.9156
new_574025_574105_c,9.8917,10.0356,9.6753,9.8549,9.698,9.3354,9.1711,9.851,9.9259,8.6553,8.3601,9.27,10.6295,10.1439,9.9885,9.0609,8.9631,8.888
BSU05270,9.6535,9.6831,9.4785,9.4784,9.4288,9.259,9.1978,9.8373,9.7335,8.69,8.3177,9.2844,10.3932,10.0318,9.7871,9.0398,8.9598,8.8448
BSU05280,12.3301,12.1746,11.9397,10.5858,10.0369,9.6323,11.679,12.3225,11.7846,9.5533,9.3288,9.8933,12.419,12.1295,11.8501,9.0308,9.2798,9.0601
BSU05290,10.2734,9.668,9.3377,8.3327,7.8699,7.803,10.1578,10.4044,10.2943,9.4017,8.9807,9.1152,10.6465,10.2629,10.1733,9.1663,9.112,8.8843
new_576099_576163_c,10.3568,9.8347,9.6163,8.306,7.8647,7.7369,10.1515,10.7448,10.4556,9.5475,8.9609,9.0135,10.9302,10.3535,10.3964,9.3145,9.1709,8.9071
BSU05300,8.183,7.9103,7.8152,7.5206,7.6441,7.7394,8.1909,8.272,8.4314,8.0119,7.8036,8.0525,8.8345,8.5692,8.1577,8.259,8.2896,8.0562
BSU05310,7.4751,7.1547,7.2428,7.026,7.2513,7.3751,7.6516,7.7159,7.7388,7.0961,7.1521,7.5645,7.4097,7.3809,7.2122,7.7103,7.779,7.5326
BSU05320,11.5877,11.391,11.0979,9.7721,9.1334,8.8937,11.8418,11.8574,11.6585,8.6663,8.8594,9.5929,11.4406,11.2252,10.8798,8.9011,8.7217,8.4112
BSU05329,10.1552,10.3774,9.957,8.6647,8.4697,8.4532,9.9658,10.5927,10.4481,7.442,7.5864,8.8021,9.9492,9.7122,9.4438,8.3734,8.2158,7.956
new_579354_579540,10.8058,9.3212,9.1557,8.3853,8.2073,8.0759,10.3928,11.4217,10.8931,11.1105,11.0723,9.9412,9.5768,9.1939,9.0284,8.3693,8.2683,8.0482
BSU05330,10.7597,9.5301,9.1696,8.4138,8.2229,8.1931,10.3911,11.371,10.9127,11.0536,10.8952,9.8419,9.6056,9.3435,9.1281,8.3262,8.2799,8.0697
BSU05340,10.7513,9.733,9.4857,8.4449,8.405,8.373,10.8693,11.009,10.8708,10.6941,10.3869,9.754,9.5639,9.2359,9.0277,8.2764,8.2531,7.9565
BSU05343,10.2213,9.4525,9.1541,8.1689,8.1087,8.2128,10.1982,10.5165,10.5156,10.4098,10.1171,9.4928,9.2565,8.9911,8.7809,8.0155,8.0714,7.8503
BSU05344,10.1246,9.3794,9.1886,8.166,8.1147,8.2078,10.1187,10.4864,10.4823,10.4,10.0651,9.4607,9.2402,8.852,8.7726,7.9822,8.0691,7.8458
BSU05350,8.8682,9.0313,8.8543,9.5192,9.3859,8.8715,8.3839,8.838,8.9897,8.6724,8.6324,8.2276,8.9079,8.7723,8.4179,8.9517,8.8401,8.5023
BSU05360,6.9354,6.7779,7.0604,6.921,7.2333,7.3607,6.9734,6.962,7.049,7.0393,7.0548,7.5627,7.0369,7.0895,6.9714,7.6815,7.7704,7.5345
BSU05370,8.6532,8.5641,8.4402,7.756,7.8723,7.8658,8.4595,8.1057,8.7279,7.5378,7.5544,8.0901,8.7293,8.5866,8.3658,7.9822,8.0445,7.7223
BSU05380,9.2772,9.5743,9.6228,9.0957,9.1228,8.8632,9.106,9.5448,9.203,9.6072,9.5567,10.0365,8.6508,8.5654,8.4064,8.196,8.3266,8.0495
BSU05390,11.28,11.1777,10.6629,10.0364,9.7741,9.4413,11.3003,11.1697,10.9228,9.8115,9.3328,9.8456,11.2959,10.8301,10.6787,9.3019,9.1707,8.9547
BSU05400,10.5704,10.8372,10.6086,10.1909,10.2143,9.9226,9.8644,10.4648,10.2581,10.3221,9.6436,10.1965,10.197,10.0225,9.6808,9.0691,8.9706,8.804
BSU05408,7.7429,7.4517,7.4312,7.2951,7.5423,7.6766,7.5257,7.8185,7.6042,7.6558,7.4907,7.9528,7.6033,7.468,7.4378,7.9251,8.0143,7.7913
BSU05409,7.7735,7.5926,7.5318,7.4334,7.6137,7.6829,7.55,7.9475,7.6505,7.724,7.5452,8.0312,7.9361,7.8723,7.5472,7.9813,8.0832,7.8085
BSU05410,9.3893,9.2372,8.8788,8.0342,8.0652,8.0013,9.3984,8.7106,9.1092,7.6256,7.7077,8.2831,9.7983,9.4829,9.3417,8.029,8.0065,7.771
BSU05420,9.7026,9.5438,9.2379,8.5269,8.5422,8.3803,9.6315,9.0543,9.4075,7.6668,7.8618,8.3744,10.2107,10.0483,9.5512,8.2829,8.2623,7.97
BSU05430,7.5498,7.317,7.4563,7.2364,7.4669,7.5422,7.3867,7.3798,7.5777,7.6383,7.4895,7.9272,7.4084,7.3734,7.1898,8.2574,7.9782,7.7564
new_591895_592302_c,9.5736,9.7873,9.4369,7.373,7.6983,7.7196,9.8447,9.3323,9.9219,7.9907,7.8785,8.1005,9.9315,9.6816,9.4761,8.0238,8.0039,7.8585
BSU05440,11.3491,11.8762,11.5143,9.0821,8.9342,8.9103,11.613,11.382,11.7946,9.6773,9.4444,9.7414,12.0617,11.5664,11.51,8.9236,9.2585,8.9365
new_593206_593301_c,11.584,12.0504,11.6227,9.0891,8.9281,8.7974,11.744,11.7422,12.2213,9.6613,9.3058,9.4933,12.1267,11.8406,11.6597,8.9566,9.2881,8.9485
BSU05450,8.1713,8.0082,7.9815,7.8391,7.8897,7.8153,8.1707,8.1374,8.1919,8.8223,8.3124,8.5929,7.8501,7.7619,7.4966,8.1195,8.1708,7.9191
BSU05460,9.3826,9.4015,8.7902,9.0161,8.5587,8.3705,8.8637,9.2708,9.1544,7.7839,7.8336,8.3317,9.8719,9.6205,9.3318,8.7865,8.7648,8.5247
BSU05470,9.0016,8.0289,7.9378,7.529,7.5223,7.6799,8.686,9.1542,8.8265,8.5672,8.6477,8.0636,10.0395,9.6456,9.536,8.7709,8.6735,8.2446
new_596003_596095_c,9.7384,8.485,8.2759,7.2464,7.5967,7.6486,8.8962,9.6396,9.3772,9.409,9.1734,8.3863,11.0818,10.732,10.6074,9.655,8.8644,8.9871
BSU05480,7.6314,7.3451,7.4576,7.3622,7.555,7.5565,7.3519,7.4044,7.5924,7.4153,7.3268,7.8088,9.4776,9.1936,9.4891,8.3155,8.449,8.1639
BSU05490,7.6182,7.4891,7.5679,7.3673,7.6403,7.6486,7.4106,7.4245,7.6265,7.5261,7.3373,7.8262,9.2487,9.0107,9.2647,8.292,8.4555,8.2011
new_598065_598153,8.0754,7.8158,8.036,7.6687,8.1103,7.8134,7.9802,7.9209,8.1689,7.9777,7.5976,8.0398,9.9459,9.6221,9.9674,8.7691,8.8411,8.4754
BSU05500,8.5335,8.4594,8.39,8.1602,8.181,8.0148,8.2088,8.7455,8.6262,8.8971,9.1292,8.4839,8.9296,8.8025,8.7287,8.3236,8.678,8.2833
new_598659_598728,8.2272,8.137,7.8778,8.0871,7.8532,7.7557,7.608,7.6449,7.9071,7.7178,7.4631,8.1483,7.7762,7.6282,7.5673,8.0159,7.9924,7.8579
BSU05510,8.2318,8.1911,7.8549,8.1759,7.8741,7.82,7.9948,7.6481,7.9631,7.6235,7.4221,8.1016,7.8685,7.8003,7.6182,7.8636,7.9841,7.6552
BSU05520,7.6287,7.708,7.7707,7.5892,7.6857,7.6287,7.5164,7.7166,7.7101,7.8768,7.6321,8.1455,7.6137,7.6881,7.3548,8.1305,8.2661,8.045
new_599344_599505_c,7.0442,6.8361,7.1745,7.157,7.4258,7.5517,6.8865,7.0135,7.0814,7.3834,7.4356,7.8621,7.3492,7.4164,7.082,8.1936,8.0067,7.8756
new_599509_599874_c,6.8496,6.9863,7.0155,7.1841,7.4707,7.4732,6.845,6.9658,7.0014,7.3241,7.3458,7.7414,7.4997,7.464,6.9674,8.2569,7.9802,7.6849
BSU05529,6.9001,6.9664,7.0422,7.1704,7.4096,7.4821,6.8688,6.9806,7.0938,7.3193,7.3281,7.7714,7.6139,7.5219,6.9624,8.2495,8.0038,7.689
new_600145_600228_c,7.0991,6.9713,7.1504,7.1763,7.4053,7.4914,6.9721,7.0394,7.154,7.4423,7.4057,7.8377,7.3273,7.4144,7.0698,8.2347,7.9744,7.6866
BSU05530,7.0553,6.8525,7.1262,7.0944,7.3943,7.3859,6.9731,6.9962,7.1055,7.2612,7.2461,7.7507,7.4661,7.4767,7.0227,8.2353,7.9579,7.6659
new_600907_601740_c,6.8921,6.8714,7.0616,7.0631,7.3047,7.3727,6.8781,6.9587,6.9941,7.1382,7.1457,7.6536,8.1098,7.9109,6.8882,7.9633,7.8781,7.6388
BSU05540,7.8289,7.7381,7.7356,7.6043,7.7895,7.7694,7.5637,7.9196,7.7451,8.4317,8.1435,8.2174,7.9379,7.952,7.7123,8.1856,7.9904,7.7544
BSU05550,7.0076,6.8762,7.138,7.0763,7.4018,7.5117,6.9756,7.1352,7.0983,7.2647,7.2703,7.739,8.7305,8.5304,7.0119,8.09,7.9683,7.6742
BSU05560,6.9655,6.7616,7.1201,7.0501,7.3258,7.4344,6.8731,7.0366,7.046,7.1293,7.1522,7.721,8.7812,8.674,6.8879,8.0214,7.9473,7.6405
BSU05570,6.9717,6.7307,7.1145,7.0554,7.3075,7.3831,6.8816,6.9723,6.9811,7.1646,7.2523,7.7367,8.8545,8.8359,6.8772,8.1097,7.9657,7.6548
BSU05580,12.7649,12.5963,12.2852,12.0727,11.761,11.5955,12.4272,12.6789,12.5614,12.2893,12.3686,11.9708,12.5427,12.1722,11.8851,10.2537,10.0732,9.8989
BSU05590,12.2174,12.0483,11.5455,11.7279,11.4387,11.2171,11.8209,12.1326,11.7637,11.3886,11.4098,11.1526,11.9426,11.4725,11.2407,9.8214,9.5847,9.3772
new_603941_604102,12.2076,12.1159,11.6553,11.8091,11.6269,11.2139,11.8406,12.1782,11.8738,11.5087,11.423,11.1233,12.0916,11.721,11.3862,9.8812,9.6097,9.3861
BSU05600,11.232,11.3933,10.4536,11.256,10.8697,10.4611,11.1728,11.1991,10.9209,10.0195,9.7905,9.7792,11.7922,11.1803,10.8062,9.6539,9.3486,9.2291
new_604577_605269,8.6998,8.4234,8.196,8.526,8.5452,8.2412,8.8106,8.4968,8.4156,7.811,7.6822,8.0172,9.2267,8.8867,8.7009,8.2661,8.1592,7.9425
BSU05610,9.0914,9.0813,8.9465,9.0156,8.854,8.7834,8.7983,8.6691,8.5769,8.0114,7.7551,8.3052,9.0228,8.6984,8.6056,8.4643,8.3458,8.0921
new_606414_606611_c,12.983,12.8797,12.2233,13.1015,13.348,12.7733,12.6402,12.9998,12.0786,10.2923,9.316,10.8546,13.6716,13.1577,13.2821,13.2906,12.522,12.3127
BSU05620,12.4897,12.6886,12.181,10.5091,10.0263,9.814,12.5613,12.4374,12.3314,10.3485,9.6325,10.8612,11.5659,11.1732,11.099,9.287,9.0928,8.9207
BSU05630,10.6535,11.2611,10.7896,9.6954,9.6935,9.6918,10.4048,10.7718,10.6455,11.4193,11.2088,10.6956,10.9739,10.6663,10.7444,9.4379,9.4479,9.3025
BSU05640,10.0481,9.2521,8.8595,7.4828,7.5633,7.5954,9.8897,9.6083,9.8186,7.3702,7.441,8.0537,9.6733,9.3707,9.2784,8.2792,8.0675,7.7467
