LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,BI_1,BI_2,BC_2,BC_t1,BC_t2,BC_1,Sw_1,Sw_2
BSU00220,12.6192,12.5135,12.402,12.9146,11.4173,12.5881,11.576,12.2386,11.9725,11.5955,12.0294,11.3461,10.8068,11.4012
BSU00230,12.0044,11.9025,11.6707,12.408,10.2124,11.5929,10.713,10.5742,10.7676,10.4472,10.9519,10.2279,9.5154,10.1284
new_30076_30278,16.4151,16.3564,15.6851,15.685,15.8899,16.3652,13.0931,13.6768,11.6636,11.779,11.8772,11.8606,10.7952,11.9756
new_35104_35236,13.0549,13.059,12.1299,8.4766,13.1062,13.0397,10.7179,10.7045,8.1087,9.53,11.2504,8.1754,8.6814,8.5723
new_35356_35458,12.3976,12.052,11.4112,8.781,9.4089,11.7703,9.8464,9.084,7.9401,8.9499,10.5252,7.8091,7.5427,7.4946
BSU00240,12.1169,11.8474,11.1761,12.1572,9.3412,11.5976,9.7243,9.2048,10.5008,9.8307,10.9877,9.7585,9.0594,8.8575
BSU00250,12.1286,12.3048,11.738,12.1742,11.9124,11.761,12.2927,12.7765,12.5297,11.6123,12.2197,11.8561,11.7713,12.7056
BSU00260,12.1038,12.0978,11.7441,12.044,11.6587,11.629,12.1304,12.5828,12.1599,11.2605,11.8808,11.4372,12.011,12.5671
new_37639_37719,12.2852,11.6554,11.7991,12.3652,11.7014,11.6527,11.3757,12.1203,11.9567,11.0031,11.6782,11.1936,11.8476,12.4436
BSU00270,12.4828,12.0069,11.7919,12.4529,11.9535,11.9214,11.6184,11.751,11.8866,11.1861,11.7059,11.1509,11.9957,12.357
BSU00280,12.6527,11.9974,11.8278,12.5242,12.0776,12.2667,11.7313,12.0046,11.9971,11.1377,11.6959,11.2558,11.9427,12.5883
BSU00290,13.3712,13.2279,13.1544,12.968,13.1004,13.0787,12.6292,12.91,12.8683,12.2347,12.6377,12.4753,12.6639,13.3292
BSU00300,13.9657,13.8472,13.9181,13.7731,13.7656,13.8208,13.2799,13.5059,13.7309,13.1237,13.6799,13.1969,13.681,14.2136
BSU00310,13.7216,13.6048,13.1983,13.6307,13.1155,13.4433,13.1684,13.1618,13.1763,12.449,13.006,12.5104,12.9028,13.5739
BSU00320,13.8523,13.9226,13.6264,13.9295,13.5702,13.6455,14.2723,14.1453,15.0758,14.4016,14.9239,14.4651,15.1883,15.3847
BSU00330,13.4756,13.5201,13.4585,13.687,13.1723,13.3056,13.7888,13.7743,14.5597,14.3646,14.545,14.1845,15.1332,15.0905
BSU00340,12.491,11.9786,11.8541,12.7136,12.2991,12.0412,11.4572,11.36,12.4872,11.6654,12.1786,11.7244,12.03,12.6631
BSU00350,12.8424,12.1963,12.0208,12.8218,12.5508,12.4823,11.856,11.8411,12.8311,11.8419,12.3783,12.1088,12.4284,12.8342
BSU00360,12.3893,11.9382,11.7658,12.6148,12.3761,12.3585,11.6615,11.9262,12.4931,11.6572,12.0667,11.723,12.4153,12.7695
BSU00370,14.4855,14.1513,14.0171,14.4619,14.4877,14.8004,13.9855,14.2291,14.0215,13.5928,13.8926,13.344,15.07,14.7742
new_45224_45399_c,8.4947,8.4673,8.493,8.3916,8.798,8.2184,7.8688,7.904,7.8621,9.0602,10.7975,7.6097,7.4455,7.7912
new_45524_45632,14.0751,14.058,13.8999,13.7171,14.2346,13.9609,11.0877,12.5283,11.1222,9.8365,11.2119,9.9026,8.7406,9.6278
BSU00380,13.816,13.8333,13.7128,13.7431,13.6865,13.8064,12.8331,13.0569,11.9881,11.4339,11.7823,11.5301,11.6498,12.2206
new_47673_50019_c,10.4329,10.6477,10.736,9.8804,8.1004,8.854,9.0105,8.8072,8.361,9.7763,10.6378,8.3338,8.5105,8.3287
BSU00390,11.6509,11.6492,11.525,11.516,11.4273,11.4407,11.1104,11.2108,10.1077,9.5515,10.0816,9.6711,10.0663,10.5491
new_48474_48554,11.1,11.3425,11.4558,11.2625,10.9893,10.8044,11.2374,11.3641,10.2384,10.4592,10.5408,10.2524,11.0558,10.9488
BSU00400,12.4448,12.5121,11.7984,11.8303,13.0646,12.2984,12.6088,12.5489,13.9705,13.1516,13.5759,13.3325,11.93,12.7714
new_49987_50086,13.1922,12.3313,12.1724,9.7408,13.462,12.8575,11.0972,11.4534,11.5346,10.578,11.373,10.5476,9.5506,10.7195
BSU00410,12.3668,11.2905,11.0155,12.5925,12.6312,12.1356,11.0139,11.1272,11.0539,10.2554,10.8146,10.1857,10.2526,11.0226
BSU00420,11.9763,10.9383,10.6044,12.0603,12.1316,11.858,10.7558,10.8258,10.5932,10.456,10.6652,10.1863,10.6089,10.9735
new_51558_51679,8.3015,7.4463,7.546,8.6597,10.2176,8.4118,7.3194,7.2872,9.7477,7.7412,10.1905,7.481,6.6414,6.6632
BSU00430,7.974,7.1335,7.3577,8.1337,9.5498,8.097,7.15,7.1469,8.8842,7.5738,9.4145,7.3532,6.7067,6.7146
new_52649_52719,7.2908,7.1502,7.8201,7.6076,7.4001,7.2993,9.0193,9.4856,9.6316,9.1137,9.8163,8.5779,7.0906,6.6297
BSU00440,15.3576,15.1346,15.3695,14.8635,15.3935,15.1661,15.8211,15.6123,15.649,15.6914,16.1594,14.986,16.3791,16.1657
new_53111_53182,9.7369,9.5604,9.6002,10.4956,10.7583,9.3644,10.2703,10.0778,8.6986,8.4706,9.5592,8.2249,10.2978,9.9574
BSU00450,10.0816,9.666,9.7362,10.5306,10.9018,9.4381,10.7532,10.3921,9.1442,8.8237,9.5836,8.4059,10.6228,10.388
new_53363_55717_c,7.3153,7.2688,7.4773,7.4385,7.3925,7.3946,7.1432,7.3685,7.4083,9.285,10.0947,7.4027,8.2608,7.1897
BSU00460,13.0716,12.4367,12.0855,13.3207,12.9778,12.8555,12.3347,12.3817,12.4405,11.9779,12.311,11.8098,12.05,12.7194
BSU00470,13.5721,13.4764,12.8276,13.9622,13.3972,13.3305,13.017,13.29,12.9048,12.5481,12.7721,12.3185,13.093,13.529
BSU00480,14.2647,14.1637,14.2311,14.2728,14.2569,14.308,13.7683,14.2124,13.9237,13.9653,14.239,13.7086,14.2881,14.4746
new_55707_55815,9.4652,9.5134,9.1389,9.1337,10.8044,9.2549,9.9046,10.0901,9.899,9.675,10.4382,9.6173,10.5001,10.6711
BSU00490,13.6726,14.5267,14.3072,12.9592,13.2377,12.7063,16.1493,16.2618,16.3854,16.4586,16.4396,16.4494,16.4954,16.4758
new_56193_56304,8.3894,9.315,8.9338,8.0045,8.2142,8.1276,10.2918,10.6654,11.0037,10.5953,11.3616,10.7704,9.5881,9.993
BSU00500,15.435,14.9446,14.8062,15.4414,15.6863,15.4444,13.6389,13.6336,12.1842,11.8313,12.0658,11.848,11.2543,12.334
BSU00510,15.1898,14.8964,14.8082,15.398,15.311,15.3973,13.5909,13.8011,11.949,11.7364,11.8096,11.7591,11.8487,12.4342
BSU00520,15.0438,14.8697,14.6602,15.2363,15.0456,15.2029,14.3432,14.7966,16.296,15.2311,15.9048,15.112,16.4922,16.4766
BSU00530,12.8832,12.6621,12.3611,13.1275,12.7871,12.8823,11.8255,11.9547,12.0482,11.0351,11.7752,11.1038,12.6055,12.6127
BSU00540,12.9327,12.6372,12.4533,12.9896,12.678,13.055,11.7906,12.0434,12.075,11.4835,11.9306,11.2291,12.4894,12.5053
new_60361_60429,12.7472,12.5264,12.2486,12.9253,12.0852,12.8321,11.4989,11.6352,11.4735,10.3842,11.2836,10.9068,11.4158,11.7871
BSU00550,12.7674,12.4758,12.2297,12.8865,12.2107,12.7523,11.656,11.8197,11.3883,10.7369,11.1659,10.779,11.382,11.9595
new_64001_64098,12.4969,12.3395,12.33,12.5911,12.0369,12.7146,11.7511,11.9412,11.658,11.009,11.4735,10.8971,11.1315,11.548
BSU00560,12.3765,12.1406,12.0018,12.4055,11.7348,12.4085,11.42,11.8762,11.4765,10.7038,10.9644,10.7162,10.7379,11.4173
BSU00570,11.5076,10.9041,10.512,11.6578,11.0195,11.5287,9.9072,9.8452,8.6311,8.4352,8.9626,8.417,8.6055,9.3265
BSU00580,13.074,13.016,12.802,12.7613,12.6761,12.7696,11.9638,12.371,10.6977,10.2578,10.6898,10.2404,10.8546,11.8041
BSU00590,13.1459,13.0522,12.7167,13.0802,12.6758,13.0357,12.055,12.4203,10.9284,10.2859,10.8376,10.5465,11.5556,12.0371
BSU00600,13.107,12.8722,12.7514,13.0449,12.5728,12.9385,12.1203,12.5171,11.3492,10.8315,11.2539,10.9466,11.6827,11.9462
BSU00610,13.0881,12.8318,12.7636,12.9895,12.6522,12.92,12.2208,12.3181,12.7522,11.7244,12.6639,12.0405,11.8436,12.5373
BSU00620,14.0566,13.9809,13.5484,13.6435,13.8852,13.5633,13.555,14.0663,15.0547,14.2794,14.9479,14.2481,13.8376,14.2159
BSU00630,14.8354,14.6357,14.051,14.7788,14.8376,14.7511,14.3862,14.3547,15.3849,15.0619,15.2701,14.8427,15.2523,15.2226
new_70382_70493,10.3668,10.1174,9.7293,10.1273,8.3477,8.911,8.8327,8.8783,7.5677,7.9177,9.5428,7.7258,7.3467,8.3207
BSU00640,9.2097,8.2854,8.2734,9.0794,7.9574,8.4955,9.0117,8.9914,12.463,11.8012,12.3101,11.7635,11.1147,11.7537
new_71190_71799_c,7.1094,6.9703,7.1858,7.0942,7.1007,7.0666,6.8579,6.7839,8.3503,8.8271,9.6555,8.0986,7.0584,6.6895
BSU00650,9.2397,9.0453,8.5918,8.9668,8.8146,9.0073,9.6742,9.8897,12.4664,12.0751,12.198,11.5086,11.4444,11.8329
BSU00660,8.8276,8.4799,8.3339,8.8077,8.638,8.7301,8.5961,8.782,10.2682,9.292,10.1521,9.4289,10.1009,10.4382
BSU00670,13.2391,13.3449,12.7777,13.1024,12.4454,12.6419,12.9793,13.1073,13.1622,12.5301,12.9564,12.5622,12.3312,13.1833
BSU00680,14.779,14.3791,14.1898,14.6926,14.3613,14.6704,14.2542,14.2314,13.8995,13.1161,13.7306,13.3542,12.8164,13.7711
new_76887_76983,14.9613,14.9933,14.8094,15.1546,14.684,14.7681,14.6246,14.7069,14.151,13.5791,14.0846,13.5706,13.7482,14.4996
BSU00690,15.9996,15.654,15.5224,15.5719,15.5546,15.7452,15.3978,15.36,15.1331,14.6016,14.9181,14.5666,15.0941,15.4226
new_78940_79025,11.5585,10.8289,10.5377,11.8829,11.3174,11.2148,9.551,9.5812,8.0064,8.2583,9.6049,7.8654,8.0802,8.4736
new_79027_79091,13.05,12.4919,11.9676,12.148,13.4841,13.0759,10.4838,10.5966,10.955,9.9053,10.622,8.2083,8.6378,10.533
BSU00700,13.1228,12.431,12.0648,12.797,13.2645,12.8592,11.076,11.1648,11.3265,10.5092,11.1713,10.6741,10.5023,11.3001
BSU00710,13.0294,12.4305,12.192,12.946,12.9005,12.859,11.7379,11.8335,11.7335,11.2394,11.6377,11.2422,11.7173,12.3226
BSU00720,12.3805,12.2943,12.0288,11.9721,12.5495,12.0368,11.357,11.4229,11.3158,10.3454,11.1506,10.522,9.7907,10.7752
BSU00730,13.3878,13.5746,13.2599,12.9781,13.3378,12.9974,13.7296,13.8591,13.5114,13.244,13.2353,12.8277,13.6437,14.0453
BSU00740,12.0438,12.0396,11.7929,11.9495,12.1415,11.7437,11.7371,11.9591,11.2182,10.6649,11.0612,10.799,10.7744,11.4122
BSU00750,13.2626,13.1897,12.9321,13.0589,13.1077,13.0179,12.9292,13.0007,12.8269,12.2476,12.6034,12.136,12.7376,13.0382
BSU00760,13.1252,12.9141,12.7858,12.7126,12.6115,12.6649,12.2907,12.4942,12.3652,11.6465,12.0526,11.8672,12.1107,12.66
BSU00770,13.0962,12.8877,12.7615,13.0127,12.6314,12.6728,12.3111,12.5599,12.4747,11.9077,12.2591,11.9115,12.1379,12.797
