LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,BI_1,BI_2,BC_2,BC_t1,BC_t2,BC_1,Sw_1,Sw_2
BSU03359,7.1562,6.8829,7.2294,7.0689,7.1861,7.2506,6.9462,6.9748,6.8709,7.1583,8.3805,7.1488,6.5658,6.5579
BSU03360,7.1233,6.8827,7.1732,7.0483,7.0878,7.2231,6.9587,6.7931,6.9397,7.3744,8.4542,7.0777,6.8636,6.87
new_367293_368962,7.0874,6.9357,7.2731,7.0884,7.104,7.1975,6.9667,7.0303,6.7531,7.5907,8.399,6.9513,6.8543,6.5706
BSU03370,12.1585,11.6477,11.2325,12.2192,12.1433,12.2828,11.6832,11.8985,9.0065,8.9345,9.067,8.7184,9.6917,10.1214
BSU03380,12.3736,11.815,11.4664,12.5864,12.6738,12.4468,11.7959,12.0087,9.5661,9.3043,9.6571,9.1407,9.5921,10.1385
new_368894_371728_c,7.5448,7.3527,7.5665,7.6862,7.2575,7.4718,10.3862,10.4789,8.6304,8.7576,9.6029,8.4853,8.4997,8.9154
new_368964_369186,7.1906,6.9281,7.3349,7.0558,7.301,7.2072,7.0752,7.1876,9.3474,8.5752,9.7092,8.4657,9.9683,10.7553
BSU03390,10.3858,9.8274,9.5253,10.1597,10.4393,10.1286,10.5141,10.4937,11.5198,11.1798,11.6077,11.0236,12.1213,12.495
BSU03400,7.2618,7.0657,7.2545,7.2318,7.1834,7.1885,9.0699,9.4349,9.501,8.8383,9.6491,8.7624,7.5802,7.7687
BSU03410,8.5081,8.7395,8.6403,8.5813,8.8665,8.7097,8.3736,8.472,8.5078,8.4547,9.1807,8.1983,8.2165,8.538
BSU03420,11.0347,11.0809,10.7065,11.0898,11.0558,11.1434,11.3804,11.8068,10.1801,10.3801,10.4824,10.1588,11.122,11.1206
BSU03430,12.5267,12.3113,12.1104,11.8606,12.4786,12.2377,11.9109,12.2399,10.2221,10.0899,10.3643,9.7937,10.1238,10.5959
new_372628_372770_c,9.9274,10.2414,9.9992,9.115,9.727,9.6637,10.0691,10.2175,8.4413,8.7907,9.9944,8.1326,8.8568,9.2465
BSU03440,9.6419,9.8545,9.7065,9.1463,9.3699,9.3068,8.9387,9.053,7.9823,8.0996,9.0831,7.7942,8.206,8.3219
new_372801_375944,8.5281,8.5751,8.4344,8.2521,8.0034,8.4284,10.9059,11.1201,10.5419,9.9518,10.2249,10.0794,10.8763,11.3396
BSU03450,10.445,10.5935,10.0698,9.7489,10.1898,9.524,10.1294,10.3022,9.3605,9.3453,9.8875,9.0946,9.9488,10.2448
BSU03460,10.6039,10.7952,10.547,9.7124,10.4002,9.7998,10.3386,10.3665,9.5256,9.3667,10.0825,9.2512,9.6619,10.2536
BSU03470,9.8743,9.5817,9.3763,9.0223,9.9257,9.4718,9.7554,10.1206,9.9719,9.9198,10.1984,9.4677,9.7939,10.0212
new_376667_376967,14.673,14.5498,14.1372,14.0526,14.5121,14.0844,14.9752,14.8893,15.4494,15.0079,15.4637,15.1,13.2827,14.0028
BSU03480,14.7036,14.7454,14.6866,14.3785,14.21,14.2797,15.6647,15.6745,15.5467,15.5108,15.6078,15.2532,15.914,16.0171
BSU03490,15.0447,15.2774,15.1898,14.7524,14.8142,14.6734,16.1038,16.1072,15.7895,15.6568,15.8616,15.4737,16.3837,16.3385
BSU03500,15.067,15.3006,15.1009,14.7869,14.741,14.6494,15.7845,15.7814,15.4666,15.3465,15.3982,15.0921,15.6852,16.0049
BSU03510,14.6875,14.9395,14.8093,14.2997,14.3743,14.198,15.7794,15.9861,15.5404,15.505,15.5942,15.2113,16.085,16.0375
BSU03520,13.98,14.5097,14.1506,13.5616,13.804,13.578,15.6611,15.6804,15.1466,15.6016,15.3579,14.9619,16.1562,16.2385
BSU03530,9.3049,9.6827,9.388,9.2093,9.4635,9.2364,10.797,10.9842,10.5854,10.5328,10.5634,10.0368,11.406,11.618
BSU03540,10.6041,10.7664,10.1226,10.5844,10.9812,10.5732,10.8433,10.7116,11.2862,10.4803,11.2979,10.7339,10.5081,10.9273
BSU03550,8.4006,8.3411,8.089,8.3249,8.0704,8.2598,8.0182,8.0111,8.2103,8.0634,8.8503,7.9447,8.4802,8.7688
BSU03560,8.3028,8.3224,8.0155,8.1249,8.5593,8.1347,7.7928,7.7227,7.2915,7.6453,8.3812,7.3222,7.1352,7.2304
BSU03569,10.6075,10.5877,9.9485,10.4831,10.7084,10.5029,9.9533,9.9224,9.8358,9.4689,9.9973,9.1355,9.9758,10.15
BSU03570,10.888,10.72,10.1151,10.5577,10.9303,10.8645,10.1869,10.2784,10.1553,9.7947,10.2781,9.6449,10.0653,10.3982
BSU03580,11.7111,10.8808,10.1805,11.8438,11.8336,11.6251,10.0189,10.2021,9.3912,9.0452,9.4416,8.779,9.1194,9.6413
new_409056_409207_c,9.8946,9.7211,9.6801,8.4502,9.4841,10.286,7.9543,8.1355,7.8178,7.7942,8.98,7.7946,8.9565,8.8131
BSU03590,12.7526,12.2233,11.9081,12.8421,12.5832,13.0469,10.5759,10.8925,9.8412,9.5685,9.9788,9.4727,10.9168,11.4107
BSU03600,12.577,12.1509,11.7355,12.7422,12.4535,12.9295,10.264,10.4079,9.2243,8.7715,9.8024,8.6013,10.2915,11.0525
BSU03610,13.6034,13.1602,12.8097,13.6133,13.7011,13.9172,11.0997,11.404,10.5417,9.8745,10.5522,9.8922,11.3127,11.9862
BSU03620,9.0422,8.5887,8.4584,8.5948,8.6414,8.6687,7.681,7.6376,8.0993,7.8206,8.7587,7.6132,9.7703,10.5709
BSU03630,8.6037,8.3885,8.519,8.0689,8.4375,8.3366,8.2576,8.4141,7.54,7.7172,8.6155,7.5248,7.7334,7.8686
BSU03640,8.4767,8.3076,8.2163,8.0818,8.2853,8.2678,8.1607,8.364,7.5568,7.6179,8.2679,7.5786,7.8333,8.1879
BSU03651,8.5633,8.4371,8.3875,8.1774,8.4017,8.413,8.2839,8.5482,7.5725,7.8386,8.55,7.7634,7.9976,8.2008
BSU03652,7.9243,7.9349,7.8894,7.6805,7.8331,7.9484,7.8941,7.877,7.5075,7.9061,8.3854,7.5061,8.1506,8.1881
BSU03660,9.5759,9.6315,9.3872,9.1082,9.6873,9.5432,9.6966,9.8544,9.8662,9.694,9.9309,9.4939,10.1389,10.2312
BSU03670,11.8743,11.7269,11.2883,12.0711,11.604,11.8927,9.2005,9.4662,11.06,10.7451,10.9234,10.4801,9.687,9.7781
new_417763_418267_c,7.0388,6.9327,7.1186,6.9543,6.8911,7.0263,6.8903,6.5862,7.2842,7.3941,8.4997,7.2975,6.4438,6.3984
BSU03680,7.884,7.6692,7.6297,7.8856,7.673,7.8299,7.0426,6.9433,7.2127,7.5535,8.6022,7.2985,6.8857,7.1319
BSU03690,7.4927,7.4572,7.5054,7.5253,7.8245,7.4732,7.7936,7.8668,7.9519,7.755,8.5425,7.7223,6.9445,7.1002
BSU03700,7.8343,7.5616,7.4746,8.0698,8.0331,8.1503,8.0095,8.178,7.906,7.8014,8.5648,7.7667,6.9634,7.046
BSU03710,8.0855,7.7118,7.8002,8.2745,8.2589,8.3423,8.2975,8.5513,8.3753,7.9819,8.6573,7.9474,7.3296,7.7453
BSU03720,8.2553,8.1222,7.9022,8.3919,8.3248,8.5013,8.5691,8.7397,8.5981,8.2558,8.876,8.2406,8.411,8.641
BSU03730,7.6634,7.4841,7.6346,7.415,7.4958,7.7126,7.5566,7.6363,7.1027,7.4368,8.3777,7.2789,7.2104,7.3151
BSU03740,7.3683,7.2179,7.3645,7.3092,7.2361,7.41,7.2057,7.0473,6.7688,7.4375,8.447,7.0516,6.6525,6.758
BSU03750,10.807,11.1299,10.747,11.0137,10.6935,10.8224,11.9239,12.0213,10.2239,9.8634,10.1074,9.929,10.3687,10.9443
BSU03760,11.1131,11.4831,11.312,11.4387,10.7701,11.1219,12.6812,12.7736,10.7557,10.4025,10.5499,10.5142,11.2923,11.8171
new_428689_428793,9.7486,9.3602,9.9625,10.5421,9.4942,9.0796,11.3262,11.4822,9.172,8.7887,9.7396,8.4999,8.3311,9.2018
BSU03770,12.7654,12.5985,12.1134,12.6818,12.2015,12.2441,12.7442,12.8385,13.6559,12.9999,13.3823,13.1095,11.8247,12.4512
BSU03780,13.0978,13.1496,12.9659,12.9267,12.638,12.738,13.9997,14.3204,14.6135,14.4993,14.5382,14.7319,14.2204,14.0989
BSU03788,7.5599,7.6038,7.6506,7.3742,7.5969,7.5841,7.3945,7.435,7.3661,8.6926,10.0061,7.5299,7.8836,7.6783
BSU03789,8.8653,9.2864,8.8192,8.4644,9.0608,8.818,8.8067,8.7828,8.7406,9.375,10.2227,8.621,9.5232,9.3631
BSU03790,8.9984,10.0672,9.4964,8.845,9.4698,9.171,10.7349,10.4881,10.2605,10.0168,10.463,9.6233,9.2433,9.6241
new_432271_432371,15.7081,15.6531,15.7871,15.2853,15.9142,16.1482,13.9719,13.423,11.0179,10.6186,11.1077,10.7427,10.2149,10.8237
BSU03800,14.2384,14.6071,14.3343,14.6348,14.3807,14.5844,12.7418,12.6265,9.8364,9.4606,9.7644,9.2388,9.5794,10.0473
BSU03810,14.5395,14.6766,14.7158,14.8944,14.4164,14.7446,12.898,12.8861,9.797,9.4252,9.8428,9.2429,9.6234,10.018
BSU03820,14.596,14.7466,14.7017,14.8957,14.4909,14.7431,13.0375,13.0368,9.869,9.2019,9.7642,9.2741,9.2775,9.7951
BSU03830,14.9846,15.1752,15.04,15.0938,15.0013,15.1635,13.5535,13.6667,11.0338,10.6034,10.8956,10.7673,10.6549,11.2369
BSU03840,10.1401,9.6329,9.3422,10.4934,10.0807,10.4942,9.9525,10.1516,9.935,9.856,9.9786,9.5112,9.5255,10.0794
BSU03850,10.7183,10.1458,9.6218,11.0887,10.6922,10.9912,10.0145,10.2266,10.2878,9.6353,10.2459,9.5711,9.1026,10.2822
new_438353_438419_c,11.9463,10.5317,10.5379,12.0035,11.8264,11.8899,10.9642,11.0375,11.2576,10.5161,10.836,10.6592,9.7688,11.0526
BSU03860,11.3568,11.4942,10.9482,10.7201,11.2669,11.1297,10.3023,10.347,10.4481,10.4214,10.5209,10.0713,10.3777,10.5001
BSU03870,11.747,11.6817,11.4079,11.3006,11.7152,11.4699,10.4578,10.648,10.8793,10.5323,10.7518,10.3279,10.1898,10.565
BSU03880,10.1782,10.2574,9.6316,9.9548,10.4618,10.0813,10.5336,10.7396,12.2138,12.0855,12.3966,11.5397,11.5209,11.3679
BSU03890,7.932,8.0101,7.7319,7.6772,7.5919,7.6071,8.1815,8.0484,8.1913,8.4788,9.3162,8.1331,7.8673,8.2519
BSU03900,7.4004,7.1767,7.2914,7.344,7.2822,7.3384,9.7282,9.6433,10.8094,10.4952,10.6617,10.445,10.3727,10.9689
BSU03910,10.7711,10.7409,10.2149,10.3645,10.8392,10.4972,11.3818,11.7446,12.4661,12.2577,12.3145,11.8421,12.7081,12.9268
BSU03920,6.8899,6.8204,7.0528,6.7885,6.986,6.9971,8.9431,9.3408,9.3057,8.4622,9.6021,8.2895,6.6487,6.6438
BSU03930,7.1247,7.0015,7.227,7.0662,7.2289,7.2005,9.1936,9.4995,9.3476,9.0517,10.1463,8.4804,6.9957,7.0404
BSU03940,11.2982,11.6848,11.6922,11.3264,10.0127,11.463,14.6291,14.8006,13.2561,13.379,13.075,12.7897,12.7534,13.1423
BSU03950,12.2139,12.8975,12.8016,12.3654,10.9202,12.3977,15.1415,15.2175,13.5501,13.5429,13.4912,13.3266,13.3013,13.7984
BSU03960,12.6877,13.3376,13.0557,12.7512,11.1684,12.9568,15.3261,15.2086,13.5949,13.6439,13.5217,13.4997,13.1281,13.8525
BSU03970,10.8032,10.877,10.5892,10.5217,10.7506,10.7416,10.961,11.1584,10.9313,10.4991,11.0559,10.3303,11.4323,11.3473
new_449651_449723,9.1354,12.4785,12.2481,12.305,10.5544,12.0409,11.4061,11.4712,9.0246,8.6267,9.5573,8.5773,10.436,10.5507
BSU03981,8.8237,11.5558,11.4078,12.0165,9.7418,11.4392,11.0554,11.2737,8.4498,8.3644,9.1824,8.0201,10.1904,9.9284
BSU03982,9.1263,11.2919,11.2581,12.2324,10.2142,11.8325,11.7142,12.0857,9.3222,9.0298,9.6012,8.866,10.5737,10.4247
BSU03990,9.3347,11.1484,10.9738,12.3309,10.4396,12.008,11.804,12.0822,9.2916,8.8939,9.4747,8.8397,10.7371,10.9074
BSU04000,12.1219,12.1566,11.7694,10.0122,9.7501,10.0251,10.5056,10.6569,8.7715,8.7509,9.2992,8.3653,8.6895,9.0871
BSU04010,12.3454,12.2232,11.8811,11.7808,11.9886,11.5489,10.0803,10.1414,8.2739,8.0459,9.1017,7.7389,6.9145,7.0735
new_454593_455317,11.3212,11.1865,10.7401,10.9063,10.383,10.5267,9.8225,10.0474,8.395,8.945,9.3689,8.0121,8.854,9.0261
BSU04020,9.3398,9.6743,9.2116,9.0149,9.8521,9.4634,10.2654,10.2382,10.6251,10.439,10.6619,9.7945,10.3731,10.7424
BSU04030,11.2993,11.1368,10.6825,10.8663,11.0375,10.7813,11.3019,11.211,11.5349,11.8582,11.8344,10.9519,11.0453,11.1095
BSU04039,7.3909,7.655,7.8365,7.3487,7.6048,7.4962,9.7937,11.1196,13.7075,11.9131,13.5597,12.5596,14.0295,14.6096
BSU04040,12.4777,12.5949,12.2529,12.2717,12.6036,12.4488,11.9614,12.2451,11.1087,10.1437,10.8724,10.0817,10.4101,10.9843
new_456926_457022,10.0037,10.8009,10.2923,9.8345,10.3414,9.8936,10.4219,10.7401,11.6355,11.1713,11.3225,10.9309,9.7554,10.7631
BSU04050,9.5547,10.3693,9.7916,9.5612,9.8252,9.3156,10.1487,10.3801,11.2341,10.7273,11.0653,10.5324,9.9059,10.5819
BSU04060,9.4348,9.9455,9.722,9.6318,9.4434,9.4349,10.033,10.2512,11.0332,10.5307,10.8776,10.565,10.1892,10.8553
BSU04070,9.6433,9.9498,9.7753,9.674,9.4502,9.5127,10.4366,10.6214,11.3968,11.1827,11.1809,10.8959,11.104,11.4926
BSU04080,9.9008,10.0254,9.9733,9.6184,9.6564,9.6505,10.2143,10.5273,11.6547,11.3265,11.4851,11.1576,11.0603,11.608
BSU04090,9.5063,9.6434,9.3286,9.253,9.2806,9.2454,9.8585,10.1334,10.96,10.7115,10.8284,10.4002,10.5644,10.9503
BSU04100,9.6074,9.8718,9.5598,9.2505,9.3453,9.4711,9.8922,9.8527,10.6731,10.4098,10.6116,10.076,10.2573,10.3834
BSU04110,9.4969,9.6141,9.3802,9.1672,9.3084,9.5283,9.2141,9.2811,9.8244,9.2734,10.191,9.0518,8.5935,8.9968
new_463070_463495_c,9.9887,10.5512,10.294,9.6292,9.6818,9.6342,12.3693,12.5306,13.2074,12.5816,12.7734,12.8054,12.8054,13.165
BSU04120,12.7329,12.5187,11.6669,13.0192,13.6342,13.5025,11.2508,11.2874,11.5805,11.0964,11.4539,10.7146,10.1131,10.2827
new_463491_463901,10.862,10.6225,9.5421,10.9659,11.5307,10.9307,9.2365,9.352,9.9528,9.6988,10.1467,9.0149,8.3121,8.9183
BSU04130,10.5075,10.7612,10.3765,10.4089,10.9374,10.2336,12.0421,12.3036,12.9475,12.2976,12.7405,12.3882,12.2737,12.8463
BSU04140,13.5548,13.4749,13.2172,13.5758,13.2432,13.452,12.8504,13.052,12.8226,12.1543,12.6064,12.0652,12.0972,12.7284
new_465941_466041,13.4622,13.5635,13.3028,13.0899,13.2448,13.4502,13.3341,13.6778,13.5987,13.2387,13.1879,13.0682,13.1479,13.4406
BSU04150,12.6797,12.812,12.8622,12.4552,12.5249,12.719,13.2161,13.3752,13.6834,13.3598,13.3617,13.1757,13.3352,13.4603
new_467042_467129,10.3093,10.6172,10.6117,10.2195,8.4931,9.046,10.7319,10.5294,11.9307,11.1733,11.9275,11.4149,10.0461,11.3514
BSU04160,10.4209,10.4373,10.3174,9.8312,8.5442,9.5084,11.0196,11.0055,12.4473,11.9897,12.248,12.0032,12.2062,12.6928
new_469286_469367,7.3803,7.1115,7.2153,7.0244,7.1113,7.2118,7.9241,8.1098,8.5015,7.8764,9.4156,7.9037,8.7634,9.809
BSU04170,9.8745,9.623,9.4555,9.9026,10.1578,10.1544,9.0532,9.2824,8.8819,8.7854,9.3778,8.5597,9.472,9.9739
BSU04180,6.9628,6.8278,7.1323,6.9619,7.0824,7.205,6.9886,7.3041,8.2409,8.0749,9.1912,7.5203,9.2877,9.6864
BSU04190,7.1709,7.0628,7.3043,7.0844,7.4645,7.1973,7.9328,8.5798,10.4136,9.3249,10.3993,9.1152,11.5731,12.3516
BSU04200,7.1163,7.0243,7.3359,7.1232,7.3175,7.2064,7.8687,8.3144,10.0416,9.3305,10.1777,9.0997,11.2537,11.9713
BSU04210,10.1617,10.6747,9.9801,10.4534,11.1693,9.8833,11.6291,11.7088,11.456,11.208,11.2624,11.1475,10.943,11.6783
BSU04220,10.219,10.7639,10.2292,10.2641,11.3219,10.0323,12.1967,12.7019,14.5246,13.4996,14.4047,13.4067,14.9966,15.4018
new_474268_474634,11.9846,12.0109,11.2994,12.4027,12.4172,10.913,12.2418,12.311,13.4113,13.0396,13.4001,12.7025,14.3325,14.3737
BSU04230,10.8508,9.7943,9.0726,10.1942,11.1129,10.209,8.556,8.4529,9.2164,9.1359,9.62,8.8051,8.8818,9.1154
BSU04240,12.4406,12.8079,12.3039,12.7916,11.29,12.255,13.041,13.1501,13.1126,12.4328,12.543,12.3385,11.7667,11.9739
BSU04250,11.3366,11.5753,11.0411,11.4267,11.1803,11.2659,11.3302,11.3698,11.0066,10.6305,10.9335,10.5117,10.1894,10.7442
BSU04260,12.5394,12.5961,12.3271,12.78,12.3747,12.5379,12.7092,12.7926,12.1616,11.9457,12.0267,11.8182,12.7106,13.0589
new_478812_478943,9.1171,8.7864,8.7368,8.8063,8.7944,8.7112,8.5932,8.7629,7.6055,7.8584,9.3198,7.336,8.2631,9.044
BSU04270,10.418,9.2449,8.9429,10.827,10.0814,10.5619,8.363,8.4635,7.4399,7.6519,8.4382,7.4612,8.4783,8.9929
BSU04280,9.5658,8.2672,8.193,9.6462,8.4636,9.4718,7.8903,7.809,7.0673,7.1883,7.9953,7.1809,7.7019,8.1831
BSU04290,9.6148,8.5508,8.443,9.5174,8.6748,9.7498,7.965,8.0482,7.2056,7.3689,8.2613,7.2794,7.8841,8.406
BSU04300,9.5799,8.7986,8.5618,9.7428,8.7954,9.9873,7.9378,8.0394,7.1775,7.4081,8.3003,7.252,7.8487,8.4363
BSU04310,10.0475,9.2989,9.1198,10.4566,9.3726,10.4943,8.3819,8.4656,7.6089,7.6974,8.4502,7.5562,8.2928,8.7894
BSU_misc_RNA_7,13.1218,12.8787,12.278,13.1533,13.7449,13.1945,12.214,12.6502,12.8168,12.6107,12.9953,12.3152,12.3021,12.371
new_486278_486431,11.8077,11.5274,11.1193,12.4655,11.427,12.1671,11.4017,11.9252,12.2624,11.7144,12.0059,12.019,11.4478,12.0253
BSU04320,10.8865,10.5292,10.3282,11.3293,10.2016,11.285,10.8244,11.2652,11.622,11.3305,11.3357,11.0541,11.8759,12.0518
BSU04330,8.2718,7.7195,7.6795,8.0509,8.1142,8.2315,7.9038,8.1285,8.8213,8.4872,9.3828,8.4893,8.1979,8.5492
BSU04340,8.1914,7.9941,7.9415,8.1987,8.2577,8.2659,9.1248,9.6931,11.8732,10.8977,11.6419,10.8892,13.0414,13.8407
new_489666_490525_c,9.9147,9.4512,9.1255,9.2969,8.95,9.1359,8.4694,8.2256,8.6544,8.9899,9.9465,8.1192,9.019,8.1929
new_490527_490638_c,12.1148,12.0718,10.572,10.7786,11.3368,13.0068,9.0923,10.4984,9.3996,8.9709,10.8197,8.7209,10.5066,10.9408
new_490639_490854,7.0698,7.055,7.4489,7.2305,7.3441,7.3957,7.1393,7.9363,7.4697,9.5753,11.3439,7.2702,8.4074,7.8639
new_490705_490776_c,12.9534,13.3891,13.1678,11.696,13.517,12.854,13.9569,14.518,14.2675,13.4743,13.6077,13.9173,15.0073,14.9384
BSU04359,12.6434,12.9137,12.3393,12.3809,13.0241,12.3523,13.8652,13.8572,13.7892,13.3788,13.479,13.047,14.1831,14.1882
BSU04360,13.9539,15.0412,14.6872,14.5996,14.6091,14.3336,15.632,15.7006,15.7558,15.4471,15.7096,15.0116,16.2632,15.8934
new_492500_492577_c,6.9052,7.2047,7.3154,7.0203,7.1334,7.474,7.0523,7.2797,8.6068,7.8611,9.4422,7.5113,7.4738,7.8034
BSU04370,7.1614,7.1725,7.309,7.1612,7.3141,7.2744,8.5834,9.5126,13.0092,12.1406,12.9976,11.5506,13.9522,14.2886
BSU04380,7.2067,7.0995,7.2998,7.1799,7.3174,7.2809,7.7709,8.1838,11.4299,10.6614,11.6308,10.3586,12.2996,12.9019
BSU04390,10.7691,10.8085,10.4497,10.1927,10.9648,10.5115,10.0103,9.9403,8.6976,8.8892,9.6128,8.2138,7.7555,8.0853
BSU04400,7.9548,8.2769,8.2623,7.7781,8.5866,7.858,11.1417,11.7372,15.9968,15.4248,15.8027,14.8651,15.9531,15.9758
BSU04410,9.0921,9.6255,9.3431,8.8338,9.3632,8.7343,10.138,10.2914,9.8784,9.5438,10.314,9.2083,9.1649,9.463
BSU04420,9.0976,9.6226,9.347,8.7878,9.3557,8.7871,10.1825,10.3179,9.8262,9.4919,10.2571,9.2981,9.2454,9.5229
new_495406_495699_c,7.3336,7.0845,7.3069,7.1162,7.0552,7.1145,6.9769,6.9422,7.4857,7.9426,9.2561,7.3274,7.6541,8.1082
BSU04430,9.9651,9.9217,9.5709,9.2265,9.0664,9.4572,10.046,10.1456,12.4048,11.488,12.4624,11.1899,12.6423,13.3796
BSU04440,10.3376,10.1149,9.8888,9.7075,9.4011,9.9885,9.7797,9.7906,9.5828,8.9864,9.7425,8.8191,8.6699,9.2451
new_496980_497767,10.2217,10.2162,9.6298,9.8733,10.094,9.6954,9.6778,9.5117,9.185,8.9963,9.6429,8.743,8.5273,8.7773
BSU04450,10.3295,9.855,9.7203,9.4996,9.0922,9.3001,10.435,10.4684,9.8886,9.6992,10.0045,9.5915,10.3963,10.8528
BSU04460,10.6381,10.0493,9.9909,9.5996,9.0224,9.5482,11.0623,11.1127,10.4146,10.2964,10.4557,10.2347,11.1464,11.599
new_500046_500120,10.5385,9.8888,9.7881,9.5583,8.6658,9.4201,11.0441,11.1296,10.3861,10.2142,10.3218,10.1538,10.9974,11.5106
BSU04470,13.8709,13.7902,13.2622,9.2417,8.6868,9.408,12.1885,12.1795,12.2868,11.996,12.1377,11.7367,12.6571,12.9597
BSU04480,12.3099,12.3113,12.043,12.3507,12.6948,12.6212,12.0801,12.1136,11.8122,11.6369,11.5982,11.404,11.7124,12.1076
new_502632_502875,11.9909,11.9117,11.5494,11.9283,11.7923,12.2178,11.4132,11.7477,11.2631,11.2929,11.2186,10.7351,11.62,11.9346
BSU04490,12.1057,11.5651,11.43,12.152,11.1068,11.9289,10.6539,10.9112,9.5959,8.988,9.5541,8.6507,9.0254,9.766
BSU04500,11.7499,11.4025,10.9828,11.8046,10.9428,11.8015,10.6256,10.7047,9.3535,9.2543,9.5786,8.8255,9.3605,9.8046
BSU04510,11.9651,13.2776,12.6187,12.408,11.2706,12.6104,13.379,13.5498,12.5966,12.7128,12.3798,12.3685,12.7497,13.1619
new_505044_505113,10.2109,11.4827,11.2146,11.0944,9.557,10.6165,10.5278,11.0047,8.1856,8.0354,8.8033,8.0183,8.1251,8.8652
BSU04520,10.384,11.1774,10.7418,10.679,10.3563,10.4985,11.7377,11.8826,10.4933,10.42,10.4023,10.2605,10.7925,11.0071
BSU04530,13.454,15.4288,15.3087,14.1684,12.8139,14.0571,14.0223,13.9986,9.3342,8.925,9.7925,8.7985,9.3687,9.815
new_506502_506670_c,13.4692,15.5007,15.4438,14.1307,13.0407,14.2387,13.9146,13.879,9.2267,8.8159,9.9705,8.8333,9.6088,9.9415
BSU04540,12.8797,12.5798,12.1112,12.4519,12.432,12.2874,11.0499,11.1215,10.8379,10.0387,10.5898,9.909,9.8974,10.0904
new_507683_507752_c,13.175,13.2405,13.0417,12.7306,13.217,13.1872,11.9838,12.5328,12.2859,11.6013,11.9897,11.8309,12.5126,12.5589
new_507739_508088,12.6264,12.4817,12.0158,12.1073,11.8309,12.0015,10.8741,10.8238,10.5824,10.2608,10.779,9.7911,9.7972,9.8522
BSU04550,12.6261,12.8541,12.5342,12.6809,12.9979,12.7971,11.8578,12.1199,11.4282,11.1674,11.5431,10.8849,11.5949,11.4722
new_508090_508247,14.1888,14.2352,13.8781,13.7832,13.4559,14.0668,11.9865,12.0948,10.9708,9.6701,10.9599,10.155,9.5255,9.8252
BSU04560,14.002,13.9885,13.6575,13.9232,13.7666,13.8029,13.0835,13.0724,12.4008,12.0433,12.25,11.5502,12.1812,12.5458
BSU04570,12.9661,12.6209,12.4237,12.9446,13.1538,12.653,11.9048,12.17,10.7565,10.2378,10.6216,10.1679,10.2614,10.923
new_510862_511036,13.8937,13.696,13.5721,14.0167,14.1832,13.7978,13.8223,13.9626,13.7192,12.9558,13.46,12.7452,12.8698,13.4446
new_511038_511105,15.6461,14.9208,14.433,14.9949,15.6449,15.0945,14.7292,14.7222,14.8541,14.0641,14.912,14.2624,13.7906,14.316
BSU04580,14.8228,14.3938,14.1495,14.972,14.8374,14.7762,14.7045,14.7151,14.8572,14.4683,14.8913,14.3383,14.7697,15.0024
new_512754_512813,11.8726,12.2922,11.1431,12.8933,12.2734,12.8244,11.5036,11.8757,10.7739,10.0947,10.4216,9.8984,9.8768,10.9076
BSU04590,13.0504,13.0505,12.6424,13.2236,12.9978,12.9232,12.4082,12.892,10.1701,9.5248,10.1683,9.325,10.8644,11.6236
BSU04600,13,12.963,12.6787,12.8363,12.7322,12.7884,12.2052,12.6673,10.0866,9.3124,9.9599,9.3151,10.4568,10.9695
new_514779_515106,11.0383,10.5764,10.4988,11.2197,10.556,11.134,10.2553,10.6149,8.1876,8.2731,9.6891,7.6083,8.4099,9.0865
BSU04610,9.5712,9.4888,9.0129,9.2036,9.4288,9.2471,10.1142,10.1298,10.6705,10.3863,10.7592,9.9961,10.4904,10.4653
new_515108_515709,10.9501,10.5805,10.398,10.9842,10.6345,10.7895,10.21,10.5009,10.0215,9.5606,10.2657,9.5193,9.787,10.4214
BSU04620,10.8468,10.6682,10.3508,10.9394,10.5779,10.8026,10.5615,10.8199,10.6478,10.1487,10.5595,10.1035,10.6918,11.1085
new_516099_516240,10.6302,10.5945,10.3709,10.6793,10.5411,10.7965,10.6243,10.9373,11.3086,10.7873,11.5408,10.8564,10.6191,11.2181
BSU04630,11.1517,11.1945,10.8208,11.0641,10.971,11.3041,11.0533,11.417,12.1032,11.4668,11.7617,11.6697,11.6162,11.9895
BSU04640,12.9934,12.7935,12.4782,13.0037,12.9335,12.7476,11.9644,12.101,11.5676,10.8704,11.3581,10.7807,10.7804,11.4556
BSU04650,15.2442,15.1253,14.511,15.0113,15.0346,14.7154,14.718,14.7801,14.7883,14.1567,14.527,13.9834,14.0107,14.3451
BSU04660,15.3514,15.1728,14.6834,14.9656,15.1121,15.0213,14.9365,14.92,14.9498,14.3771,14.7268,14.132,14.3432,14.4613
new_519083_519559_c,8.7128,9.8153,9.3133,8.1185,8.9666,8.6986,9.1723,9.775,10.1063,10.1234,11.353,9.3145,13.2551,13.2271
BSU04670,13.1943,13.1687,12.6346,12.9819,12.961,12.7755,12.3801,12.4946,12.6472,11.8888,12.4457,11.9614,10.6797,11.4422
new_519561_520160_c,7.0108,7.0407,7.3241,6.9966,7.1295,7.1101,7.2569,7.8599,9.5506,9.2285,10.5934,8.4821,12.6514,13.0117
