Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
BSU08110,9.4632,9.1124,8.9446,9.1662,9.1993,8.6943,8.7723,8.4514,8.7601,8.1771,8.4902,8.5789,8.6297,9.2626,9.4235,8.9828,8.6421,8.3371,8.2659,7.4603,7.8865,8.6069,7.9459,9.265,8.9079,9.2275,8.1441,8.4923,8.4021,8.4875,8.2318,8.2412,8.8554,8.4362
BSU08120,10.5698,10.796,11.0116,10.9342,10.9012,10.5377,11.2249,11.006,11.0504,10.8468,11.0242,10.5161,10.3847,11.0976,9.4631,10.7307,10.6186,10.2777,10.2418,9.3021,9.25,10.3937,11.2602,10.3506,10.1082,10.57,9.4743,10.3665,9.9561,9.9211,9.5047,8.2434,9.6984,8.4132
BSU08130,10.3609,10.4081,10.7647,10.4866,10.4866,9.907,10.7985,10.6657,10.3965,10.1929,10.2891,10.1557,10.0399,10.9765,10.5768,10.2208,10.0989,9.7956,9.6373,8.8813,8.7059,10.1512,11.1933,9.8299,9.6025,9.9986,9.0451,9.8605,9.524,9.346,8.9462,9.0292,9.5088,8.9868
new_886682_886774_c,10.6463,10.7012,11.0494,10.6598,10.589,10.2514,10.9431,10.8448,10.5387,10.37,10.603,10.2818,10.4638,11.0525,10.9064,10.4263,10.2719,9.8418,9.9656,9.0886,9.0077,10.1815,11.4792,10.2887,10.0162,10.0401,9.1561,9.9131,9.648,9.4589,9.1916,9.5427,9.6112,9.2536
BSU08140,10.9202,10.8458,11.3021,10.6706,10.5672,10.3745,10.9664,11.1119,10.5724,10.495,10.5732,10.1947,10.4756,11.232,11.4627,10.4078,10.3026,9.9059,10.2253,9.1574,9.1796,10.4857,11.5544,10.5855,10.4042,10.3151,9.4085,10.0455,9.6717,9.4612,9.1695,9.9349,10.0527,9.6794
new_887222_887809,8.1574,7.3812,7.8181,6.9824,7.5442,6.9074,6.8434,6.7507,6.8805,6.685,6.9498,7.6315,7.4817,7.1514,7.3958,6.7085,6.5433,7.3356,6.895,6.5034,6.8085,7.5724,7.1039,7.2583,6.6102,6.9638,6.6937,6.9597,7.0725,7.5417,7.2554,7.434,8.0703,7.1708
BSU08150,10.7945,10.6333,11.2719,10.6562,10.6098,10.4163,10.8121,11.2221,10.5002,10.5528,10.4208,10.3429,10.5459,11.2129,11.1407,10.466,10.1066,9.9617,10.1387,9.0119,8.9649,10.5889,11.6306,10.1933,10.3336,10.2019,9.3043,10.0759,9.9635,9.2816,9.2003,9.9287,10.0849,9.582
BSU08160,10.2267,10.0708,10.7885,10.2562,10.3636,10.0647,10.4807,10.5539,10.2041,10.0261,9.9885,10.2305,10.0206,10.7406,10.7112,9.9051,9.8307,9.46,9.5182,8.6691,8.921,10.0029,11.3446,9.8579,9.749,9.7672,8.8972,9.6345,9.4344,9.2335,8.9591,9.2418,9.3963,8.9706
BSU08170,9.9958,9.6956,10.5239,10.3909,10.5123,9.9657,10.625,10.3991,10.1366,10.0381,10.0957,10.3368,10.013,10.4336,10.4453,9.8354,9.8753,9.6241,9.4611,8.4969,9.1107,10.0948,11.4589,9.655,9.5064,9.7987,8.7834,9.744,9.4283,9.2185,8.9001,9.1575,9.3729,8.7969
BSU08180,9.1882,9.077,9.1796,9.075,9.2801,8.6597,8.9944,9.129,8.9388,8.7721,8.7961,8.8857,8.5246,9.3038,9.3568,9.1268,8.9221,8.8529,8.7371,7.9388,8.4396,8.8929,9.079,9.1235,8.9694,9.3215,8.183,8.7555,8.7071,8.7325,8.6755,8.5297,8.8353,8.4563
BSU08190,10.1613,10.0742,10.2583,10.0048,9.8329,9.7047,10.0317,10.3933,10.0807,10.1267,10.0508,9.3194,9.588,10.3226,10.6663,10.064,9.9101,9.902,10.0813,9.0784,9.1541,10.1122,9.3446,10.2936,10.3153,10.204,9.2238,9.8817,9.6228,9.2755,9.3553,9.7517,9.9341,10.0047
BSU08200,7.6649,7.876,7.7476,7.5221,8.1573,7.2134,7.193,6.9718,7.2414,6.9652,7.369,8.0802,7.6798,7.6079,8.0256,7.3508,7.0084,7.1998,7.0683,6.5293,7.0913,7.7634,7.3016,7.7651,7.3652,7.5353,6.9933,7.1099,7.3152,7.824,7.54,7.4831,8.1241,7.313
BSU08210,9.2662,9.3551,9.3639,9.1067,9.1259,9.1128,9.304,9.2718,9.4256,9.2994,9.3205,8.8309,9.1293,9.3605,9.3972,9.5431,9.3144,9.1501,9.1785,8.5655,8.5356,9.2944,8.8425,9.17,9.211,9.6046,8.4835,8.8627,8.8514,8.8918,8.7612,9.0774,9.1727,9.1233
BSU08220,9.507,9.7109,9.755,9.2972,9.4656,9.3226,9.6667,9.5955,9.777,9.7414,9.6918,9.205,9.3797,9.5515,9.4583,9.8867,9.7603,9.4487,9.2708,8.9524,8.9892,9.5386,9.4036,9.3934,9.1822,9.8315,8.8573,9.2781,9.0049,9.2736,9.0602,9.0925,9.3734,9.2439
BSU08230,8.5384,8.5906,8.7835,8.5566,8.5827,8.7206,9.2464,9.7904,9.6757,9.5784,9.1769,8.3075,8.4194,9.0927,9.1573,9.1242,9.1122,9.0416,9.3767,8.6229,8.6341,9.0182,7.2092,9.1878,8.8792,9.3307,8.5006,9.1762,8.9483,9.0522,8.912,8.8475,8.6449,8.1512
BSU08240,8.3133,8.324,8.6465,8.4392,8.6776,8.4718,8.9621,9.3102,9.3616,9.2727,8.9075,8.4328,8.2026,8.6971,8.9069,8.8694,8.8226,8.851,8.9074,8.3972,8.5529,8.8497,7.3814,8.6973,8.64,9.0911,8.3664,8.8693,8.691,8.827,8.7606,8.7328,8.5924,7.8744
BSU08250,8.5344,8.4957,8.6701,8.3118,8.5164,8.0217,8.3103,8.5629,8.4186,8.361,8.4135,8.3761,8.3592,8.6495,8.6353,8.3217,8.3027,8.2871,8.3914,7.6103,8.0375,8.7337,7.6456,8.6733,8.4286,8.5289,7.6704,8.2547,8.1463,8.3498,8.1191,8.1941,8.7481,8.2067
BSU08260,7.7935,8.0666,8.0159,7.8792,8.2286,7.5158,7.5758,7.4625,7.5625,7.3445,7.5865,8.1332,7.7899,7.8485,8.2249,7.6952,7.4985,7.4821,7.345,6.7798,7.169,7.899,7.3547,7.9036,7.5459,7.8853,7.2343,7.3529,7.488,7.861,7.5363,7.7271,8.2432,7.5232
BSU08270,8.0691,8.2227,8.1792,8.0254,8.5248,7.8247,7.8007,7.759,7.7904,7.4896,7.8154,8.266,7.9591,8.0062,8.3764,7.8809,7.6736,7.6564,7.4509,7.0307,7.3761,8.0326,7.7497,8.1392,7.8495,8.0895,7.3319,7.5877,7.6127,7.9502,7.8494,7.9285,8.4777,7.6458
BSU08280,8.6277,8.4724,8.5834,8.5127,8.7255,8.2722,8.2331,8.2074,8.2903,7.992,8.1472,8.4018,8.0927,8.4377,8.622,8.4944,8.2227,8.0198,7.9411,7.3365,7.8043,8.257,8.1226,8.6466,8.3471,8.6116,7.8006,7.8668,7.8129,8.08,8.1206,7.8985,8.5661,7.9859
BSU08290,9.8574,9.9238,10.1039,9.5558,9.9376,9.3882,9.9804,10.3009,10.2056,10.1577,10.2889,9.9397,9.8832,9.6423,9.7291,9.6709,9.6587,9.5908,9.7011,9.0154,9.1417,10.3527,9.4471,9.7841,9.7546,10.0709,9.1342,9.7458,9.6954,9.4474,9.4269,9.5706,10.1326,9.8376
BSU08300,10.3127,10.4343,10.6297,9.9375,10.0614,10.0332,10.2972,10.8552,10.6906,10.6642,10.5806,10.2125,10.2632,10.1712,10.0188,9.9931,10.0047,9.9806,10.1041,9.6092,9.878,10.6208,9.8297,10.0536,10.115,10.3664,9.4992,10.1795,10.2364,9.9862,10.112,10.0914,10.576,10.0136
BSU08310,7.0388,7.2001,7.1756,7.1718,7.87,6.9998,6.9926,6.7816,7.1342,6.6944,7.2579,8.1898,7.4222,6.6196,7.4924,6.4783,6.6003,7.0328,6.8658,6.4733,7.1976,7.6801,7.0513,7.2891,6.5961,6.8887,6.8685,6.88,7.2914,7.7197,7.4399,7.4991,8.0752,7.1354
BSU08320,7.0587,7.1765,7.2032,7.1145,7.7727,6.9015,7.0023,6.7591,7.0711,6.8132,7.1382,7.9627,7.45,6.6491,7.4816,6.4873,6.5734,7.0376,6.9414,6.5308,7.3061,7.6828,7.2301,7.2351,6.5846,6.8865,6.7639,6.9254,7.2491,7.6574,7.4841,7.5331,8.1032,7.1417
BSU08330,7.5551,7.2347,7.3809,7.2141,7.7957,7.0535,7.1549,6.9295,7.2559,7.0305,7.2987,8.0998,7.553,7.0354,7.4597,6.7565,6.7857,7.1702,7.0795,6.5819,7.2877,7.7987,7.27,7.3524,6.7592,7.0769,6.8556,7.0555,7.3456,7.8027,7.5277,7.4632,8.0676,7.2952
new_909123_909197_c,12.2189,12.2728,12.5267,11.5082,11.5041,11.5383,11.8152,12.5089,12.1729,12.1998,12.0283,10.7453,11.5623,12.5019,12.3536,12.2267,11.9818,11.8002,12.2927,11.0615,11.0122,11.7674,10.8052,12.3299,12.3711,12.1693,11.0628,11.8859,11.6078,11.2947,11.1986,11.3323,11.3692,11.9071
BSU08340,11.6424,11.5961,11.7016,11.3734,11.4913,11.1687,11.617,11.9511,11.7546,11.6796,11.5954,10.8268,11.2,12.0055,11.9183,11.7206,11.7211,11.5388,11.7555,10.9642,10.795,11.6956,10.5791,11.9644,11.8849,11.8422,10.7629,11.5238,11.3018,11.2007,10.7713,11.1474,11.1763,11.1372
new_909747_909826_c,11.4423,11.0667,11.7177,11.1129,11.5235,11.0999,11.2885,12.1209,11.4208,11.5641,11.489,10.4941,11.2724,11.9164,12.2662,10.9236,11.3841,11.2591,11.7703,10.7171,10.7583,11.6751,9.7377,11.8142,11.9067,11.6843,10.6277,11.5093,11.3381,11.1451,10.8773,11.481,11.3892,11.6734
BSU08350,10.549,10.4155,10.4985,10.3389,10.103,10.043,10.4824,10.5108,10.8422,10.7192,10.9528,9.988,10.3328,10.0751,10.7668,10.1008,10.1951,10.412,10.2652,9.7421,9.6725,10.514,9.2497,10.2675,10.0742,10.093,9.2799,10.1287,9.887,10.1384,9.7616,10.4172,10.4973,10.6005
BSU08360,8.3525,8.142,8.3025,8.0375,8.1898,7.8531,8.0922,8.1511,8.2098,8.0114,8.1819,8.1228,8.1802,8.1216,8.3235,7.7635,7.8596,8.004,8.1023,7.4726,7.8554,8.3599,7.4498,8.4275,8.0505,8.0164,7.4272,7.9854,8.0475,8.1079,7.8968,8.0572,8.4971,7.9305
new_911330_911718_c,8.7097,8.5628,8.7951,8.232,8.4574,8.0475,8.2866,8.6467,8.7171,8.2574,8.456,8.6192,8.333,8.3873,8.5644,8.1762,8.3243,8.4456,8.274,7.5692,7.9975,8.6367,8.2065,8.5513,8.4743,8.5157,7.7507,8.2818,8.3101,8.4585,8.3992,8.2926,8.9009,8.3655
BSU08370,10.763,10.5359,10.7728,10.7113,10.7934,10.1749,11.0021,11.1498,10.9773,10.8376,10.9248,10.2002,10.5077,11.0767,10.7166,10.7063,10.7893,10.5717,10.8673,9.6425,9.8109,10.9101,10.0086,11.0012,10.7919,10.8384,9.6961,10.6294,10.2119,9.881,10,9.9719,10.5419,10.2339
BSU08380,8.4861,8.1986,8.3736,7.8235,8.0762,7.6861,7.7941,8.1895,8.0335,7.9825,8.275,8.1159,8.5884,8.0612,8.1214,7.7573,7.703,7.5759,7.8787,7.1775,7.4108,8.4265,8.1359,8.2987,7.9609,7.9882,7.4378,7.6994,7.7382,8.0016,7.8562,8.1777,8.65,8.3718
BSU08390,12.4015,12.0721,12.2645,11.6579,11.6222,11.4553,11.9259,12.6005,12.2948,12.2659,12.2459,11.5999,12.0373,11.9021,12.1502,11.9841,11.7835,11.6965,12.2092,11.2167,11.2867,12.5766,11.9876,12.1234,11.9878,12.2055,11.3118,12.0302,11.5872,11.4927,11.45,11.7264,12.0585,12.2462
BSU08400,8.0094,7.6976,7.8628,7.6332,8.1011,7.515,7.5879,7.4315,7.7536,7.5456,7.7602,8.1849,7.7056,7.5765,7.8886,7.4287,7.3392,7.4349,7.3335,6.9731,7.2494,7.9401,7.1559,7.8808,7.5543,7.7575,7.2171,7.4122,7.4897,7.867,7.6746,7.6486,8.2396,7.5755
BSU08410,9.8677,9.4419,9.6753,9.9621,9.6677,9.5892,10.0662,10.0336,10.2497,10.0129,10.0142,9.3222,9.5253,10.0133,9.3631,9.9724,9.8976,10.0209,9.8383,9.0532,9.3699,9.9375,9.0092,9.9566,9.8458,10.0184,8.8666,9.8849,9.62,9.6213,9.2993,8.8844,9.4516,9.0324
BSU08425,11.4549,11.3833,11.4623,10.9993,10.9137,10.7504,11.2606,11.3724,11.4062,11.3932,11.6487,10.7451,11.0623,11.2237,10.7804,11.1789,11.01,10.7466,10.975,10.0873,10.0415,11.4042,10.4797,11.0976,10.9776,11.3843,10.2938,10.9365,10.5339,10.4776,10.2955,10.5564,10.95,10.8514
BSU08440,13.7727,13.8068,14.0984,13.9334,13.8928,13.7878,14.4529,14.9531,14.5716,14.388,13.5545,9.708,11.7829,14.7889,14.7902,14.4834,14.6818,14.7472,14.9041,13.9493,13.7292,13.3444,10.5878,14.601,14.5536,14.4276,13.3946,14.404,14.2041,14.0569,13.6431,13.7772,12.0747,11.9463
new_920382_920473,12.5928,12.3933,12.7538,12.2103,12.1317,12.3779,12.7986,12.876,13.0221,12.9441,11.8202,8.567,11.2393,12.6617,13.2181,12.8085,12.8409,12.6193,13.317,11.6604,11.5749,12.0752,9.9025,13.0534,13.0129,13.1523,12.0671,12.6802,12.2857,11.3437,11.6874,12.6141,11.4154,11.3195
BSU08450,11.302,11.5873,11.5431,11.4712,11.2721,11.4436,12.0998,12.2765,12.0343,11.9322,11.1218,8.9639,9.9804,12.0716,11.4625,12.1052,11.9408,11.641,11.8376,10.9999,10.7504,10.8959,9.2313,11.6282,11.6514,12.0341,11.0105,11.6433,11.3236,11.1688,10.9245,10.6841,9.9103,9.6019
BSU08460,11.1869,11.3605,11.4416,11.4069,11.3073,11.2334,11.9961,12.0228,11.9532,11.821,11.1721,8.9,9.7607,11.948,11.0254,12.0055,12.0114,11.6976,11.5647,10.9355,10.79,10.9804,8.8063,11.6015,11.4734,11.8496,10.7982,11.5053,11.3209,10.9512,10.8963,10.2681,9.7874,9.2966
BSU08470,12.8691,12.7571,12.7607,12.2415,12.1639,11.8144,12.5207,12.9226,12.6871,12.7377,12.8369,11.4444,12.3775,13.011,12.8644,12.4757,12.5004,12.316,12.7241,11.5206,11.7214,12.5534,12.1532,12.853,12.9553,12.8174,11.604,12.3703,11.858,12.1694,11.6082,12.4146,11.9172,12.6074
BSU08480,13.7681,13.3531,13.6313,13.8829,13.603,13.5096,14.3625,14.6065,14.5024,14.3009,13.9053,11.9541,13.008,14.4284,14.4762,14.3955,14.5115,14.7763,14.704,13.643,13.2716,13.7286,12.4521,14.3315,14.2631,14.5694,13.3814,14.5161,13.9725,13.969,13.6305,13.7331,12.6423,13.142
BSU08490,9.3183,9.4001,8.7051,8.9615,9.0962,8.633,8.8549,8.8429,8.9023,8.5699,8.7695,8.7194,8.6538,8.8751,9.0028,8.8628,8.4996,8.4991,8.5444,7.8297,8.0836,8.878,8.2417,8.6798,8.5242,8.9399,8.0807,8.6684,8.5119,8.6985,8.5465,8.4918,8.8849,8.7298
BSU08500,9.4516,9.911,9.3171,9.0994,9.2661,9.1783,9.1875,9.4599,9.252,9.2657,9.1562,8.9006,9.1773,9.295,9.6224,9.3498,9.1173,8.8598,9.141,8.292,9.0397,9.3775,8.3933,9.3992,9.1834,9.6301,8.5573,9.0119,8.8458,8.7531,8.8155,9.1394,9.3887,9.2154
BSU08510,8.9828,9.4964,8.8134,8.598,9.0056,8.5393,8.6456,8.7167,8.75,8.602,8.6936,8.6986,8.4898,8.921,9.0406,8.8359,8.6437,8.5227,8.6038,7.9689,8.1462,8.7381,8.1297,8.7595,8.4932,9.0641,7.998,8.4732,8.4143,8.6321,8.3939,8.5275,8.7765,8.5151
new_925460_925632,11.8766,11.3588,11.7035,11.3413,11.4772,11.2265,11.5367,11.9639,11.8121,11.5894,11.7781,10.8949,11.1513,12.0415,12.0296,11.6566,11.3845,11.2341,11.6636,10.8835,10.7956,11.6184,10.9904,11.9459,11.7974,11.7544,10.7138,11.4732,11.1404,10.8781,10.889,11.6946,11.3547,11.3025
BSU08520,11.7631,11.4299,11.8224,11.4242,11.5638,11.3145,11.6129,12.0077,11.8907,11.8585,11.8724,10.9729,11.2723,11.9579,12.0949,11.7453,11.8759,11.481,11.851,10.8975,10.9215,11.8653,11.008,11.8513,11.7953,11.9005,10.8046,11.5332,11.2354,11.0168,10.9688,11.4726,11.4896,11.6778
BSU08530,10.9546,10.8284,10.6617,11.0015,10.9832,10.6893,11.1058,11.0911,11.2963,10.8345,11.2435,10.4621,10.6841,11.2519,11.0336,11.0782,11.1108,10.8437,11.2004,10.4774,10.1796,11.2461,10.3626,11.2433,11.1357,11.2561,10.281,11.0009,10.8286,10.836,10.393,10.2987,10.2225,10.247
new_926651_926919_c,8.3785,7.4245,7.6462,6.838,7.3319,6.857,6.8081,6.9261,7.1504,6.8219,7.0299,7.5633,7.4844,7.1956,7.4974,6.7284,6.7211,7.3589,7.1401,6.8036,6.7317,7.7341,6.5944,7.3144,6.7241,7.0398,6.7769,7.0844,7.2078,7.6085,7.2299,7.5162,8.2164,7.4317
BSU08540,8.4559,8.6735,8.601,8.2562,8.453,8.0246,8.696,8.8868,8.7728,8.6547,9.0485,8.6321,8.5504,8.5291,8.5475,8.4522,8.4567,8.5259,8.933,8.0672,8.0959,9.0264,7.7,8.5442,8.2422,8.27,7.8434,8.2129,8.2585,8.4752,8.2511,8.524,8.779,8.352
new_928080_928314,8.2849,8.3485,8.3293,7.5375,7.8245,7.5342,7.8522,7.979,7.9324,7.9694,8.0225,8.0687,8.1595,7.922,8.0433,7.4867,7.5712,7.7213,8.264,7.2931,7.6024,8.5256,6.7949,8.1315,7.5051,7.6224,7.3248,7.5035,7.7177,8.0757,7.6902,7.9981,8.7397,8.0285
BSU08550,7.9752,7.2223,7.4352,7.4638,7.872,7.203,7.2401,7.0826,7.3578,7.1912,7.4908,8.045,7.7009,7.1097,7.408,6.8948,6.7917,7.4185,7.1051,6.6271,7.303,7.8155,7.3391,7.4931,6.9364,7.2148,6.9416,7.222,7.3935,7.7232,7.6889,7.5787,8.1575,7.3644
new_928316_928388,10.3541,10.1014,10.3265,10.4802,10.3845,9.9018,10.6586,10.0471,10.8935,10.3793,10.5129,9.3232,9.8194,10.1295,10.5388,10.6646,10.6258,10.9328,10.3658,9.1791,8.3885,10.16,9.9152,10.2264,10.2337,10.7979,9.5351,10.6408,7.9967,9.3268,8.236,9.3992,9.2776,9.6868
BSU08560,10.1245,9.8713,10.0113,10.1653,10.2677,9.9183,10.2395,9.9965,10.5238,10.2078,10.3238,9.6658,9.7651,10.0643,10.1223,10.249,10.5167,10.6407,10.0757,9.6706,9.72,9.9391,9.8066,10.0552,10.0383,10.2998,9.245,10.3103,9.9617,10.2416,9.6346,9.3326,9.5513,9.505
BSU08570,9.6562,11.9781,9.7406,9.9195,10.1279,10.3644,9.5917,9.6858,9.7265,9.3285,9.3061,8.6926,9.1769,10.3876,10.4626,11.1164,10.1976,9.5883,9.7758,9.2833,9.1624,9.3454,9.0683,10.3557,10.2636,11.0952,9.4149,9.8822,9.3437,9.627,9.243,9.1532,9.2442,9.0011
new_929322_929389,9.183,11.8785,9.4731,9.439,9.6888,10.1783,9.399,9.5335,9.464,9.3031,8.7268,8.6169,9.0479,10.1609,10.3356,10.6565,9.6762,9.1592,9.5151,8.9669,9.0526,9.3208,9.1328,10.0138,9.7943,10.7515,9.1801,9.3412,9.3375,9.5267,9.1573,9.1474,9.2156,8.9769
BSU08580,11.4558,11.9197,11.1404,10.8371,10.8116,11.2642,10.7716,11.1118,11.1187,10.8736,11.0344,10.4354,11.3978,11.4783,11.1119,11.6518,10.8543,10.4081,10.6262,10.5171,10.3873,11.0589,10.957,11.4776,11.3768,11.8099,10.2827,10.6489,10.3992,10.7256,10.4904,10.9278,10.9141,11.0847
BSU08590,10.8347,11.4252,10.7011,10.6022,10.6826,10.7771,10.5255,10.842,10.8651,10.6554,10.8206,10.3192,10.8467,10.9039,10.8889,11.3894,10.7903,10.391,10.3679,10.1536,9.9223,10.6637,10.6787,11.0466,11.0339,11.6571,10.0363,10.4018,10.0564,10.4907,10.056,10.226,10.3996,10.8535
new_930671_930735,9.0897,9.6759,8.8631,7.7747,7.882,8.5362,7.8354,8.2203,8.2415,8.3413,8.2899,7.6344,8.8977,8.5148,8.9697,8.4727,7.9704,7.8281,8.6697,7.8457,7.9874,9.2192,8.1912,8.4325,8.2929,8.5481,7.769,7.9596,8.0653,7.9134,8.0569,8.6361,9.388,9.0541
new_930737_930817,13.2137,13.9609,13.0439,12.1475,11.7889,12.3511,12.3392,13.0124,12.7686,12.8215,12.8014,11.4093,12.6763,12.7725,13.1599,12.86,11.0943,12.6158,13.0961,12.1454,12.0007,12.9535,12.3031,12.6512,12.7803,12.989,11.6303,12.5212,11.5605,11.3418,10.9857,12.7412,11.9776,13.1401
BSU08600,11.9077,13.1525,11.8638,11.1409,11.1577,11.315,11.3585,11.9562,11.5158,11.5716,11.6667,10.9089,11.62,12.0463,11.477,11.879,11.6664,11.4725,11.9249,10.918,11.0185,11.7436,11.1625,11.6404,11.6674,11.785,10.4982,11.1769,11.0552,10.9598,10.7327,10.9955,11.49,11.593
new_931808_931878,10.5345,11.5979,10.5945,9.4044,9.805,9.7971,9.85,10.4029,10.2707,10.1944,10.4289,9.849,10.2646,10.3019,10.1937,10.29,10.0864,9.8428,10.515,9.689,9.6362,10.4164,9.8905,10.3019,10.0566,10.2399,9.0588,9.71,9.5878,9.5678,9.3812,9.8599,10.1222,10.3818
BSU08610,10.3031,10.8285,10.3429,9.6766,9.7856,9.616,9.9197,10.2947,10.2274,10.1149,10.3435,9.7828,10.2545,10.0517,10.1014,10.188,9.9949,9.858,10.3217,9.4363,9.5099,10.3811,9.896,9.9225,9.6682,9.9413,8.9632,9.6916,9.5571,9.5072,9.4117,9.8399,10.2286,10.4204
BSU08620,10.9763,10.7992,10.9091,10.6152,10.4461,10.5562,10.8732,11.1436,11.0475,10.9434,10.817,9.8973,10.3958,11.1966,10.8864,11.0002,10.9209,10.8217,10.8728,10.1118,10.1581,10.9395,9.8552,11.0103,11.0182,11.1104,10.015,10.58,10.4373,10.2384,10.0915,10.2483,10.5476,10.4021
new_935441_935588_c,11.5349,10.773,11.4422,10.8726,10.7238,10.7146,11.2344,11.3489,11.3068,11.3167,11.4545,10.3946,10.6268,11.2203,11.7164,11.1672,11.3277,11.2309,10.9869,10.1615,10.2533,11.324,10.2977,11.3418,11.0678,11.3065,10.0275,11.1992,10.3953,10.2382,9.9887,11.0508,10.7258,11.2795
new_935578_935655,11.4485,11.1455,11.5312,11.0241,11.3524,11.1108,11.3223,11.4322,11.7515,11.7202,11.9419,11.0011,11.0755,11.2671,11.6252,11.2217,11.609,11.286,11.6088,10.5825,10.7929,11.3996,10.6221,11.0379,11.0362,11.4575,10.0744,11.1552,10.8415,11.0283,10.4974,11.4289,11.0239,11.467
BSU08630,10.8799,10.8,11.0876,10.649,10.7067,10.4365,10.8834,11.2302,11.0924,11.1448,11.2183,10.4302,10.6267,11.0172,10.9817,10.7369,10.739,10.5512,10.8928,10.0203,10.0846,10.9901,10.0795,10.7432,10.738,10.8243,9.895,10.6605,10.4738,10.4141,10.2967,10.7906,10.8083,10.9147
new_936766_937078,13.0543,12.7432,13.1716,12.2872,12.341,12.3647,12.652,13.2298,12.9955,12.9101,13.0801,11.8266,12.7215,13.1496,13.4033,12.7789,12.8071,12.4872,13.2721,11.8964,12.051,12.939,11.6209,13.0565,12.7333,12.5004,11.5623,12.5473,12.3654,11.8638,12.004,13.2976,12.7259,13.2879
BSU08640,8.1428,7.1548,7.3176,7.352,7.6465,6.8635,6.9821,6.8438,6.8946,6.6455,6.9799,7.8832,7.484,7.2334,7.4441,6.6718,6.4616,7.2137,6.8382,6.5851,7.3659,7.6466,7.4453,7.3696,6.6175,6.8991,6.6478,6.9732,7.191,7.6058,7.4908,7.445,8.0942,7.3897
BSU08650,12.6715,12.623,12.8689,12.219,12.3148,11.9873,12.5021,13.0361,12.8178,12.6515,12.8804,11.9024,12.3877,12.8149,12.668,12.4921,12.6685,12.2221,12.7203,11.6847,11.7312,12.7698,11.5578,12.4439,12.4124,12.5076,11.566,12.3078,12.1314,11.7788,11.9101,12.2459,12.4314,12.4001
BSU08660,13.9224,13.8444,14.0558,13.865,13.7321,13.5171,14.0332,14.4585,14.2318,14.2442,14.1488,13.4572,13.8146,14.1193,13.7371,13.6866,13.9324,13.6423,14.1926,12.9378,13.0892,14.2008,12.8615,13.6475,13.7328,13.9802,12.9083,13.9145,13.6563,13.85,13.2908,13.2314,14.0606,13.5991
BSU08670,9.2881,8.9121,9.3751,9.3484,9.5254,9.1037,9.4683,9.3591,9.3772,9.2994,9.4479,9.0542,9.3232,8.7415,8.7506,8.6935,8.6376,8.8411,8.5823,7.6951,7.9199,8.989,10.4845,9.3736,9.1343,9.6454,8.4786,9.3134,8.9653,9.0426,8.9189,8.5328,9.1633,8.6633
new_938656_938730,13.5955,13.1357,13.342,13.2056,13.1398,13.0956,13.4106,13.5389,13.602,13.2777,13.4639,12.3018,12.8554,13.2489,13.8363,13.5006,13.531,13.5263,13.3702,12.5889,12.6095,13.0082,12.493,13.3776,13.2113,13.5512,12.2736,13.4077,12.6217,9.799,12.2312,12.8851,12.6367,12.9608
BSU08680,12.7714,12.4545,12.6543,12.5951,12.2785,12.2854,12.7679,12.718,12.8808,12.435,12.76,11.3517,12.0458,12.7061,12.504,12.7944,12.6585,12.8845,12.4275,11.8379,11.6798,12.3476,11.7103,12.7721,12.5345,12.6451,11.6554,12.4997,11.9541,12.0164,11.6629,11.7932,11.8328,11.9015
BSU08690,11.0791,11.2891,11.18,10.5759,10.5842,10.5333,10.8361,10.9881,11.122,10.8664,11.1115,10.2936,10.5119,10.9107,10.9614,10.8233,10.8061,10.6585,10.7366,10.0978,9.9953,10.8716,9.8872,10.5875,10.5836,10.7737,9.7451,10.3714,10.1182,9.9409,9.9538,10.4176,10.7805,10.688
BSU08700,11.545,11.5408,11.5381,10.7941,10.7762,10.7106,11.4317,12.025,11.6327,11.5754,11.6211,10.7639,11.074,11.5022,11.1735,11.0045,11.2681,11.4086,11.9726,10.8592,10.6768,11.9222,10.0409,11.0853,11.0526,10.9262,10.1167,11.2287,11.1534,10.9601,10.6648,11.0372,11.3925,10.9562
new_942230_942320_c,12.2823,11.8639,12.2197,11.2826,11.1636,11.0015,11.8669,12.4074,12.2237,12.2519,12.1067,10.8422,11.6754,11.9516,11.9068,11.6731,11.7874,12.1659,12.5514,10.9804,11.122,11.9597,10.6724,11.7156,11.6428,11.6709,10.6275,11.8359,11.5136,10.9624,10.7916,11.7997,11.5057,11.9559
BSU08710,12.1381,12.0617,12.1339,11.6847,11.8133,11.5025,11.9511,12.549,12.2214,12.2689,12.3419,11.4097,11.8127,12.3267,12.1225,12.0776,12.107,11.9004,12.2597,11.3974,11.3002,12.2514,11.3061,11.9323,12.029,12.1923,11.0258,11.8116,11.4044,11.6255,11.1455,11.7032,11.7048,11.9567
