Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
new_17238_17833_c,9.1881,9.0454,8.3697,7.8465,7.9981,7.7125,7.4763,8.0316,7.4634,7.3102,7.3161,7.9538,8.0143,8.3732,7.7275,7.7532,7.3115,7.6889,7.869,7.1622,7.3343,8.4206,7.3823,8.4087,7.6354,7.9153,7.6201,7.7606,7.564,8.2401,8.0178,7.641,8.7317,7.6132
new_17453_17533,14.2348,13.8286,14.2829,13.5648,13.3831,13.4804,13.9884,14.5511,14.3914,14.4367,14.2209,13.1654,13.9717,13.9262,14.4741,13.9031,13.954,14.1086,14.3238,12.9893,12.9989,14.2847,14.0701,13.7935,13.6367,13.8576,12.7729,13.8722,13.6218,13.1656,12.9368,14.039,14.3289,14.3802
BSU00100,14.1664,14.0553,14.1023,13.4889,13.5053,13.5565,13.9143,14.5623,14.1436,14.1049,14.1033,13.2796,13.6915,13.9708,14.1938,13.674,13.8523,13.7638,14.1808,13.1461,13.1904,14.2897,13.6493,13.659,13.4966,13.7014,12.7306,13.6891,13.5864,13.1811,13.1279,13.945,14.0509,14.0458
new_18866_18974,13.8215,13.5124,13.5718,13.0247,12.815,12.7912,13.3752,13.8423,13.6839,13.548,13.5113,12.4651,13.0657,13.7785,13.993,13.2355,12.8615,13.0873,13.2621,12.7567,12.4135,13.4603,13.2032,13.0607,13.1014,13.2913,12.2923,13.0375,12.4881,12.6898,12.0259,13.7377,13.1799,13.6408
new_18976_19061,15.1341,14.9604,14.8604,14.2495,12.9013,13.9011,14.5375,14.078,14.8801,14.7496,14.834,12.6441,14.8245,14.7132,15.6151,14.7135,13.9892,13.8534,15.3212,14.0429,13.7416,14.7197,14.525,14.9655,14.674,14.4579,13.83,14.6054,14.3177,12.9808,13.1933,15.119,13.6348,15.1953
BSU00110,15.098,15.1793,15.3161,14.5593,14.6033,14.4174,14.6284,15.3346,15.039,15.0194,15.0402,14.0938,14.8686,15.4483,15.4827,14.8118,14.8228,14.4073,15.1923,14.2712,14.1701,15.1309,14.3792,15.017,15.0508,14.8005,13.8583,14.3664,14.5771,14.3633,14.3656,14.9497,14.7759,14.8699
new_19194_19923_c,7.3354,7.5065,7.877,7.0318,7.5812,6.8774,6.6786,6.7221,6.9041,6.6576,7.0061,7.9128,7.5033,6.7114,7.3176,6.7714,6.7098,7.5725,6.8529,6.5247,6.8686,7.5805,6.751,7.2707,6.5606,7.1299,6.9209,7.1237,7.2297,7.6899,7.309,7.4365,8.0343,7.0729
BSU00120,15.1775,15.3877,15.3601,14.8011,14.6569,14.5355,14.8401,15.6552,15.1442,15.1676,15.2553,14.2057,14.8984,15.6325,15.4289,14.9523,14.955,14.4044,15.3411,14.1627,14.1562,15.3791,14.4333,15.0774,14.9954,15.0478,13.9369,14.5341,14.5894,14.0957,14.3023,15.094,14.9438,15.1024
BSU_misc_RNA_1,14.6181,14.2111,14.1164,13.9691,13.7968,13.7538,14.1111,14.7218,14.5411,14.3556,14.5143,13.4759,14.1132,14.2233,16.0299,13.8563,13.8852,13.9581,14.6376,13.5729,13.3546,14.1987,13.2131,14.2171,14.0343,14.0244,12.923,14.0229,13.9573,13.6575,13.8467,15.5601,13.5769,15.6372
BSU00130,12.8564,12.7332,12.6856,12.3063,12.3137,12.0795,12.705,13.3073,12.9345,12.9501,13.1049,12.126,12.6805,12.856,12.6962,12.5126,12.6609,12.4154,12.9183,12.137,12.1077,13.0745,12.0602,12.5023,12.3186,12.433,11.3579,12.2457,12.2467,12.1179,11.9755,12.4765,12.8034,12.7407
new_22452_22529,10.5242,10.5052,10.3202,8.5343,8.098,8.1218,8.7445,8.9841,9.0771,8.9268,8.8903,7.9171,8.4011,9.006,8.998,8.7345,8.3012,8.4183,8.8729,7.7136,7.9696,8.98,7.5091,9.1918,8.8914,8.9844,7.7418,8.7285,8.4226,8.3786,7.7938,8.6942,8.9921,8.0623
BSU00140,11.3536,11.3071,11.5626,11.1254,11.1217,11.1114,11.3627,11.5866,11.7238,11.6348,11.6484,10.6663,10.8658,11.4309,11.8117,11.4552,11.3847,11.331,11.3957,10.7154,10.5857,11.5322,10.3884,11.1126,11.1577,11.3563,10.3962,11.0713,11.0607,10.5936,10.8413,11.291,11.3296,11.4469
new_22531_23167,9.412,9.7722,9.3065,7.5857,7.8694,7.5985,7.6868,7.8552,7.7253,7.612,7.7816,7.8382,7.9978,7.9927,8.2206,7.6646,7.6331,7.939,7.9394,7.2794,7.115,8.1878,7.0114,8.2141,7.7696,7.9292,7.5727,7.7551,7.9967,7.9409,7.6335,8.0051,8.635,7.8973
