M0t45_1,M0t45_2,M0t45_3,M0t90_1,M0t90_2,M0t90_3,M40t45_1,M40t45_2,M40t45_3,M40t90_1,M40t90_2,M40t90_3
BSU09410,8.8229,8.4338,9.0183,8.3955,8.9767,8.8177,8.7543,8.8112,9.0894,8.58,9.0496,8.8588
new_1018497_1020028_c,9.6425,9.6837,9.8381,8.7111,9.807,9.3111,9.2171,9.4475,10.4857,8.7214,9.3965,9.0942
new_1018650_1018937,9.8446,10.3678,10.0831,9.4111,9.7505,9.7285,9.2699,9.1836,10.3107,9.1668,9.8536,9.404
BSU09420,12.5624,12.5933,13.0767,12.111,12.6847,12.9154,12.1302,12.9016,13.2866,12.5838,12.9487,13.3236
BSU09430,10.7717,10.1116,10.9177,9.4304,10.106,10.0032,10.2176,10.8586,11.0716,9.5543,10.1777,10.3998
BSU09440,9.6633,9.6879,9.9495,8.5451,9.084,8.9724,9.5175,10.0209,10.0419,8.9131,9.2366,9.3481
BSU09450,9.5773,9.3979,9.7723,8.4384,8.981,8.7761,9.2285,9.6788,9.6423,8.7221,9.0175,9.0438
new_1023253_1023349,7.5741,8.8454,7.2105,8.9359,8.5241,9.5216,7.7892,8.0376,7.3745,8.9468,8.8477,9.3959
BSU09460,7.2325,7.9932,6.8488,8.7546,8.2016,9.3822,7.4838,7.8061,6.7612,9.1686,8.3515,9.129
BSU09470,9.6361,11.1612,10.3851,8.2541,9.7595,8.711,9.4906,8.7559,10.7791,8.5287,9.5843,9.1974
BSU09480,8.7375,8.9821,9.2931,8.4001,9.1034,8.7314,8.5696,9.0271,9.3637,8.7333,9.1519,9.0672
BSU09490,9.4588,10.1426,9.7566,10.1473,10.3354,10.2372,9.3589,10.421,9.9088,10.5931,10.7309,11.1019
BSU09500,10.6158,11.5328,10.5607,9.1862,9.7087,9.347,10.1268,9.7056,10.8283,9.2954,9.7861,9.7071
BSU09510,11.229,12.1809,11.5949,9.6506,10.6384,10.1271,10.9707,10.2957,11.6726,9.7532,10.5649,10.2515
BSU09520,10.6345,11.8554,11.2784,9.2424,10.2057,9.633,10.282,9.9007,11.4927,9.0461,9.9988,9.739
new_1030069_1030171_c,10.6124,11.3279,10.778,9.1151,9.6312,9.3451,10.1079,9.3766,11.2571,8.8,9.7134,9.5167
BSU09530,8.5524,9.022,8.8642,7.9245,9.0071,8.3664,8.5162,10.1071,8.9175,8.1807,8.9869,8.6046
BSU09540,12.4751,13.6088,12.9613,10.7444,12.1925,11.433,12.0306,12.4624,13.028,11.2202,12.3333,11.9474
new_1032054_1034008,8.0363,9.6299,8.1093,7.7127,8.3639,7.6618,7.992,8.6031,8.2128,7.5288,7.6395,7.6392
BSU09550,13.3483,13.294,13.7093,12.42,13.8343,13.3711,13.2105,13.0385,13.8562,12.9543,14.0473,13.9824
BSU09560,13.314,12.8565,13.2601,12.4817,13.5197,13.4238,13.0379,13.0792,13.5177,12.8819,13.8374,13.8086
BSU09570,11.6777,11.3929,11.7494,10.2596,10.6002,11.0105,11.5228,10.597,12.0612,10.6724,10.7479,11.3508
new_1035257_1035395,9.1554,8.3463,8.9688,8.6749,8.3788,9.1259,9.233,9.174,8.7087,8.9125,8.6041,9.4696
new_1035397_1035553,12.817,13.0006,12.9424,13.399,14.6425,14.544,12.5814,13.9282,13.2549,14.2572,14.9406,15.3915
BSU09590,12.6712,13.0519,12.9125,13.6934,14.7741,14.3804,12.5671,13.8197,13.0887,14.0836,14.7869,14.943
BSU09600,10.6813,10.017,10.7934,8.8121,10.0243,9.4091,10.1526,9.946,11.0402,9.0669,9.7692,9.3386
BSU09610,10.9,10.4566,11.2779,9.4525,10.5741,10.1469,10.5618,10.4064,11.7045,9.566,10.1908,10.0368
BSU09620,11.1687,10.7173,11.6812,9.7503,10.7472,10.17,10.8617,10.5639,11.8629,9.902,10.5472,10.0165
new_1038543_1038616,7.1466,7.1888,6.5384,7.3837,6.8019,6.908,7.2949,7.0711,6.4005,7.0473,6.7143,6.8678
BSU09630,9.6151,7.871,9.5647,10.4083,11.7072,11.6582,8.6449,9.5507,9.6117,10.9382,12.1036,12.1084
new_1038761_1038814,9.5317,7.884,9.5579,10.399,11.8769,11.7152,8.5129,9.6923,9.6575,10.909,12.1532,12.2104
BSU09640,9.7487,10.7232,10.5129,8.7948,10.4887,9.7391,9.5298,9.5096,10.7505,8.7172,10.0343,9.8139
BSU09650,11.0571,10.7194,11.3249,10.574,11.5449,11.1999,10.9124,11.9348,11.4726,11.1698,11.6993,11.8941
BSU09660,11.7628,12.1492,11.8438,10.4361,11.9125,10.9303,11.0678,10.9726,12.0774,10.7073,11.5567,11.1212
new_1041710_1041809_c,12.6154,13.1724,12.9926,11.5221,12.6854,11.6852,12.0587,12.0179,13.1866,11.6822,12.766,12.4688
new_1041733_1041928,8.9018,8.9444,8.9112,8.6381,8.5645,8.7166,8.872,9.4586,8.3925,8.754,8.9945,9.1208
new_1041930_1041993,12.7901,11.916,12.7544,13.6791,14.5061,14.5566,12.5954,13.5986,12.5394,14.3867,14.7106,14.8571
BSU09670,12.4581,11.4327,12.2877,13.5664,14.1628,13.9664,11.9462,13.3129,12.2809,14.0768,14.4056,14.4133
BSU09680,11.5387,10.747,11.9555,7.3674,7.4979,7.1484,11.2198,9.4251,12.4029,7.1648,7.4833,7.3974
new_1044247_1044317_c,10.9628,9.5593,9.7731,7.5987,7.7779,7.4385,10.7103,8.7952,10.619,7.3784,7.7125,7.6537
BSU09690,7.289,8.3535,7.3013,7.7933,8.8305,8.0214,7.8795,9.1921,7.0194,8.1334,8.7255,8.2923
new_1044967_1045036,12.4234,10.2325,11.3131,11.8257,11.9359,11.1097,11.1811,12.7138,11.5555,12.299,11.3959,12.6469
BSU09700,12.5617,10.6864,12.3185,11.4992,13.1943,13.2913,10.9154,12.968,12.1611,12.2793,13.3401,13.2294
new_1045199_1045317,10.3413,9.7991,9.7577,10.4369,11.0435,10.9062,10.5704,10.5021,9.9987,10.8326,11.4841,11.2112
BSU09710,9.9284,9.8388,9.7771,10.0573,11.2224,10.8236,10.0854,10.5762,10.0328,10.5206,11.2739,11.0873
BSU09720,9.9692,9.7754,9.6377,10.0138,11.1567,10.6775,9.9113,10.5913,9.823,10.5453,11.2094,10.8891
BSU09730,11.0556,11.2907,11.5037,10.3959,11.5022,11.089,10.4913,11.1174,11.6041,10.4627,11.3432,11.4523
BSU09740,6.9756,6.6912,6.6456,7.4064,6.7058,6.9825,7.2609,7.15,6.4115,7.1377,6.8041,6.8225
BSU09750,7.4821,7.199,7.3247,7.6793,7.5564,7.5802,7.5547,7.7609,7.2334,7.5903,7.7803,7.9358
new_1050235_1050345_c,7.4654,7.1494,7.2953,7.666,7.3898,7.5323,7.5684,7.7244,7.1941,7.6159,7.7588,7.8769
BSU09760,8.747,7.7567,7.9777,8.2852,8.6989,8.485,7.8353,9.1419,7.8349,8.064,8.5006,8.9734
BSU09770,7.1979,7.7135,7.26,7.3633,7.0269,7.1044,7.4906,7.2417,7.2524,7.1395,7.1445,7.0327
BSU09780,7.0833,7.0093,6.7464,7.3591,6.7956,6.9217,7.3524,7.1809,6.607,7.1709,6.9027,6.9777
new_1053254_1053359_c,7.0117,7.2897,6.694,7.3505,6.7503,6.889,7.5083,7.2869,6.643,7.0422,6.879,6.8888
BSU09790,11.7995,12.1825,12.305,10.3449,11.4915,11.1462,11.5632,11.115,12.3862,10.5377,11.346,11.5814
new_1054654_1054745,12.1943,12.5405,12.5454,10.2631,11.7117,11.3156,11.6984,11.4649,12.5667,10.5439,11.4488,11.5734
BSU09800,12.3828,12.7623,12.3985,9.9973,10.5771,10.0957,11.5536,11.6506,12.3138,9.9042,10.5402,10.6404
BSU09810,10.0144,10.0415,10.5903,9.0775,10.1877,9.9413,13.065,14.0455,13.8782,12.9799,14.0653,13.9314
new_1056384_1056537,13.5703,13.2756,13.8993,14.4784,15.4459,14.9912,13.5242,15.3645,13.6081,14.8285,15.8181,15.6196
new_1056539_1056622,11.071,11.722,12.2792,11.3773,14.3697,13.8469,12.4115,14.4651,12.1951,12.9108,13.0701,13.934
BSU09830,9.6239,8.7792,9.1872,9.3453,10.8649,9.8991,9.955,10.4917,8.9767,9.2896,10.3989,9.954
BSU09840,9.902,10.7115,10.4451,8.5454,9.3024,8.5651,9.9995,9.0835,11.0172,8.7736,9.4783,9.2567
BSU09850,8.9422,9.5486,9.6253,8.4063,9.5308,9.2606,9.0232,9.4068,9.8588,8.765,9.4941,9.4235
BSU09860,10.007,10.1597,10.6655,9.5047,10.5408,10.4535,9.9027,10.5893,10.7378,9.7438,10.6843,10.6881
BSU09870,10.3683,10.828,10.9629,10.3908,11.6014,11.2527,10.4017,11.2668,11.1293,10.8821,12.0323,11.7847
BSU09880,8.6545,9.6896,9.3385,11.5901,12.8603,12.6691,8.8681,11.5993,9.4954,12.4488,12.9962,13.2959
BSU09889,8.0695,8.0466,8.3477,8.4342,9.5615,9.1472,7.8844,9.2876,8.3151,8.6388,9.2706,9.1784
BSU09890,10.0382,11.8888,10.632,9.051,10.2265,9.5067,10.2585,9.7911,10.9147,9.5907,10.4511,10.3546
BSU09900,10.1451,11.5636,10.3791,8.8085,9.8701,8.9982,10.0409,9.7698,10.6037,9.2234,9.8721,9.7925
BSU09910,10.5928,10.953,11.0659,9.3445,10.4126,10.4134,12.3382,12.888,13.3157,12.0428,12.5793,13.1101
BSU09920,11.5766,11.7977,11.9578,10.5071,10.9591,11.1271,13.4709,13.802,13.7198,13.2559,13.4987,14.0388
BSU09930,13.1259,13.3406,13.5244,12.1709,13.0031,12.9072,13.9266,14.5159,14.3871,13.791,14.206,14.5559
BSU09940,9.1075,9.7761,9.1436,8.4158,9.0154,8.6525,9.0704,8.6153,9.6212,8.8029,9.4656,9.8394
BSU09950,15.4837,15.2028,15.2966,14.5623,14.6762,14.6801,14.9344,14.6514,15.5943,14.3984,15.0658,15.2447
BSU09958,7.012,8.3096,6.7379,7.3565,6.8064,6.9799,7.3926,7.1642,6.5434,7.0221,6.853,6.9055
new_1071489_1071740,7.024,7.9893,6.8149,7.3589,6.744,6.9767,7.3139,7.1756,6.5304,7.0263,6.8204,6.9656
new_1071709_1071971_c,12.7486,12.9952,13.2526,11.7921,12.8634,11.9626,11.746,12.3612,12.9016,11.4691,12.5037,12.4022
new_1071742_1072225,7.4579,7.8026,7.2619,7.4983,7.5359,7.423,7.4938,7.572,7.205,7.2473,7.3586,7.3953
new_1071973_1072041_c,10.9381,11.7957,11.8703,9.9262,12.1431,10.8178,9.9609,10.4337,12.0717,9.8763,11.4386,11.2926
BSU09965,10.7123,11.4689,11.4031,9.8298,11.4118,10.4117,9.6773,10.1039,11.7942,9.644,11.1095,10.7338
BSU09980,12.1549,11.9229,12.6657,11.4282,12.4447,12.0728,11.7045,12.2357,12.4174,11.4193,12.3833,12.6666
new_1072963_1073105_c,11.3253,10.7042,10.8704,11.6579,11.6703,12.2691,10.7439,12.3275,10.7724,11.745,11.8782,12.3271
BSU09990,12.4822,12.1881,12.6475,12.234,12.8316,13.2425,11.9074,13.7104,12.6745,12.4108,12.7793,13.1114
new_1073110_1073875,10.68,10.81,11.23,9.82,11.54,10.58,10.46,10.85,11.34,10.06,11.34,11.34
BSU10000,14.3793,13.2443,14.1423,13.5183,14.1327,14.0708,13.7198,14.5974,14.154,13.6,14.2739,14.3118
new_1074350_1074613_c,11.3214,10.3178,11.1268,10.2029,10.8071,10.5988,11.1613,10.6344,11.5353,9.9791,10.8787,10.86
BSU10009,7.8491,8.6377,7.4649,7.5052,7.1427,7.2301,7.8766,7.3742,6.9829,7.0754,7.1156,7.2515
new_1074573_1076008,7.2306,7.8712,7.0489,7.4585,7.1557,7.0959,7.3681,7.5933,6.8411,7.1284,7.0694,7.1887
BSU10010,14.7611,13.5412,14.4691,12.8434,14.0781,13.7997,14.2718,14.0691,14.7344,13.5123,14.1534,14.2471
new_1075165_1075252_c,15.0427,13.755,14.7336,13.0138,14.4339,14.1028,14.6599,14.3315,14.6912,13.6827,14.3692,14.5031
BSU10020,15.0273,13.4006,14.6048,12.8582,13.1819,13.3778,14.6793,13.5911,14.5883,13.2663,13.4682,14.012
new_1076420_1076501_c,10.091,10.6603,10.5614,9.4266,9.3953,9.6772,9.8553,9.3127,10.5324,9.6682,10.0214,11.0244
BSU10030,13.8441,13.9961,14.153,12.6308,13.4919,13.4029,13.3358,13.4714,14.1799,12.8946,13.5362,14.0485
new_1077024_1077320_c,7.0794,7.356,6.845,7.4075,7.126,7.049,7.3271,7.2402,6.6715,7.1463,6.9659,7.0573
BSU10040,12.858,11.9335,13.0761,12.0732,13.013,12.9209,12.2901,12.5649,13.0739,12.4131,13.053,13.247
BSU10050,12.7262,12.0959,12.7794,11.5461,12.7214,12.5798,12.2735,12.315,12.8842,12.1163,12.723,12.8076
BSU10060,12.2169,11.6332,12.1373,10.8925,12.3128,11.9977,11.3513,11.7828,12.4702,11.1621,11.9852,12.0595
BSU10070,11.5799,10.6153,11.458,12.0885,12.2353,13.1887,11.4533,11.9678,11.4784,12.8882,12.6122,13.1826
BSU10080,7.1685,7.0405,6.9259,7.3078,6.9982,7.2947,7.3356,7.0627,6.8078,7.2099,7.2682,7.4634
BSU10090,8.2108,8.2295,8.1325,7.9887,8.2746,8.4297,7.9891,7.7424,8.4972,7.8699,8.5492,8.7217
BSU10100,13.1121,12.7826,13.4018,12.1972,13.2312,12.9755,12.6891,13.3648,13.3038,12.8987,13.5179,13.6694
BSU10110,9.7261,10.0448,9.9579,8.6709,9.6284,9.1768,9.5637,9.0697,10.2428,9.0359,9.6435,9.5168
BSU10120,15.3002,13.1668,15.149,13.7183,14.8156,14.1392,15.7589,13.0948,16.0786,15.3068,16.18,15.7655
BSU10130,15.2088,13.1105,15.1622,13.8865,14.9585,14.439,15.3621,13.4488,16.0701,15.3181,16.0724,15.4629
BSU10140,14.5368,12.1674,14.4148,12.5988,14.1114,13.5245,14.6745,12.5609,15.1956,14.5729,15.2992,14.8623
BSU10150,10.0394,11.4488,10.4027,8.7846,9.6356,8.8732,9.8663,9.7602,10.7457,9.0617,9.6937,9.5895
new_1090331_1090400,10.0874,11.7032,10.6122,8.7965,9.8276,9.0677,9.9772,10.3303,10.9266,8.8157,9.7398,9.7404
BSU10160,10.0277,11.4888,10.0591,8.674,8.9101,8.347,9.9562,10.195,10.175,8.6708,9.0136,8.864
BSU10170,8.8489,10.9502,8.9093,7.7129,7.6687,7.9156,9.5007,9.4894,9.5988,9.0419,9.0576,9.3804
BSU10180,8.8854,8.8562,9.3217,9.1866,10.2747,10.3231,8.9089,9.797,9.3973,9.6866,10.3122,10.6775
new_1094366_1094987_c,7.0158,7.0308,7.0859,7.3135,6.8072,7.1343,7.1851,7.1997,6.8583,7.025,6.8259,7.2664
new_1094651_1095022,9.4023,9.3531,10.0029,9.6699,10.8665,10.773,9.1646,10.4916,10.0102,10.1875,10.7631,11.2249
BSU10200,12.4179,12.4502,12.5913,12.74,13.1697,13.412,12.2922,13.371,12.4299,13.1889,13.5642,14.2026
BSU10210,11.9049,11.5327,11.7418,12.0256,12.7142,12.8064,11.417,12.7122,11.5244,12.3345,12.8669,13.1894
BSU10220,13.3259,14.0199,13.753,11.954,12.7195,12.9907,13.0739,13.5945,13.9121,12.2009,12.4588,12.7878
new_1097850_1097950_c,12.8096,13.4869,13.3727,12.2123,13.2278,13.2128,12.6337,13.3009,13.7083,12.0777,12.7785,13.2201
new_1097952_1098088_c,7.6388,8.9147,7.0185,9.8364,10.0372,9.729,7.7768,8.1175,6.7713,9.707,10.5538,10.5209
BSU10230,7.7995,9.1166,7.5663,10.0055,11.327,10.5384,7.7996,8.9874,7.4025,10.8309,11.5724,11.7878
BSU10240,12.6251,13.413,13.2545,11.1498,12.1856,12.1084,12.5699,12.272,13.37,11.7171,12.2312,12.9077
BSU10250,12.3731,13.0082,12.7707,10.8932,11.6822,11.7455,12.1226,11.7684,12.9109,11.35,11.7697,12.4979
BSU10260,12.803,13.1508,13.0033,11.4407,12.4718,12.3771,12.2913,12.5889,13.1615,12.0287,12.5501,12.9944
BSU10270,8.5715,8.8154,8.9485,9.5166,11.1457,9.9422,8.5013,9.1825,9.2328,9.9523,11.3979,11.2073
BSU10280,7.5527,7.5828,7.5211,7.5044,7.3252,7.3268,7.6195,7.4256,7.5714,7.3184,7.3334,7.3263
BSU10290,8.6415,8.4454,8.8352,8.3438,8.9884,8.6518,8.5785,9.187,9.0115,8.5853,9.0648,9.1038
BSU10300,9.1157,8.2564,9.0497,10.3074,11.1319,10.8498,8.9251,9.8686,8.8484,10.6464,11.4291,11.1655
new_1105569_1105635_c,8.4027,8.4897,9.9994,7.9724,11.7489,11.7436,9.7292,9.7328,9.7817,11.8638,12.828,12.6738
BSU10310,10.5224,11.2481,10.9691,9.0813,9.7438,9.6123,10.3111,10.5706,11.1062,9.0874,9.7022,10.1631
BSU10320,11.5482,11.3819,11.6887,10.0802,10.8493,10.8519,11.1839,11.1049,11.7145,10.5695,11.1126,11.4102
new_1107562_1107672,10.0178,10.5588,10.5156,8.4531,8.3961,8.7824,9.8814,9.2156,10.6953,8.2204,8.7104,9.1917
BSU10330,12.7183,14.1581,13.6998,10.8474,10.594,11.9128,11.8508,11.7373,13.8447,10.6824,10.9034,11.7674
BSU10340,11.9471,10.9678,11.7861,10.6147,11.3933,11.3007,11.1976,11.4583,11.9642,10.8247,11.2633,11.6361
BSU10350,9.7893,9.7378,9.9506,8.9798,9.1547,9.2888,9.596,9.5217,9.9523,9.4506,9.5107,9.9199
BSU10360,9.3189,9.2992,9.5277,8.532,8.967,9.015,9.1753,9.3146,9.4759,8.9679,9.1762,9.6454
BSU10370,7.2887,7.0786,7.0255,7.3477,6.9462,7.1062,7.3752,7.2143,7.0453,7.0681,7.0132,7.1505
BSU10380,13.2189,12.5424,12.8587,12.7819,13.3485,13.0645,12.7781,13.2444,12.9033,12.8016,12.9702,12.6006
BSU10390,7.1353,6.7808,6.8387,7.4001,6.9438,7.1627,7.3513,7.271,6.6783,7.197,7.0126,7.1486
BSU10400,7.2803,7.0457,7.0481,7.4491,7.14,7.1796,7.4574,7.4007,6.8556,7.0585,7.1989,7.3561
BSU10410,9.8731,9.4636,9.1512,11.8548,11.8427,12.9437,9.2329,12.7243,9.249,11.97,11.9027,12.4747
new_1116857_1117712_c,7.1823,7.3173,6.852,7.4465,6.9438,7.0023,7.3272,7.3443,6.6955,7.1177,7.0353,6.8904
BSU10420,11.2738,10.4811,10.6381,10.204,11.1229,10.6493,10.6518,11.4663,10.6246,10.4893,11.1662,10.5612
new_1117688_1117833,9.7891,9.2578,9.2163,8.9915,8.4764,8.5196,9.5264,9.0873,9.1978,8.5812,8.6087,8.3416
BSU10430,7.3566,7.4802,7.2434,7.4524,7.2646,7.338,7.4739,7.492,7.2006,7.3164,7.5061,7.4944
new_1117924_1118790,9.5936,9.2043,9.2339,8.0594,8.6735,8.3246,9.2345,8.7285,9.1468,8.2129,8.4776,8.2053
BSU10440,13.8863,14.8298,13.899,14.1985,15.0037,14.7583,13.2942,14.881,14.2022,14.4606,15.0436,15.3997
BSU10450,7.443,7.8833,7.1005,8.7108,8.4289,9.3766,8.1952,8.7912,8.2649,9.9311,10.0992,10.33
BSU10460,7.5149,7.8644,7.0682,8.641,8.4413,9.3773,8.4583,8.9573,8.6256,9.7741,10.1945,10.6078
new_1120829_1120947_c,7.4845,7.9055,7.0827,8.647,8.4452,9.6761,8.5607,9.6626,9.1323,10.056,10.9829,11.2521
BSU10470,7.556,7.7065,7.556,7.4834,7.3558,7.409,10.5188,11.696,11.8398,10.7667,12.2251,12.2524
new_1121267_1121506,7.6676,7.7045,7.7143,7.7069,7.9454,7.7322,7.6698,8.0226,7.5809,7.6255,7.8046,7.7809
BSU10480,10.6447,10.6913,11.1983,10.1074,11.7725,11.2114,10.5575,11.021,11.466,10.6508,11.6359,11.5207
BSU10490,10.799,10.7098,11.1112,10.1278,11.7399,11.1149,10.3409,10.9138,11.1776,10.5295,11.4635,11.3778
new_1122762_1122861,8.8595,9.8369,9.1381,7.8144,8.2419,8.6291,9.0997,9.2186,9.3283,8.5562,8.9781,9.5168
BSU10500,8.5268,9.0698,8.6384,7.6542,7.5633,7.7769,8.603,8.7422,8.7763,8.0801,8.11,8.4176
BSU10510,9.1422,9.3852,9.5229,8.4322,8.9767,8.8302,9.0539,9.8529,9.7347,8.6527,8.9793,9.2563
new_1124979_1125122_c,8.2804,7.9634,8.0971,8.1575,8.4624,8.4548,8.135,8.5208,8.0315,8.0457,8.4741,8.4667
BSU10520,8.1525,8.1639,8.3977,8.1209,8.7646,8.5611,8.1435,8.5644,8.5524,8.1235,8.6695,8.5297
new_1125843_1126369,7.5562,7.2828,7.4729,7.6669,7.5898,7.4566,7.5248,7.5443,7.5429,7.4035,7.5755,7.505
BSU10530,8.8287,8.5323,8.8831,8.6516,9.2905,8.8871,8.5787,9.1419,8.701,8.6929,9.2775,9.2032
BSU10540,8.7095,8.4709,8.7597,8.5859,9.2057,8.9961,8.58,9.253,8.6766,8.7633,9.3458,9.4849
BSU10550,8.1602,8.051,8.3454,8.2892,8.7413,8.4367,8.1742,8.7441,8.2419,8.2283,8.6848,8.9649
new_1128482_1129270,7.1363,6.955,6.8258,7.3623,7.0648,7.1461,7.2733,7.3257,6.67,7.1646,7.0255,7.0537
new_1129272_1129714,10.1835,9.0243,10.2883,10.6288,12.0083,11.7129,9.5788,11.3429,10.66,10.6304,11.847,11.3566
BSU10560,10.6325,9.5522,11.0504,10.9008,12.366,11.7562,10.0528,11.5766,11.0755,11.0658,12.0389,11.5899
new_1130705_1131082,8.6856,8.0428,8.4136,8.3794,9.6359,9.0251,8.2033,8.9718,8.3646,8.1779,9.1286,8.6305
new_1130759_1130917_c,9.6212,11.9812,9.1395,10.2734,10.4726,10.1569,9.5391,10.3518,9.2479,10.7894,10.6494,11.0106
BSU10570,9.2603,11.4273,8.8303,9.8203,10.4719,10.0082,9.0707,10.1948,9.1885,10.9311,10.6572,10.8987
new_1132073_1132144_c,8.8351,10.4665,7.7897,9.7248,9.7297,9.7144,9.0457,10.1142,8.4194,10.5989,10.0915,10.2598
BSU10580,6.945,6.7031,6.6705,7.3045,6.8137,6.9805,7.2298,7.096,6.5623,7.0364,6.9871,7.0787
BSU10590,8.838,9.0032,9.1606,8.3739,8.8429,8.5793,8.8203,9.0758,9.3285,8.5438,8.9872,9.2273
BSU10600,7.1043,7.2499,6.8856,7.276,6.8008,6.9634,7.3216,7.329,6.9466,7.0235,6.9456,7.0945
BSU10610,6.9098,6.8802,6.6274,7.2477,6.6696,6.7906,7.1744,7.058,6.4313,7.0049,6.6966,6.8943
BSU10620,11.7419,11.6449,11.8191,10.6561,11.7465,11.4961,11.6323,11.3882,11.9464,11.2298,12.0097,12.0944
BSU10630,12.251,12.0273,12.2529,11.0679,12.222,11.6511,12.0775,11.9533,12.4627,11.5884,12.3657,12.317
new_1143506_1143576,11.6732,11.8363,11.8441,10.3569,11.5405,11.3643,11.8638,11.3609,12.2124,11.2005,12.045,11.9401
BSU10640,11.7016,11.5888,11.7238,10.4324,11.4464,11.0858,11.7116,11.4061,11.9506,11.1952,11.9803,11.8189
BSU10650,11.9188,11.8801,12.0073,10.8066,11.7981,11.2696,11.9151,11.9291,12.1943,11.5062,12.1973,12.0472
new_1147493_1148466_c,6.9179,7.1379,6.6941,7.2505,6.7489,6.9074,7.1563,7.1227,6.4896,6.9965,6.7607,6.9248
BSU10660,11.639,11.5547,11.4978,10.26,11.5954,10.8832,11.375,11.5781,11.5374,10.7877,11.8011,11.5752
BSU10670,7.3532,7.5929,7.1968,7.6811,7.4465,7.5402,7.5347,7.3691,7.0104,7.362,7.5768,7.4382
BSU10680,7.1407,7.1611,7.0242,7.4742,7.388,7.5413,7.3513,7.312,6.9497,7.3282,7.4385,7.3858
BSU10690,7.1496,6.9507,6.813,7.47,7.3477,7.4969,7.3434,7.2176,6.8713,7.2888,7.4194,7.321
BSU10700,7.4839,7.3772,7.2117,7.5858,7.6368,7.742,7.5463,7.4824,7.0794,7.3941,7.617,7.7473
BSU10710,7.4764,7.2631,7.1776,7.5873,7.6757,7.9493,7.5437,7.5834,7.2354,7.3238,7.6271,7.7698
BSU10720,7.4412,7.2327,7.2968,7.5798,7.9261,8.0234,7.4083,7.6275,7.498,7.3183,7.8395,7.9102
new_1150428_1150514_c,7.4274,7.241,7.4848,7.6046,8.0314,8.0439,7.3733,7.6292,7.5538,7.3496,7.9026,8.0668
new_1150464_1151119,8.4459,7.8068,8.2179,8.9212,9.7356,9.6359,8.5656,10.5574,8.2972,9.0309,9.6331,9.9687
new_1150516_1150645_c,7.2847,6.9775,7.0628,7.6069,7.9428,7.9169,7.3685,7.5821,7.0332,7.3863,7.9362,7.718
new_1150647_1150849_c,7.8596,7.3531,7.7638,8.9404,9.6666,9.3266,7.5363,8.5112,8.1373,8.7739,9.9548,9.3209
BSU10730,8.3935,7.7253,8.6203,8.9889,9.7607,9.4388,7.9423,8.9051,8.8046,8.64,9.8985,9.2896
new_1151069_1151165_c,7.0945,7.0936,6.8038,7.3769,6.8163,7.0013,7.2867,7.308,6.405,7.1692,7.0584,6.9786
new_1151121_1151285,7.1856,7.134,7.0343,7.4584,7.2918,7.3143,7.5342,7.8833,7.1503,7.3017,7.4702,7.3901
BSU10740,6.9446,6.9417,6.5943,7.2527,6.7094,6.9456,7.2348,7.0393,6.381,7.0245,6.8478,6.7072
BSU10750,11.8285,11.6773,12.5333,11.4864,12.7673,12.4032,11.4843,12.2589,12.6697,11.9132,12.577,12.784
new_1153150_1153230,11.5383,11.3786,12.3725,10.8801,12.2637,11.9906,11.0885,12.0931,12.4468,11.5286,12.1701,12.5812
BSU10760,11.5691,12.3883,12.0447,10.6985,12.1259,11.704,11.0556,11.5926,11.987,10.9673,11.7067,12.0579
BSU10770,14.4654,15.2162,14.6543,12.9248,13.1617,13.0627,14.248,14.1607,14.5637,13.5569,13.3587,13.2194
BSU10780,7.1424,7.3572,6.8821,7.3449,6.948,7.0967,7.3547,7.2634,6.8118,7.0923,7.0018,7.0232
new_1157170_1157236,6.9389,6.9989,6.6003,7.2569,6.665,6.8893,7.1796,7.0281,6.4867,6.9358,6.6319,6.6108
BSU10790,6.9398,6.9172,6.654,7.2613,6.6545,6.9085,7.2317,7.0716,6.4934,7.0195,6.7749,6.7692
new_1159082_1159149,6.935,6.8085,6.7111,7.352,6.713,6.9674,7.2608,7.1727,6.5135,7.1164,6.7583,6.7894
BSU10800,8.8401,8.5765,9.3833,9.0373,10.0325,9.83,8.5457,9.7556,9.4307,8.7626,9.6789,9.799
BSU10810,9.3229,9.2327,9.5522,8.6798,9.2881,8.9626,8.9623,9.2798,9.7599,8.782,9.3801,9.4322
new_1160756_1162206,8.9429,9.0051,9.2378,8.4845,9.0647,8.7431,8.8589,8.925,9.3442,8.5779,9.1669,9.1087
BSU10820,7.0242,7.3886,6.9301,7.2515,6.854,6.8788,7.294,7.1737,6.8388,6.9548,6.8739,6.904
BSU10830,10.3672,10.6603,10.909,9.7222,10.6825,10.1967,10.2947,10.7506,10.9192,10.0875,10.786,10.8193
BSU10840,10.3261,10.5557,10.601,9.516,10.4758,10.0096,9.9924,10.288,10.7195,9.9436,10.4467,10.5812
new_1164254_1164369,9.0539,8.9683,9.1183,9.6415,11.0387,11.2358,8.9522,9.5791,9.2734,10.7354,11.4447,11.1561
BSU10850,8.8145,9.021,9.1193,9.465,11.1325,11.1166,8.8223,9.6588,9.2693,10.6348,11.2698,10.9909
BSU10860,10.5856,9.6235,10.6289,12.1554,13.1449,12.9568,9.9587,11.8683,10.4776,12.4497,13.2385,13.1359
