M0t45_1,M0t45_2,M0t45_3,M0t90_1,M0t90_2,M0t90_3,M40t45_1,M40t45_2,M40t45_3,M40t90_1,M40t90_2,M40t90_3
BSU00250,11.9465,12.4864,12.3178,11.2499,12.1835,12.0285,11.5261,12.8116,12.5602,11.4755,12.3403,12.6568
BSU00260,11.8502,12.2561,12.2565,11.2244,11.7417,11.818,11.5758,12.5159,12.4147,11.3699,12.0807,12.3876
new_37639_37719,11.6357,11.771,11.8349,10.4636,11.4547,11.1916,11.2085,11.7838,12.0502,10.8231,11.4993,11.8059
BSU00270,11.0976,11.6636,11.7977,10.0991,11.4779,10.8952,10.8126,11.3882,12.2172,10.3783,11.4333,11.4137
BSU00280,11.2511,11.7904,11.9336,10.1258,11.3398,10.9044,11.2389,11.3729,12.1185,10.5412,11.2992,11.361
BSU00290,13.1913,13.1136,13.4528,12.5325,13.2387,13.2261,13.1249,14.2245,13.6591,12.826,13.4637,13.8856
BSU00300,13.7576,13.9453,14.4484,12.9927,14.0761,13.6557,13.8493,14.9405,14.3644,13.5266,14.144,14.4817
BSU00310,13.4396,13.4203,13.7256,12.1516,12.9227,12.8704,13.2487,13.9487,13.8144,12.3943,13.1913,13.2821
BSU00320,13.4219,13.5934,13.8469,12.1097,13.4348,13.1221,13.2208,13.9596,14.1993,12.4796,13.3249,13.356
BSU00330,14.0507,13.4945,13.6014,12.4645,12.867,12.3436,13.0542,13.7623,13.6867,12.2352,12.7332,12.9604
BSU00340,11.3465,11.8918,11.9103,9.6204,10.6434,9.9699,10.967,10.4905,12.1929,9.4835,10.394,10.409
BSU00350,11.4551,12.0396,12.061,9.768,10.88,10.2846,11.2338,10.922,12.237,9.8703,10.7586,10.8026
BSU00360,11.333,12.0191,12.1207,9.4294,10.578,10.1911,11.0972,10.8311,12.1988,9.8314,10.618,10.6776
BSU00370,12.9323,13.8176,13.2336,10.6192,11.4022,10.7845,12.3246,13.8916,13.1009,10.8306,11.4169,11.6479
new_45224_45399_c,7.6681,9.3603,7.645,7.5928,7.2683,7.4558,7.8058,8.2528,7.7587,7.423,7.5011,7.3505
new_45524_45632,13.5964,13.3207,13.6996,11.023,12.2938,12.3967,13.357,12.7762,13.8688,11.8225,12.7425,13.0438
BSU00380,13.6134,13.7648,14.1095,11.8086,12.8359,12.5085,13.5964,13.3554,14.2089,12.4268,13.0732,13.2622
