SMMPr_1,SMMPr_2,SMMPr_3,LoTm_1,LoTm_2,LoTm_3,BMM_1,BMM_2,BMM_3,Cold_1,Cold_2,Cold_3
BSU00250,12.8261,12.7169,13.1048,11.798,11.8779,12.0253,12.0449,11.8465,12.136,11.7052,11.5338,11.2458
BSU00260,12.24,12.3847,12.648,11.472,11.1091,11.304,11.7925,11.5151,11.6415,11.5656,10.9712,10.8429
new_37639_37719,11.8894,11.9011,12.057,11.2494,10.8236,11.2114,11.7322,11.5778,11.6393,11.535,10.929,10.6017
BSU00270,11.3916,11.3309,11.3605,11.1045,10.6621,11.0448,11.7918,11.5673,11.5495,11.7312,10.8583,10.4125
BSU00280,11.2652,11.2057,11.3374,10.923,10.6294,10.8122,11.8026,11.6679,11.6097,11.825,10.9721,10.4836
BSU00290,12.5634,12.6164,13.0465,12.421,12.3755,12.371,12.9856,12.8699,13.2988,12.7293,12.0922,11.6165
BSU00300,13.181,13.3048,13.7358,13.1178,12.9291,12.9096,13.6151,13.4217,13.7976,13.4009,12.5957,12.1087
BSU00310,12.8646,12.8441,13.0135,12.829,12.4666,12.3889,13.2547,12.9886,13.3722,13.0146,12.3913,11.7635
BSU00320,13.2847,12.9634,13.2136,13.2971,13.0295,12.9829,13.5738,13.4397,13.6695,13.9611,13.0699,12.6254
BSU00330,12.5011,12.3615,12.5546,12.1761,12.326,11.6491,13.0579,12.6187,13.2156,13.235,12.9853,12.4372
BSU00340,10.9206,10.9057,10.8675,11.2754,10.6914,10.8656,11.9559,11.6935,11.9011,12.7948,11.7708,11.2206
BSU00350,11.413,11.3317,11.4974,11.4801,11.3995,11.3365,12.3613,12.1191,12.1959,12.8694,11.9869,11.3547
BSU00360,11.1658,11.1356,11.4301,11.313,10.9149,10.9979,12.127,11.8034,11.8624,12.516,11.7382,11.26
BSU00370,13.17,13.1728,13.383,11.6731,11.6024,11.6914,13.2917,13.3409,13.9374,13.1843,12.7009,12.7131
new_45224_45399_c,8.3524,8.3134,8.6195,10.1573,10.38,10.3941,9.6052,9.3077,9.9011,8.0158,7.861,7.8648
new_45524_45632,12.7438,13.0147,12.7905,12.556,12.4754,12.5244,13.6785,13.5672,13.7004,12.3109,11.5505,10.5813
BSU00380,12.6395,12.7749,12.8529,12.2927,12.1108,12.1352,13.5333,13.2927,13.419,12.046,11.3957,10.9555
new_47673_50019_c,10.6499,10.8547,11.0052,8.302,7.8861,7.4978,8.7473,8.6089,9.3306,9.7374,9.9374,9.6406
BSU00390,10.4501,10.7004,10.8304,10.8643,10.7539,10.7248,11.8698,11.5567,11.6857,10.1496,9.4598,9.2552
new_48474_48554,10.6259,10.5243,11.0074,10.5642,10.8057,10.6269,11.6023,11.5651,12.0333,10.4711,10.0512,9.8895
BSU00400,12.6871,12.3326,12.4401,15.5604,15.7077,15.689,13.7346,13.3991,13.4117,12.9363,12.1344,11.8106
new_49987_50086,11.7681,11.5209,11.2456,13.669,13.5282,13.7013,12.8958,12.7868,12.4804,13.3557,12.0128,11.2665
BSU00410,10.7793,10.4029,10.4401,12.5792,12.4705,12.4746,12.0143,11.6116,11.6389,12.2957,11.133,10.6579
BSU00420,10.2921,10.1256,10.2272,11.9484,11.508,11.6447,11.2137,10.9608,11.0659,11.7458,10.9252,10.5725
new_51558_51679,9.8597,10.1175,10.4758,9.5234,9.2184,9.8307,7.8775,7.6945,7.9772,8.9508,8.497,8.4747
BSU00430,9.0718,9.101,9.7987,9.1287,8.6981,9.1373,7.2973,7.2638,7.5683,8.387,8.0859,8.2636
new_52649_52719,9.6431,9.5613,9.9627,11.5471,12.0202,12.1828,6.7318,6.9994,7.4865,7.3056,7.6177,7.5821
BSU00440,14.4348,15.0029,15.0573,14.9854,15.0411,14.5978,14.2748,13.9798,14.0317,16.0847,15.9449,15.1287
new_53111_53182,8.6207,8.6487,8.9927,12.5227,12.1741,11.9661,9.2566,9.0781,9.6629,13.6598,13.5617,13.3562
BSU00450,9.5111,9.1803,9.5163,12.747,12.3479,12.1513,9.2542,8.9962,9.3199,13.8864,13.5542,12.8294
new_53363_55717_c,8.3319,7.9411,7.7447,9.4247,9.3381,9.8013,6.7653,7.0034,7.6456,7.0289,7.5458,7.711
BSU00460,11.8571,11.918,11.8774,11.9059,11.4905,11.498,12.709,12.4889,12.6367,13.1791,12.3276,11.6491
BSU00470,12.8225,12.5305,12.654,13.1869,12.7551,12.689,13.5041,13.3741,13.5811,13.6859,13.0404,12.3138
BSU00480,13.4888,13.6235,14.0108,13.7439,13.8764,13.5143,14.1033,13.8042,14.1034,14.0963,13.6913,13.1135
new_55707_55815,9.0528,9.1325,9.3971,11.6716,11.4812,11.3632,10.0313,10.0198,10.3528,10.3362,10.3711,9.9024
BSU00490,16.2709,16.0808,16.3619,15.765,15.6705,15.4053,14.5693,14.3748,14.7158,14.7592,14.5,14.1279
new_56193_56304,11.1844,11.3922,11.3393,12.6432,12.0755,11.9008,9.2959,9.1465,9.2067,10.2647,9.5799,9.3467
BSU00500,13.5991,13.7137,13.7837,13.3681,13.1073,12.9347,14.7379,14.524,14.4565,13.0689,12.2605,11.7949
BSU00510,13.4667,13.5254,13.768,12.9998,12.8207,12.6618,14.4623,14.1953,14.3559,12.6966,11.9349,11.582
BSU00520,13.5008,13.5735,13.6331,15.2479,15.8996,15.2345,14.4733,14.3014,14.7571,12.8177,12.1078,11.7212
BSU00530,11.5464,11.5531,11.828,13.18,13.7533,13.2688,12.6655,12.4963,12.6218,11.9998,11.1205,10.7905
BSU00540,11.7685,11.8385,11.9325,13.1572,13.7329,13.4255,12.713,12.5253,12.7383,11.9302,11.1522,10.793
new_60361_60429,11.6268,11.5512,11.7975,12.9044,13.3221,13.1448,12.6447,12.5114,12.7225,11.5457,10.8912,10.6661
BSU00550,11.2645,11.3041,11.5099,12.2649,12.0509,12.1293,12.3918,12.1977,12.4424,11.3085,10.5356,10.1766
new_64001_64098,11.5828,11.5759,11.5768,12.5974,12.7015,13.1601,12.1056,11.9948,12.3505,11.124,10.5841,10.0845
BSU00560,11.4996,11.3842,11.4147,12.3636,12.113,12.6402,12.0152,11.856,12.0187,10.971,10.2338,9.9968
BSU00570,9.611,9.5665,9.6836,9.4444,8.8901,9.1516,10.6952,10.5953,11.0916,10.5619,9.6895,9.428
BSU00580,12.0598,12.118,12.4461,11.3075,10.6403,11.1122,13.1219,12.9013,12.896,14.4165,13.4663,12.7947
BSU00590,12.2039,12.0984,12.492,11.3773,11.0774,11.2591,12.964,12.7939,12.9321,14.4072,13.4973,12.8849
BSU00600,12.1732,12.133,12.4283,13.9415,13.9434,13.9399,12.9237,12.6401,12.8248,14.2047,13.3282,12.6033
BSU00610,12.0263,11.983,12.4944,13.6098,13.7305,13.8031,12.7683,12.6263,13.0009,14.0678,13.3746,13.0384
BSU00620,13.8121,13.6847,13.948,15.0268,14.7994,14.8762,13.6103,13.2821,13.6365,14.8286,14.0224,13.4647
BSU00630,14.3199,14.2384,14.3634,15.051,14.8576,14.7704,14.3728,14.1441,14.6678,15.039,14.6137,14.4806
new_70382_70493,8.5834,8.0679,8.3563,9.5412,9.0761,9.0231,10.7986,10.5542,10.933,12.6807,12.0892,11.9766
BSU00640,8.7479,8.922,8.6573,13.3744,13.3058,13.1978,8.6959,8.4899,8.7523,12.0119,11.1119,10.6393
new_71190_71799_c,8.2808,8.205,7.9347,10.3304,10.2783,10.5776,6.8457,6.897,7.2495,7.0779,7.3023,7.4541
BSU00650,10.0576,9.9462,9.8152,13.7183,13.4083,13.2758,9.2475,9.0368,8.7935,12.1915,11.141,10.5236
